local_time,ZTEXT,ZMEDIALOCALPATH
"2026-04-15 01:20:48","Category	Subcategory	Item	Qty	Source / Supplier	Estimated Cost (PKR)	Average Est cost	Priority	Status	Notes / Spec
Steering / EPS	EPS Donor	Toyota Vitz SCP90 (1.3L) EPS column complete set	1	Bilal Ganj / Partfinder / OLX / kabli importer	25000-60000	40000	High	To Buy	Prefer 2007-2010 RHD complete set with motor, ECU/module, plugs, pigtails, lower coupler
Steering / EPS	Column Hardware	Custom U-joints / intermediate shafts	02-Mar	Fabricator / steering specialist	15000-40000	25000	High	To Fabricate / Buy	To connect J40 column to EPS and EPS to steering box
Steering / EPS	Column Hardware	Shaft support bearing	1	Fabricator / bearing supplier	3000-8000	6000	Medium	To Buy	As needed depending on shaft layout
Steering / EPS	Mounting	EPS mounting bracket	1	Fabricator	10000-25000	20000	High	To Fabricate	Heavy-duty fabricated bracket under dash
Steering / EPS	Seals / Trim	Steering column firewall seal / grommet	1	Local rubber / seals supplier	1000-3000	3000	Medium	To Buy	Replace during reassembly
Steering / EPS	Service	Steering box service kit	1	Land Cruiser parts supplier / seals shop	5000-20000	15000	Medium	To Buy	Check for play / leaks while apart
Steering / EPS	Service	New steering bushings	1 set	Local suspension / bush supplier	3000-12000	10000	High	To Buy	Column / linkage bushes as needed
Steering / EPS	Optional	Steering damper / stabilizer	1	4x4 parts supplier	12000-35000	30000	Medium	To Buy	Useful after lift if steering feel needs it
									
Suspension	Main Kit	Old Man Emu suspension kit	1	ARB / OME supplier	250000-500000	400000	High	To Buy	Springs + shocks matched as a complete set
Suspension	Bushings	Spring eye bushes	1 set	Local suspension supplier	6000-20000	15000	High	To Buy	Replace all while suspension is apart
Suspension	Bushings	Shackle bushes	1 set	Local suspension supplier	4000-15000	10000	High	To Buy	Replace all while suspension is apart
Suspension	Hardware	New U-bolts	1 set	Fabricator / suspension shop	10000-25000	20000	High	To Buy	Do not reuse old U-bolts
Suspension	Hardware	Shackles / pins	1 set	Fabricator / 4x4 supplier	10000-30000	25000	Medium	Inspect / Buy	Replace if worn
Suspension	Stops	Bump stops	1 set	Local rubber / 4x4 supplier	4000-12000	10000	Medium	Inspect / Buy	Replace if damaged or perished
									
Body / Chassis	Mounts	New rubber mountings between chassis and body	1 set	Land Cruiser parts supplier / rubber fabricator	15000-50000	40000	High	To Buy	Full set
Body / Chassis	Hardware	Body mount hardware set	1 set	Fastener supplier / fabricator	12000-30000	40000	High	To Buy	Bolts, washers, sleeves, spacers
Body / Chassis	Seals	Door weatherstrips	1 set	Land Cruiser seals supplier / custom rubber	30000-90000	80000	Medium	To Buy	Full set if restoring properly
Body / Chassis	Seals	Windscreen rubber	1	Glass / seals supplier	8000-25000	20000	Medium	To Buy	Replace during glass refit
Body / Chassis	Seals	Vent / flap seals	1 set	Land Cruiser parts supplier / custom rubber	5000-15000	10000	Medium	To Buy	If applicable
Body / Chassis	Floor	Floor plugs / drain plugs	1 set	Local rubber supplier	2000-6000	5000	Medium	To Buy	Replace missing or hardened items
Body / Chassis	Rubbers	Bonnet / hood bumpers and rubber stops	1 set	Local rubber supplier	1000-5000	5000	Low	To Buy	Small but worth replacing
									
Locks / Security	Locks	Complete new set of locks	1 set	Locksmith / aftermarket supplier	15000-50000	40000	High	To Buy	Door locks + matched keys
Locks / Security	Ignition	Ignition barrel / switch	1	Locksmith / aftermarket supplier	8000-30000	25000	High	To Buy	Should work with shutoff / accessory positions
Locks / Security	Other Locks	Rear door / tailgate / glovebox locks	1 set	Locksmith / parts supplier	5000-20000	20000	Medium	To Buy	As applicable
Locks / Security	Latches	Striker pins / latch rebuild parts	1 set	Parts supplier / fabricator	5000-15000	12000	Medium	Inspect / Buy	If worn
									
HVAC / AC	Evaporator	Slimline under-dash AC unit	1	Aftermarket AC supplier	80000-220000	100000	High	To Buy	Compact evaporator/heater unit
HVAC / AC	Condenser	Compact condenser	1	Aftermarket AC supplier	20000-60000	40000	High	To Buy	Sized to suit J40 front opening
HVAC / AC	Compressor	A/C compressor	1	Aftermarket AC supplier / kabli supplier	25000-90000	80000	High	To Buy	Sanden-style or suitable equivalent
HVAC / AC	Mounting	Compressor bracket and belt solution	1	Fabricator	15000-50000	40000	High	To Fabricate / Buy	Engine-specific fabrication may be needed
HVAC / AC	Drier	Receiver-drier	1	AC supplier	5000-15000	10000	High	To Buy	New
HVAC / AC	Controls	Pressure switch / trinary switch	1	AC supplier	4000-12000	10000	High	To Buy	For compressor and fan control
HVAC / AC	Hoses	Barrier hoses and fittings	1 set	AC hose fabricator	15000-50000	40000	High	To Buy	New custom hoses
HVAC / AC	Firewall	Firewall bulkhead fittings	1 set	AC supplier	5000-15000	12000	Medium	To Buy	For neat hose pass-through
HVAC / AC	Drain	Evaporator drain hose	1	AC supplier	500-2000	2000	High	To Buy	Do not forget
HVAC / AC	Airflow	Vents / louver panel / control pod	1 set	AC supplier / custom interior supplier	10000-40000	35000	Medium	To Buy	Depending on chosen unit
HVAC / AC	Cooling	Condenser fan and relay	1 set	Auto electrical / AC supplier	10000-30000	35000	High	To Buy	As required
									
Electrical	Fuse Boxes	3 fuse boxes	3	Auto electrical supplier / donor OEM boxes	15000-60000	40000	High	To Buy	Constant / ignition / ACC as planned
Electrical	Charging	Alternator / regulator check or replacement	1	Auto electrician / kabli supplier	15000-60000	40000	High	Inspect / Buy	Confirm sufficient capacity for EPS and AC
									
Brakes	Hydraulics	Brake master cylinder	1	Brake parts supplier	8000-30000	25000	High	To Buy	Rebuild or replace
Brakes	Hydraulics	Wheel cylinders / caliper rebuild parts	1 set	Brake parts supplier	8000-40000	35000	High	Inspect / Buy	Depending on axle / brake type
Brakes	Hoses	Flexible brake hoses	1 set	Brake parts supplier	5000-15000	12500	High	To Buy	Replace all
Brakes	Lines	Hard brake lines	1 set	Brake pipe fabricator / parts supplier	8000-25000	20000	High	Inspect / Buy	Replace if corroded or as part of full rebuild
Brakes	Friction	Brake shoes / pads	1 set	Brake parts supplier	6000-25000	20000	High	To Buy	New set
Brakes	Handbrake	Handbrake hardware / cables	1 set	Brake parts supplier / fabricator	5000-20000	20000	Medium	Inspect / Buy	Inspect and replace as needed
Brakes	Reservoir	Reservoir hoses / caps / seals	1 set	Brake parts supplier	2000-8000	8000	Medium	To Buy	Replace aged rubber
									
Clutch	Hydraulics	Clutch master cylinder	1	Clutch parts supplier	5000-20000	15000	High	To Buy	Rebuild or replace
Clutch	Hydraulics	Clutch slave cylinder	1	Clutch parts supplier	4000-15000	1200	High	To Buy	Rebuild or replace
Clutch	Lines	Clutch flex hose / hard line	1 set	Clutch / brake line supplier	3000-12000	10000	Medium	Inspect / Buy	Replace if aged or corroded
Clutch	Linkage	Clevis pins / clips	1 set	Hardware supplier	500-3000	3000	Low	To Buy	Cheap to replace while apart
									
Fuel System	Tank	Fuel tank clean / repair items	1 lot	Radiator / tank repair shop	5000-30000	20000	High	Inspect / Buy	Clean, seal, or repair as needed
Fuel System	Tank	Sender seal	1	Local seals supplier	500-2000	2000	Medium	To Buy	Replace when refitting
Fuel System	Tank	Tank straps / pads / rubbers	1 set	Fabricator / rubber supplier	3000-12000	10000	Medium	Inspect / Buy	Replace if worn
Fuel System	Hoses	New fuel hoses	1 lot	Diesel / hose supplier	5000-15000	12000	High	To Buy	Supply and return
Fuel System	Clamps	Proper hose clamps	1 lot	Hardware / hose supplier	2000-8000	8000	High	To Buy	Fuel-safe
Fuel System	Filtration	Fuel filter assembly / elements	1 set	Diesel parts supplier	5000-20000	18000	High	To Buy	New service items
Fuel System	Lines	Return-line hose	1 lot	Diesel / hose supplier	1000-5000	5000	Medium	To Buy	Do not reuse old brittle hose
Fuel System	Priming	Primer parts / bulb if applicable	1 set	Diesel parts supplier	1000-8000	7000	Low	Inspect / Buy	Depends on engine setup
									
Cooling	Radiator	Radiator recore or replacement	1	Radiator shop	15000-70000	60000	High	Inspect / Buy	Assess before final assembly
Cooling	Hoses	All coolant hoses	1 set	Parts / hose supplier	5000-20000	15000	High	To Buy	Full set including bypass hoses
Cooling	Hoses	Heater hoses	1 set	Parts / hose supplier	3000-12000	10000	High	To Buy	Full set
Cooling	Clamps	Hose clamps	1 lot	Hardware / hose supplier	2000-8000	8000	High	To Buy	New
Cooling	Thermostat	Thermostat	1	Engine parts supplier	2000-8000	8000	High	To Buy	New
Cooling	Pump	Water pump	1	Engine parts supplier	8000-30000	25000	High	To Buy	New if any doubt
Cooling	Drive	Fan belt / accessory belts	1 set	Parts supplier	3000-12000	10000	High	To Buy	New matched set
Cooling	Mounting	Radiator mounts and pads	1 set	Rubber supplier	2000-8000	8000	Medium	To Buy	Replace aged rubber
Cooling	Overflow	Coolant overflow bottle / recovery setup	1	Auto parts supplier	2000-10000	10000	Low	To Buy	Optional but sensible
									
Engine / Driveline	Mounts	Engine mounts	1 set	Engine mounts supplier / fabricator	10000-40000	35000	High	To Buy	Replace if perished
Engine / Driveline	Mounts	Gearbox / transfer case mounts	1 set	Engine mounts supplier / fabricator	8000-30000	25000	High	To Buy	Replace if perished
Engine / Driveline	Exhaust	Exhaust hangers / rubbers	1 set	Exhaust shop / rubber supplier	2000-8000	8000	Medium	To Buy	Replace all aged rubber mounts
									
Fasteners / Consumables	Fasteners	Full set of new nuts and bolts	1 lot	Fastener supplier	30000-100000	50000	High	To Buy	Use by section/system
Fasteners / Consumables	Fasteners	Captive nuts / clip nuts	1 lot	Fastener supplier	3000-12000	10000	Medium	To Buy	Often forgotten
Fasteners / Consumables	Fasteners	Spring / serrated / star washers	1 lot	Fastener supplier	3000-12000	10000	High	To Buy	Assorted sizes
Fasteners / Consumables	Fasteners	Body shims / spacers	1 lot	Fastener supplier / fabricator	3000-12000	10000	Medium	To Buy	Useful for body alignment
Fasteners / Consumables	Fasteners	Split pins / cotter pins	1 lot	Fastener supplier	1000-5000	5000	Medium	To Buy	Assorted
Fasteners / Consumables	Service	Grease nipples / zerks	1 lot	Fastener / tractor parts supplier	1000-5000	5000	Medium	To Buy	Replace missing or damaged
Fasteners / Consumables	Chemicals	Threadlocker	1 lot	Hardware / tool supplier	3000-10000	8000	Medium	To Buy	Blue + red as needed
Fasteners / Consumables	Chemicals	Anti-seize compound	1 lot	Hardware / tool supplier	2000-8000	6000	Medium	To Buy	Important on reassembly
Fasteners / Consumables	Chemicals	Sealants / gasket makers	1 lot	Hardware / tool supplier	3000-12000	10000	Medium	To Buy	For appropriate joints only
									
Interior / Controls	Pedals	Pedal rubbers	1 set	Local parts supplier	1000-5000	4000	Low	To Buy	Replace worn items
Interior / Controls	Wipers	Wiper grommets and small rubber parts	1 lot	Local rubber supplier	1000-5000	4000	Low	To Buy	Often perished
Interior / Controls	Firewall	Firewall boots for cables and lines	1 lot	Rubber / electrical supplier	2000-8000	6000	Medium	To Buy	Important for tidy sealed reassembly",
"2026-03-28 15:12:31","2) Adjusting the dash (without removal) to increase screen size by 2 inches, and probably slightly modifying some of the switch holes",
"2026-03-28 15:11:49","1) Make a mounting plate for relays and fuses in the area forward from the battery - mounting all new selected components hosting said relays etc etc (the power corner)",
"2026-03-16 15:10:09","I have a separate battery guy",
"2026-03-16 15:09:56","And 20k down on a new battery",
"2026-03-15 19:33:39","But you will notice. Once all the wiring junk comes out. There is going to be very little wiring left. Most of this stuff I saw were unnecessary relays and shit like that. Should all be gone",
"2026-03-15 19:12:00","What this kit already includes

A universal wiring harness like this normally includes:

pre-wired 12-circuit fuse block

labelled wires for each circuit

horn relay

headlight wiring

turn signal wiring

alternator plug

ignition switch connectors

hazard flasher

headlight dimmer connector

These kits are designed for classic cars, hot rods, trucks, and custom vehicles and cover the main circuits such as ignition, lights, gauges, horn, wipers, etc.

Why this is ideal for your 1978 J40

The FJ40 electrical system is simple and fits comfortably within 10–14 circuits, including:

ignition

headlights

brake lights

tail lights

indicators

horn

wipers

gauges

heater fan

radio

reverse lights

So a 12-circuit harness usually covers everything needed for the truck.

What you still add to the cart

Add these extra items alongside the harness:

4 AWG battery cable (starter cable)

6 AWG cable (alternator charge wire)

automotive connector kit

split loom tubing

Those are cheap and complete the install.",
"2026-03-15 18:28:03","Good — if you want to completely re-wire a 1978 Toyota Land Cruiser J40, I’ll give you three things:

The exact Daraz shopping list (everything needed)

The ideal modern wiring architecture for a J40

The fuse box layout + wiring plan

This is essentially the same method professional restorers use for old Land Cruisers.

1️⃣ The Core Re-Wiring Kit (Buy First)
Universal 21‑Circuit Automotive Wiring Harness Kit
Price not available
•
Go to merchant
Universal Extra‑Long 21‑Circuit Car Wiring Harness
Price not available
•
Go to merchant
21‑Circuit Hot Rod Wiring Harness Kit
Price not available
•
Go to merchant
Universal 21‑Circuit Vehicle Electrical Wiring Kit
Price not available
•
Go to merchant

A 21-circuit harness kit is ideal for a classic 4x4.

Typical circuits included:

headlights

brake lights

ignition coil

horn

turn signals

gauges

wipers

radio

dome light

backup lights

fuel pump

accessories

These harnesses are colour-coded and labelled to simplify installation.

2️⃣ Everything Else You Must Buy (Daraz List)

Search these exact items on Daraz.

Automotive Wire Kit

Buy stranded copper automotive wire.

Recommended gauges:

Gauge	Use
4 AWG	battery cables
10 AWG	alternator / main power
12 AWG	headlights
14 AWG	ignition
16 AWG	accessories
18 AWG	gauges

Automotive wiring uses the AWG system where lower numbers mean thicker wire capable of carrying more current.

Search:

automotive primary wire kit
12v car wire roll
stranded copper automotive wire
Connectors Kit

Search:

automotive electrical connector kit
crimp terminal kit
ring terminal assortment
bullet connector kit

You will need:

ring terminals

spade connectors

bullet connectors

heat shrink

solder sleeves

Wire Protection

Search:

split wire loom tubing
braided cable sleeve
rubber firewall grommets

Sizes:

6mm

10mm

16mm

25mm

Fuse and Relay System

Search:

12 way blade fuse box
12v relay with socket
relay block automotive

Minimum relays:

headlights

horn

auxiliary lights

radiator fan

accessories

Battery and Starter Cables

Search:

4 gauge battery cable kit
heavy duty battery terminals
starter cable automotive
Ground Straps

Classic Land Cruisers rely heavily on chassis ground.

Search:

braided ground strap
engine ground cable

Minimum grounds:

battery → chassis

engine → frame

body → frame

Lighting Connectors

Search:

H4 headlight connector
indicator bulb socket
tail light socket
Tools (if doing it yourself)

Search:

ratcheting crimp tool
wire stripper
heat gun
multimeter
soldering iron
3️⃣ Ideal Modern Wiring Architecture for a J40

A good wiring system splits the truck into four harness sections.

1️⃣ Engine Harness

Runs to:

starter

alternator

ignition coil

temperature sender

oil pressure sender

electric fan

2️⃣ Front Lighting Harness

Runs to:

headlights

indicators

parking lights

horn

3️⃣ Dash Harness

Runs to:

ignition switch

gauges

heater fan

wipers

radio

switches

4️⃣ Rear Harness

Runs to:

tail lights

brake lights

reverse lights

fuel sender

number plate light

A wiring harness bundles these cables together so they are protected from vibration, abrasion, and moisture.

4️⃣ Ideal Fuse Box Layout

Mount the fuse box under the dashboard.

Suggested layout:

Fuse	Circuit
1	ignition
2	headlights
3	tail lights
4	indicators
5	horn
6	wipers
7	heater
8	gauges
9	radio
10	reverse lights
11	accessories
12	spare
5️⃣ Headlight Relay Upgrade (Important)

Old Land Cruisers ran headlights directly through the switch.

Upgrade:

battery
 ↓
relay
 ↓
headlights

Benefits:

brighter lights

longer switch life

less voltage drop

6️⃣ Where to Route Wires in a J40

Typical routing:

Engine bay
→ firewall grommet
→ fuse box under dash

Rear harness:

Dash
→ along driver side floor
→ rear lights

7️⃣ Estimated Cost in Pakistan
Item	PKR
Harness kit	20k – 40k
Wire	6k
Connectors	4k
Fuse / relay	5k
Loom	3k
Tools	8k

Total: 45k – 70k PKR

8️⃣ Pro Tips for a J40 Rewire

Do these while you're at it:

upgrade headlights to H4

add USB charger

add aux fuse block

add winch wiring

add LED light bar relay

This makes the truck far more usable.

✅ If you want, I can also show you:

1️⃣ The full wiring diagram for a J40 (clean modern version)
2️⃣ The easiest way to wire a Toyota 2F engine
3️⃣ The exact Daraz order links for everything
4️⃣ The most common wiring mistakes people make on Land Cruisers

These will save you days of work and a lot of headaches.",
"2026-03-15 10:38:26","On for this today?  I still need to work out what all the switches and levers do",
"2026-03-11 21:14:26","Converting a J40 to hydraulic power steering is not something you can realistically do from home with no tools. It’s a mechanical fabrication job involving cutting, drilling, and installing major steering components. The safest approach is either buying a full bolt-on kit or having a workshop do the fabrication.

I’ll explain what the minimum realistic setup looks like.

What a hydraulic conversion actually requires

A J40 was designed with a manual steering box and bell-crank system, so power steering requires installing a completely different steering box and linkage.

Core parts required:

Steering components

Power steering steering box (often from Land Cruiser 60/70 or Toyota Hilux)

Pitman arm

Drag link

Modified steering shaft with U-joints

Hydraulic system

Power steering pump

Pump mounting bracket

Reservoir

High-pressure hose

Return hose

Engine drive

Double crank pulley

Drive belt

Frame mounting

Steering box mounting plate

Reinforcement plate

Tools normally required

At minimum:

Basic tools

socket set

spanners

jack + axle stands

breaker bar

Fabrication tools

drill

angle grinder

welder (almost always required)

Without these, the conversion is essentially impossible.

Realistic options if you have no tools
Option 1 — Buy a full conversion kit

Some kits are designed to minimize fabrication.

Example suppliers:

Cruiser Corps

Man-A-Fre

BTB Products

Cool Cruisers

These typically include:

steering box

mounting plate

pump

hoses

steering shaft

Even with a kit you still need:

drilling

some cutting

A garage can install it in 5–8 hours.

Option 2 — Have a 4x4 workshop do it

Best option if starting from nothing.

Typical cost depending on parts:

Parts: $600–1500

Labour: $300–600

In Pakistan the labour is usually much cheaper.

Option 3 — Electric power steering column

If you truly want minimal tools, EPS is the only realistic DIY approach.

Steps are basically:

Remove steering column

Install EPS column motor unit

Wire to battery

Connect to steering box

But even this usually requires:

cutting the steering shaft

welding or adapters

If you want the easiest possible path

The simplest solution for a J40 owner without tools is:

Take it to a Land Cruiser specialist and install a Toyota 60-series power steering box conversion.

This is the most common J40 upgrade worldwide.

💡 If you want, I can also show you:

The easiest J40 power steering conversion ever designed (almost bolt-in)

The cheapest conversion using Toyota Hilux parts

The mistake that cracks the J40 frame during conversion

Those three things save most people a lot of money and frustration.",
