System,Item,Qty,Priority,Stage,Price_Min_PKR,Price_Max_PKR,Target_PKR,Direct_Link_1,Direct_Link_2,Price_Basis,Buy_Notes
Rubbers,Firewall/column/wiper/rear grommet set,1 set,P2,pre_tub_refit,1000,7000,4000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_rubber+grommet+kit/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_grommet/,PakWheels/local market search range,Use local electrical market if the search pages do not have the exact grommet sizes.
Engine/Trans,Engine mount set (2H diesel),1 set,P4,post_tub_off_inspection,15000,50000,32500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_2h+engine+mount+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_engine+mount+toyota+land+cruiser/,Market listing range,Buy new if sag/cracks found.
Engine/Trans,Gearbox/transfer mounts + shifter bush service items,1 set,P4,post_tub_off_inspection,12000,45000,28500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_transmission+mount+toyota+land+cruiser/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_gearbox+mount+toyota/,Market listing range,Directly linked to current shift quality issue.
Engine/Trans,Glow plug set (new only),1 set,P4,post_tub_off_inspection,12000,36000,24000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_glow+plug+2h+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_diesel+glow+plug+toyota/,Market listing range,Confirm thread/reach/voltage before buy.
Engine/Trans,Fuel filter,1,P4,post_tub_off_inspection,3000,12000,7500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_toyota+diesel+fuel+filter/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_fuel+filter+toyota+land+cruiser/,Market listing range,Buy genuine/known brand only.
Engine/Trans,Oil filter (diesel),1,P4,post_tub_off_inspection,2000,9000,5500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_toyota+oil+filter+diesel/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_oil+filter+toyota+diesel/,Market listing range,Buy genuine/known brand only.
Engine/Trans,Fuel-rated hose J30R7 + clamps,1 bundle,P4,post_tub_off_inspection,12000,35000,23500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_SAE+J30R7+fuel+hose/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_fuel+hose+clamp/,Online listing range,Do not substitute coolant hose.
Engine/Trans,Radiator hose set,1 set,P4,post_tub_off_inspection,8000,25000,16500,https://www.pakwheels.com/accessories-spare-parts/search/-/q_radiator+hose+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_radiator+hose+land+cruiser/,Market listing range,Confirm diameters and bends.
Engine/Trans,Heater hose set,1 set,P4,post_tub_off_inspection,5000,15000,10000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_heater+hose+toyota/,https://www.pakwheels.com/accessories-spare-parts/search/-/q_heater+hose+land+cruiser/,Market listing range,Confirm diameter/length before cut.
TOTAL_P2,,,,,"=SUMIF(D2:D999,""P2"",F2:F999)","=SUMIF(D2:D999,""P2"",G2:G999)","=SUMIF(D2:D999,""P2"",H2:H999)",,,,
TOTAL_P4,,,,,"=SUMIF(D2:D999,""P4"",F2:F999)","=SUMIF(D2:D999,""P4"",G2:G999)","=SUMIF(D2:D999,""P4"",H2:H999)",,,,
TOTAL_ALL,,,,,=SUM(F2:F999),=SUM(G2:G999),=SUM(H2:H999),,,,
