Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
M6 x20 hex bolt (Royal Hardware quote) x42,,Royal Hardware,No,,pre_tub_refit,quote_at_royal_hardware,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Quote requested for class 8.8 metric M6 x20 hex bolts. Ask for zinc-plated finish and confirm head style against removed samples.,Q,,,High,Royal Hardware quote request: https://royalhardware.com.pk/product/hexagonal-bolt-din-933-din-931-ansi/,Manual,,INV-RH-001,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,,high,low,local_pk_or_on_hand | Royal Hardware quote pending
M6 x25 hex bolt (Royal Hardware quote) x68,,Royal Hardware,No,,pre_tub_refit,quote_at_royal_hardware,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Quote requested for class 8.8 metric M6 x25 hex bolts. Ask for zinc-plated finish and confirm head style against removed samples.,Q,,,High,Royal Hardware quote request: https://royalhardware.com.pk/product/hexagonal-bolt-din-933-din-931-ansi/,Manual,,INV-RH-002,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,,high,low,local_pk_or_on_hand | Royal Hardware quote pending
M8 x25 hex bolt (Royal Hardware quote) x30,,Royal Hardware,No,,pre_tub_refit,quote_at_royal_hardware,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Quote requested for class 8.8 metric M8 x25 hex bolts. Ask for zinc-plated finish and confirm head style against removed samples.,Q,,,High,Royal Hardware quote request: https://royalhardware.com.pk/product/hexagonal-bolt-din-933-din-931-ansi/,Manual,,INV-RH-003,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,,high,low,local_pk_or_on_hand | Royal Hardware quote pending
M6 nylon lock nut (Royal Hardware quote) x80,,Royal Hardware,No,,pre_tub_refit,quote_at_royal_hardware,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Quote requested for metric M6 nylon lock nuts. Match thread pitch to the bolts already ordered.,Q,,,High,Royal Hardware quote request: https://royalhardware.com.pk/product/nylon-lock-nut-din-985/,Manual,,INV-RH-004,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,,high,low,local_pk_or_on_hand | Royal Hardware quote pending
M8 nylon lock nut (Royal Hardware quote) x30,,Royal Hardware,No,,pre_tub_refit,quote_at_royal_hardware,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Quote requested for metric M8 nylon lock nuts. Match thread pitch to the bolts already ordered.,Q,,,High,Royal Hardware quote request: https://royalhardware.com.pk/product/nylon-lock-nut-din-985/,Manual,,INV-RH-005,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,,high,low,local_pk_or_on_hand | Royal Hardware quote pending
M8 spring washer (Royal Hardware quote) x90,,Royal Hardware,No,,pre_tub_refit,quote_at_royal_hardware,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Quote requested for metric M8 spring washers / lock washers. Use only where a spring washer is correct for the joint.,Q,,,High,Royal Hardware quote request: https://royalhardware.com.pk/product/spring-washer-din-127/,Manual,,INV-RH-006,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,,high,low,local_pk_or_on_hand | Royal Hardware quote pending
M6 weld nuts top-up (local quote) x20,,Steel Works PK,No,,pre_order_audit,quote_at_steel_works_pk,replacement_part,inspect_then_decide,planned_or_open,needs_confirmation,Quote requested for M6 weld nuts x20.,Q,7000-18000,12000,Medium,https://steelworkspk.com/products/weld-nuts-manufacturers-in-lahore/ | https://steelworkspk.com/products/star-washers-supplier-in-lahore/,Parts,,INV-0245,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,manual_specification_update_2026_04_15,high,low,local_pk
Fastener Kit D: Grounding hardware - star/serrated washers M6/M8/M10 + cleaned contact points,,MTL Parts | local electrical market,No,"Ordered (Millat, not yet paid)",pre_tub_refit,buy_local_grade_spec_kit,replacement_part,replace_or_procure,ordered_in_flight,needs_confirmation,"Spec qty baseline: M6 star washers x120, M8 star washers x80, M10 star washers x40, serrated flange nuts M6 x40 and M8 x20, conductive anti-corrosion paste 1 tube. Mandatory on chassis/body/electrical ground points after paint removal at contact pads. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-17: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: Kit D star/serrated grounding hardware + conductive paste. | Age/condition rule: NEW_ONLY grounding hardware. | Use star/serrated washers and cleaned bare-metal pads on ground points. | Millat fastener cart placed; not yet received or paid.",ordered/in-flight,5000-12000,8000,Medium,https://parts.millat.com.pk/product/washer-lock-m6/ ; https://parts.millat.com.pk/product/washer-lock-m10/ ; https://parts.millat.com.pk/product/washer-lock-3-8/ ; https://parts.millat.com.pk/product/washer-flat-m6-2/ ; https://parts.millat.com.pk/product/washer-flat-m8/ ; https://parts.millat.com.pk/product/washer-flat-m12/ ; local conductive paste from the electrical market,Manual,,INV-0246,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,manual_specification_update_2026_04_15,high,low,local_pk_preferred
Ignition lock security fix (bundle quote - matched-key Vitz donor set),,Bilal Ganj,No,,pre_dash_refit,mandatory_security_fix_before_refit,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,"Bundle quote under Bilal Ganj. Explicit child rows below capture the ignition cylinder + matched keys, front door RH, front door LH, and back door lock cylinder. Same donor preferred. Avoid smart-entry donors unless the lock set is explicitly included.",Q,4000-25000,12000,High,Bilal Ganj quote pending; Toyota Vitz lock-cylinder set refs: https://toyota.epc-data.com/vitz/SCP10/146566/body/6712/69570/ ; https://toyota.epc-data.com/vitz/scp90/146745/body/6712/69570/,Parts,41,INV-0040,P2 - Buy before refit,3,P2-B security/control completion after parts audit (2026-04-15),SERVICE_OR_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand | Bilal Ganj quote pending for Vitz matched-key donor set; prefer the same donor vehicle as the EPS column if possible.
Ignition switch lock cylinder + matched keys (Vitz donor),,Bilal Ganj,No,,pre_dash_refit,bundle_component_of_matched_key_vitz_set,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Explicit part of the Bilal Ganj Vitz matched-key donor set quote. Same donor preferred.,Q,,,High,Quoted as part of the matched-key Vitz donor set; see bundle row above.,Parts,41,INV-0040A,P2 - Buy before refit,3,P2-B security/control completion after parts audit (2026-04-15),SERVICE_OR_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand | Bilal Ganj quote pending for same donor set
Front door lock cylinder RH (Vitz donor),,Bilal Ganj,No,,pre_dash_refit,bundle_component_of_matched_key_vitz_set,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Explicit part of the Bilal Ganj Vitz matched-key donor set quote. Same donor preferred.,Q,,,High,Quoted as part of the matched-key Vitz donor set; see bundle row above.,Parts,41,INV-0040B,P2 - Buy before refit,3,P2-B security/control completion after parts audit (2026-04-15),SERVICE_OR_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand | Bilal Ganj quote pending for same donor set
Front door lock cylinder LH (Vitz donor),,Bilal Ganj,No,,pre_dash_refit,bundle_component_of_matched_key_vitz_set,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Explicit part of the Bilal Ganj Vitz matched-key donor set quote. Same donor preferred.,Q,,,High,Quoted as part of the matched-key Vitz donor set; see bundle row above.,Parts,41,INV-0040C,P2 - Buy before refit,3,P2-B security/control completion after parts audit (2026-04-15),SERVICE_OR_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand | Bilal Ganj quote pending for same donor set
Back door lock cylinder (Vitz donor),,Bilal Ganj,No,,pre_dash_refit,bundle_component_of_matched_key_vitz_set,replacement_part,replace_or_procure,planned_or_open,needs_confirmation,Explicit part of the Bilal Ganj Vitz matched-key donor set quote. Same donor preferred.,Q,,,High,Quoted as part of the matched-key Vitz donor set; see bundle row above.,Parts,41,INV-0040D,P2 - Buy before refit,3,P2-B security/control completion after parts audit (2026-04-15),SERVICE_OR_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand | Bilal Ganj quote pending for same donor set
"Internal compact covered blade fuse boxes (OEM-style), likely x3",,Bilal Ganj,,,pre_dash_refit,buy_3_compact_covered_oem_style_fuse_boxes_bilal_ganj_first,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"User correction 2026-05-03: cabin/interior car fuse boxes have not been ordered. Relay block row 55 remains received/as specified, but the generic Portable 12-Way universal fuse box row is not purchased stock. Buy likely 3 compact covered blade-fuse boxes for the car/cabin circuits; use compact OEM-style covered ATO/ATC blocks with secure lids and strong terminals, same model if possible. No relay block, no large open universal block, and do not count the Portable 12-Way wording as bought evidence. Confirm final cabin mounting envelope and circuit split before payment.",Q,11100-21000,15000,High,Bilal Ganj scout / covered OEM-style blade fuse box only,Parts_Estimates,41,INV-0203,P2 - Buy before refit,3,P2-B electrical completion (Bilal Ganj first for compact OEM-style fuse boxes) (2026-04-15),NEW_ONLY,high,electrical_work_completed_except_internal_fuse_boxes,high,low,local_pk
Foam Cell Suspension Kit - Medium (TOY004BKF) x2,,IRONMAN 4X4 / Xtreme 4x4 quote,,,pre_tub_refit,quote_pending_ironman_suspension,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Quote sent 2026-04-17 to Ironman/Xtreme 4x4; this is now the single suspension path. Ironman catalogue for LC 40/42/46 series shows the TOY004BKF medium kit as the full bundle: leaf springs, shocks, U-bolts, polyurethane bushes, greasable shackles/pins, and steering damper. Do not add separate duplicate hardware unless the supplier breaks the kit into partial line items.",Q,,,,,,,INV-0258,P2 - Buy before refit,2,P2-C suspension quote request (2026-04-17),NEW_ONLY,low,quote_email_only,medium,high,pakistan_or_import
12mm  split wiring pipe / loom pipe,10m,Montgomery Road (Lahore),Y,Y,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,Open item with no procurement evidence yet. | Migrated from Wiring row 62 into Parts inventory. | User reported 8m of loom pipe on hand; top up only if routing shows a shortage.,✓,,,,,Wiring,62,INV-0099,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
16mm split wiring pipe / loom pipe,6m,Montgomery Road (Lahore),Y,Y,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,Open item with no procurement evidence yet. | Migrated from Wiring row 63 into Parts inventory. | User reported 8m of loom pipe on hand; top up only if routing shows a shortage.,✓,,,,,Wiring,63,INV-0100,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
8mm  split wiring pipe / loom pipe,5m,Montgomery Road (Lahore),Y,Y,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,Open item with no procurement evidence yet. | Migrated from Wiring row 61 into Parts inventory. | User reported 8m of loom pipe on hand; top up only if routing shows a shortage.,✓,,,,,Wiring,61,INV-0098,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Electric wires,,,,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,cancelled,cancelled,RR action=Use Montgomery Road / local electrical markets for small top-ups after stock count.; evidence=Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors. | Covered by existing wire stock; no standalone generic wire buy required.,cancelled,,,,,Restore_Replace,33,INV-0162,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Manual fuel-stop switch / hidden kill switch (covered by on-hand 4-switch panel),,Universal 4-inch Switch Panel 3pcs (on-hand),Y,Y,pre_dash_refit,use_on_hand_switch_panel_or_hidden_switch,replacement_part,inspect_then_decide,procured_or_on_hand,covered_by_on_hand_switch_panel,Use one spare position in the already received 4-switch panel if the fuel-stop control is implemented now. Keep the manual diesel cutoff cable as backup. Only source a dedicated concealed latching switch if the panel layout proves unsuitable.,✓,,,,,Parts,43,INV-0042,P3 - Audit then buy,3,electrical top-up only after stock audit (2026-04-15),INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
H4 Ceramic Headlight Connector - H4 - High,550,autoxpertpakistan,Y,Y,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,Open item with no procurement evidence yet. | Migrated from Wiring row 52 into Parts inventory. | RR action=Use Montgomery Road / local electrical markets for small top-ups after stock count.; evidence=Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors. | Duplicate open row closed; covered by the already received H4 connector.,✓,,,,,Wiring,52,INV-0094,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
