Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
Fastener Kit D: Grounding hardware - star/serrated washers M6/M8/M10 + cleaned contact points,,,No,,pre_tub_refit,buy_local_grade_spec_kit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Spec qty baseline: M6 star washers x120, M8 star washers x80, M10 star washers x40, serrated flange nuts M6 x40 and M8 x20, conductive anti-corrosion paste 1 tube. Mandatory on chassis/body/electrical ground points after paint removal at contact pads. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: Kit D star/serrated grounding hardware + conductive paste. | Age/condition rule: NEW_ONLY grounding hardware.",,5000-12000,8000,Medium,Bilal Ganj electrical hardware + fastener lanes,Manual,,INV-0246,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,manual_specification_update_2026_04_15,high,low,local_pk_preferred
Ignition lock security fix (new barrel + matched keys OR full locksmith re-key),,Local locksmith + lockset supplier,No,,pre_dash_refit,mandatory_security_fix_before_refit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Current key security reported weak; complete matched-key security fix before final refit. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: locksmith re-key/local lock solution preferred; exact FJ40 imported set costs higher.",,4000-25000,12000,High,Bilal Ganj locksmith + lock vendors; import lock set fallback,Parts,41,INV-0040,P2 - Buy before refit,3,P2-B security/control completion after parts audit (2026-04-15),SERVICE_OR_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Internal compact covered blade fuse box (OEM-style) x3,,,,,pre_dash_refit,buy_3_compact_covered_oem_style_fuse_boxes_bilal_ganj_first,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Reconciled 2026-04-15: electrical power bay relay/fuse architecture already built; only remaining electrical procurement is 3 internal cabin fuse boxes. Preference locked: compact covered OEM-style (stable/smaller/secure), avoid large open-style universal blocks. Primary local option: Daraz 6-way covered ATO/ATC box (in-stock listing seen 2026-04-15) https://www.daraz.pk/products/6-ways-12-24v-automotive-circuit-blade-fuse-box-for-car-truck-vehicle-i486699111.html . Backup imports: Ubuy Electop 6-way covered https://www.ubuy.com.pk/en/product/36PF6CC-electop-6-way-fuse-block-blade-fuse-box-with-negative-bus-6-circuit-fuse-holder-fuse-block-w-negativ ; Blue Sea 5025/5026 class options (higher cost) via Ubuy/Starshop lookup. | Decision 2026-04-15: Bilal Ganj is primary sourcing path for these fuse boxes due to immediate fit-check and same-day availability; online only if exact covered format not found. | Age/condition rule: NEW_ONLY compact covered fuse boxes.",,11100-21000,15000,High,"Bilal Ganj local first (compact covered OEM-style), online fallback",Parts_Estimates,41,INV-0203,P2 - Buy before refit,3,P2-B electrical completion (Bilal Ganj first for compact OEM-style fuse boxes) (2026-04-15),NEW_ONLY,high,electrical_work_completed_except_internal_fuse_boxes,high,low,bilal_ganj_first_then_online_fallback
Local front leaf spring pack (LOCAL-FJ40-FRONT-LEAF) x2,,LEW (primary): https://spring.com.pk/contact-2/ | Popular Spring (backup): https://popularspringind.com/,,,pre_tub_refit,selected_primary_local_new_suspension_path,replacement_part,replace_or_procure,planned_or_open,selected_primary_path,"Suspension procurement moved under Parts; quantity/spec migrated from Suspension tab. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: local spring path retained; order only after measured quote confirmation. | Quote-band set from local fabricated front+rear spring baseline (row 166) split 50/50; confirm with measured eye-eye, pack width and arch. | Age/condition rule: NEW_FABRICATED_ONLY springs; do not install unknown-used packs. | Decision 2026-04-17: selected as primary suspension path (new local fabricated leaf packs; quality-first, easy local replacement).",,35000-90000,62500,High,https://spring.com.pk/contact-2/ ; https://popularspringind.com/,Parts,15,INV-0014,P2 - Buy before refit,2,P2-C suspension local quote after measurements (2026-04-15),BUY_NEW,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Local rear leaf spring pack (LOCAL-FJ40-REAR-LEAF) x2,,LEW (primary): https://spring.com.pk/contact-2/ | Popular Spring (backup): https://popularspringind.com/,,,pre_tub_refit,selected_primary_local_new_suspension_path,replacement_part,replace_or_procure,planned_or_open,selected_primary_path,"Suspension procurement moved under Parts; quantity/spec migrated from Suspension tab. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: local spring path retained; order only after measured quote confirmation. | Quote-band set from local fabricated front+rear spring baseline (row 166) split 50/50; confirm with measured eye-eye, pack width and arch. | Age/condition rule: NEW_FABRICATED_ONLY springs; do not install unknown-used packs. | Decision 2026-04-17: selected as primary suspension path (new local fabricated leaf packs; quality-first, easy local replacement).",,35000-90000,62500,High,https://spring.com.pk/contact-2/ ; https://popularspringind.com/,Parts,16,INV-0015,P2 - Buy before refit,2,P2-C suspension local quote after measurements (2026-04-15),BUY_NEW,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
New genuine local shock absorbers path (Agriauto or equivalent OEM-grade local brand),,Agriauto distributors: https://www.agriauto.com.pk/distributors-network/ | TJM XGS local: https://4x4stop.pk/index.php/product-category/suspensions-by-vehicle-tjm-xgs/,,,pre_tub_refit,quote_local_genuine_shocks_then_order_new,replacement_part,replace_or_procure,planned_or_open,selected_primary_path,"Decision 2026-04-17: OME dropped; use new locally serviceable shocks only. Verify fitment length/mount type, warranty/invoice, and matching pair damping.",planned_or_open,25000-120000,70000,High,https://www.agriauto.com.pk/distributors-network/ ; https://4x4stop.pk/index.php/product-category/suspensions-by-vehicle-tjm-xgs/,Parts,254,INV-LOCAL-SHOCK-20260417,P2 - Buy before refit,2,decision_or_timing,BUY_NEW,high,local_serviceable_new_only,high,low,local_pk_or_on_hand
Suspension Rebuild Pack - Bushings (spring eye + shackle full matched set),,Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_leaf+spring+bush+toyota/ | Daraz: https://www.daraz.pk/catalog/?q=leaf+spring+bush,,,pre_tub_refit,buy_full_matched_set_local_new,replacement_part,replace_or_procure,planned_or_open,selected_primary_path,Consolidated local pack; replace all bushings together for consistent suspension behavior.,planned_or_open,10000-30000,20000,High,https://www.pakwheels.com/accessories-spare-parts/search/-/q_leaf+spring+bush+toyota/ ; https://www.daraz.pk/catalog/?q=leaf+spring+bush,Parts,255,INV-0253,P2 - Buy before refit,2,decision_or_timing,BUY_NEW,high,local_serviceable_path,high,low,local_pk_or_on_hand
Suspension Rebuild Pack - U-bolts + shackles/pins (new high-tensile set),,Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_u+bolt+leaf+spring+toyota/ | Pakwheels: https://www.pakwheels.com/accessories-spare-parts/search/-/q_shackle+bush+toyota/,,,pre_tub_refit,buy_high_tensile_u_bolts_and_new_shackle_hardware,replacement_part,replace_or_procure,planned_or_open,selected_primary_path,Consolidated local pack; use new high-tensile U-bolts and full new shackle/pin hardware.,planned_or_open,25000-70000,47500,High,https://www.pakwheels.com/accessories-spare-parts/search/-/q_u+bolt+leaf+spring+toyota/ ; https://www.pakwheels.com/accessories-spare-parts/search/-/q_shackle+bush+toyota/,Parts,256,INV-0254,P2 - Buy before refit,2,decision_or_timing,BUY_NEW,high,local_serviceable_path,high,low,local_pk_or_on_hand
12mm  split wiring pipe / loom pipe,10m,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 62 into Parts inventory.,,,,,,Wiring,62,INV-0099,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
16mm split wiring pipe / loom pipe,6m,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 63 into Parts inventory.,,,,,,Wiring,63,INV-0100,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
8mm  split wiring pipe / loom pipe,5m,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 61 into Parts inventory.,,,,,,Wiring,61,INV-0098,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Electric wires,,,,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,RR action=Use Montgomery Road / local electrical markets for small top-ups after stock count.; evidence=Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors.,,,,,,Restore_Replace,33,INV-0162,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Fuel-stop ignition-control hardware top-up (relay/fuse/terminals only if stock short),,Use on-hand stock first; local top-up only if needed,No,,pre_dash_refit,stock_audit_then_buy_only_if_short,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Implements reliable key-off engine shutdown while retaining manual diesel cutoff cable as backup. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: existing relay/fuse/terminal inventory is substantial; no immediate purchase unless counted short.,,,,,,Parts,43,INV-0042,P3 - Audit then buy,3,electrical top-up only after stock audit (2026-04-15),INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
H4 Ceramic Headlight Connector - H4 - High,550,autoxpertpakistan,,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 52 into Parts inventory. | RR action=Use Montgomery Road / local electrical markets for small top-ups after stock count.; evidence=Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors.,,,,,,Wiring,52,INV-0094,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
"Hazard: 1 × red latching pushbutton, panel-mount, automotive 12V",,electronicstore.pk,,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,"6mm PLUSE Switch10 Amp 16mm Latching Push Button Switch 12V and 24v Angel Eye LED Waterproof Stainless Steel Round (16mm, Red) Price in Pakistan | Open item with no procurement evidence yet. | Migrated from Wiring row 129 into Parts inventory.",,,,,,Wiring,129,INV-0121,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Horn relay,,,,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,RR action=Use Montgomery Road / local electrical markets for small top-ups after stock count.; evidence=Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors.,,,,,,Restore_Replace,35,INV-0163,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Hot rod wiring quote,,,,,pre_order_audit,scope_audit_before_order,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,RR action=Only order import/specialty after scope audit confirms gap.; evidence=Electrical work is already advanced; verify current loom coverage before ordering more.,,,,,,Restore_Replace,19,INV-0151,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Insulated Thimbles Male lug 4mm Yellow in Pakistan × 1,800,,,,pre_order_audit,stock_audit_then_local_topup,wiring_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Wiring row 46 into Parts inventory.,,,,,,Wiring,46,INV-0088,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
M6 star / lock washer,,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Moved from Wiring tab; fastener item belongs in Parts purchase tracking.,,,,,,Parts,36,INV-0035,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
M8 star / lock washer,,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Moved from Wiring tab; fastener item belongs in Parts purchase tracking.,,,,,,Parts,37,INV-0036,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
PET expandable braided sleeving (100ft 1/4 inch),,,,,pre_order_audit,scope_audit_before_order,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,RR action=Use local electrical markets first; avoid duplicate online orders.; evidence=Electrical work is already advanced; verify current loom coverage before ordering more.,,,,,,Restore_Replace,20,INV-0152,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Star washers (bite into metal),,,,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,RR action=Use Montgomery Road / local electrical markets for small top-ups after stock count.; evidence=Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors.,,,,,,Restore_Replace,21,INV-0153,P3 - Audit then buy,3,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
Starter interrupt security relay path (relay + base + concealed arm/disarm switch),,Local electrical market / automotive relay supplier,No,,pre_dash_refit,use_on_hand_relay_hardware_buy_only_hidden_switch_if_missing,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Low-cost anti-theft hardening to prevent easy crank/start even if lock is bypassed. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Reconciled 2026-04-15: relay block/fuses already installed; treat as implementation task using on-hand stock, buy concealed switch only if missing.",,,,,,Parts,42,INV-0041,P3 - Audit then buy,3,security implementation using existing relay stock first (2026-04-15),BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
3mm Sound Damping Sheet / Deadening Pad,29500,megamotorsports,,,post_rust_repair,inspect_then_local_decide,consumable_material,inspect_then_decide,planned_or_open,planned_or_open,Open item with no procurement evidence yet. | Migrated from Substances row 6 into Parts inventory. | Reconciled 2026-04-15: hold until tub-off rust/weld scope is confirmed; buy in one controlled post-inspection batch.,,,,,,Substances,6,INV-0126,P4 - Post inspection,4,Body chemistry/insulation gated to tub-off rust/weld findings,INSPECT_THEN_DECIDE,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
