excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
11,work_package,WP04A,Low-Cost Gearshift Refinement Pass,mechanical,queued,WP04,Shifter feel improved and no disengagement under road-test load.,"Scope only: shifter bush/seat/socket service, gearbox oil, clutch hydraulic check/bleed, mount inspection/replacement as needed. No engine swap; no full gearbox rebuild unless fault persists."
12,work_package,WP04B,Tub-Off Engine Access Service + Inspection,mechanical,queued,WP01A,Engine-bay access inspection closed with condition-based replacement list.,"While tub is off: inspect mounts, hoses, lines, clamps, seals, linkage, and gearbox top-side service items."
13,work_package,WP04C,Suspension Setup: OME Dampers + Local Springs,steering_brakes_suspension,queued,WP01B,Local front/rear leaf packs and OME dampers installed and aligned.,Use local leaf springs for cost and serviceability; retain OME damping and bushing/hardware refresh.
14,work_package,WP05,Interior Weatherproofing Stack,interior,blocked,WP01,Cabin sealed and dry before trim/final fit.,Do not buy full interior finish stack early; release purchases by phase gate.
15,work_package,WP06,Reassembly + Validation,integration,queued,WP02|WP02A|WP03|WP04|WP04A|WP04B|WP04C|WP05|WP03A|WP03B,Roadworthy baseline validation passed with residual defects logged.,Only release optional upgrades after baseline validation sign-off. Tub refit control and suspension setup must close first.
16,procurement,part_electric_wires,Electric wires,electrical_reset,stock_audit_then_local_topup,pre_order_audit,audit_then_topup,Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors.
17,procurement,part_h4_ceramic_headlight_connector_high,H4 Ceramic Headlight Connector - H4 - High,electrical_reset,stock_audit_then_local_topup,pre_order_audit,audit_then_topup,Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors.
18,procurement,part_horn_relay,Horn relay,electrical_reset,stock_audit_then_local_topup,pre_order_audit,audit_then_topup,Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors.
19,procurement,part_mech_accessory_belt_set,Accessory belt set,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
20,procurement,part_mech_air_filter,Air filter element,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
21,procurement,part_mech_brake_flex_hose_set,Brake flexible hose set front and rear,steering_brakes_suspension,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
22,procurement,part_mech_clutch_master_slave_refresh,Clutch master and slave cylinder refresh kit,mechanical_baseline,inspect_then_local_decide,post_tub_off_inspection,inspect_first,Condition-dependent item; inspect first then buy local only if required.
23,procurement,part_mech_distributor_cap_rotor_tuneup,Distributor cap rotor and ignition tune-up consumables,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
24,procurement,part_mech_engine_mount_set,Engine mount set,mechanical_baseline,inspect_then_local_decide,post_tub_off_inspection,inspect_first,Condition-dependent item; inspect first then buy local only if required.
25,procurement,part_mech_engine_oil_filter_service,Engine oil + oil filter service pack,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
26,procurement,part_mech_fuel_filter,Fuel filter,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
27,procurement,part_mech_fuel_hose_and_clamps,Fuel-rated rubber hose and clamp kit,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
28,procurement,part_mech_heater_hose_set,Heater hose set with clamps,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
29,procurement,part_mech_radiator_cap,Radiator cap,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
30,procurement,part_mech_radiator_hose_set,Radiator hose set upper plus lower with clamps,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
31,procurement,part_mech_heat_glow_plugs_set,Heat plugs (glow plugs) set - NEW only,mechanical_baseline,buy_new_only_after_engine_code_confirmed,post_tub_off_inspection,local_bundle_buy,Diesel heat/glow plugs must be new only; confirm exact thread/reach/voltage by engine code before purchase.
32,procurement,part_mech_thermostat_gasket,Thermostat plus gasket,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
33,procurement,part_mech_vacuum_hose_refresh,Vacuum hose refresh kit,mechanical_baseline,bundle_local_toyota_buy_after_inspection,post_tub_off_inspection,local_bundle_buy,Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.
34,procurement,part_metal_protection,Metal protection and restoration products,body_chassis,buy_minimum_qty_now,tub_off_immediate,minimal_buy,Needed for immediate rust-exposed metal stabilization when tub comes off.
35,procurement,part_primer,Primer,body_chassis,buy_minimum_qty_now,tub_off_immediate,minimal_buy,Needed for immediate rust-exposed metal stabilization when tub comes off.
36,procurement,part_rubber_grommet_set,Rubber grommet set,electrical_reset,track_in_flight_order,in_flight_now,delivery_tracking,Already ordered; do not rebuy.
37,procurement,part_star_washers,Star washers (bite into metal),electrical_reset,stock_audit_then_local_topup,pre_order_audit,audit_then_topup,Workbook shows substantial wiring stock already received/paid; top up only missing sizes/connectors.
38,procurement,quote_hot_rod_wiring,Hot rod wiring quote,electrical_reset,scope_audit_before_order,pre_order_audit,audit_then_order,Electrical work is already advanced; verify current loom coverage before ordering more.
39,procurement,quote_pet_braided_sleeving,PET expandable braided sleeving (100ft 1/4 inch),electrical_reset,scope_audit_before_order,pre_order_audit,audit_then_order,Electrical work is already advanced; verify current loom coverage before ordering more.
40,procurement,part_security_lockset_or_rekey,Ignition lock security fix (new lockset or locksmith re-key),interior_security,mandatory_security_fix_before_refit,pre_dash_refit,lock_security_before_refit,Current keying is insecure; complete lock security remediation before final reassembly sign-off.
41,procurement,part_security_starter_interrupt,Starter interrupt relay path (relay + concealed arm/disarm input),interior_security,low_cost_first_pass_security_upgrade,pre_dash_refit,minimal_buy,Low-cost anti-theft hardening to prevent easy crank/start in bypass scenarios.
