excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29
11,"Body mount bolts, washers, sleeves, captive-nut repairs",,Use graded fasteners and include sleeve/spacer and captive-nut repair provision.,,,pre_tub_refit,grade_spec_then_buy,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: structural body mount hardware bundle with sleeves + captive-nut repair material. | Age/condition rule: NEW_ONLY hardware (no salvage structural fasteners).",,12000-35000,22000,High,Bilal Ganj + industrial fastener shops (class-marked grade 8.8),Parts,11,INV-0010,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_preferred
12,Body-to-chassis mount rubber kit,,Local rubber/4x4 supplier or custom rubber fabricator if exact kit unavailable.,,,pre_tub_refit,measure_then_buy_with_trial_fit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: body mount rubber set, local pattern if correct hardness and sleeve fit verified. | Age/condition rule: NEW_ONLY body mount rubbers/sleeves.",,15000-60000,30000,High,Bilal Ganj rubber market (FJ/LC pattern) + import fallback,Parts,12,INV-0011,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_preferred
13,Body mount shims/spacers alignment pack,,Fabricate shim pack after mount-point map and weld closure dimensions are confirmed.,,,pre_tub_refit,prepare_before_trial_fit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | Tub refit locked to original OEM mount locations; no custom offset mounting. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: alignment shim pack assorted thicknesses for tub leveling.",,3000-12000,7000,Medium,Local fabricator/washer stock + Bilal Ganj,Parts,13,INV-0012,P2 - Buy before refit,2,P2-A immediate low-risk local procurement (2026-04-15),NEW_ONLY,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_preferred
14,"Gearbox top-cover service items (detents, bushes, shift-seat kit)",,Local transmission parts source; buy only against diagnosed wear.,,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,"Condition-based item: inspect first, then buy only if required.",,,,,,Parts,14,INV-0013,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
15,Ironman Foamcell suspension kit - main shipment (front dampers separate),575000,Ironman 4x4 supplier,,Unknown,in_flight_now,track_ordered_delivery,replacement_part,replace_or_procure,ordered,ordered_pending_delivery,User update 2026-05-01: ordered Ironman Foamcell kit for PKR 575000 after discount; front dampers tracked as separate shipment.,ordered,575000,575000,High,Attached parts-list image 2026-05-01,Parts,user_update_2026-05-01,INV-IRONMAN-FOAMCELL-20260501,In flight,1,user_order_2026-05-01,BUY_NEW,high,parts_list_image_2026-05-01,high,medium,import_or_specialty
16,Ironman Foamcell front damper pair - separate shipment (24635FE x2),,Ironman 4x4 supplier,,Unknown,in_flight_now,track_ordered_delivery,replacement_part,replace_or_procure,ordered,ordered_pending_delivery,Bifurcated shipment row. Amount is included in main Ironman kit total; verify 24635FE x2 when received.,ordered,included in main kit total,,High,Attached parts-list image 2026-05-01; Ironman front damper reference,Parts,user_update_2026-05-01-front,INV-IRONMAN-FRONT-DAMPERS-20260501,In flight,1,separate_shipment_tracking,BUY_NEW,high,parts_list_image_2026-05-01,high,medium,import_or_specialty
17,Accessory belt set,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,17,INV-0016,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
18,Air filter element,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,18,INV-0017,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
19,Brake flexible hose set front and rear,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,19,INV-0018,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
20,Clutch master and slave cylinder refresh kit,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,"Condition-based item: inspect first, then buy only if required. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Condition-dependent item; inspect first then buy local only if required.",,,,,,Parts,20,INV-0019,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
21,Distributor cap rotor and ignition tune-up consumables,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,21,INV-0020,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
22,Engine mount set,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,"Condition-based item: inspect first, then buy only if required. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Condition-dependent item; inspect first then buy local only if required.",,,,,,Parts,22,INV-0021,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
23,Engine oil + oil filter service pack,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,23,INV-0022,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
24,Fuel filter,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,5000-20000,18000,High,Diesel parts supplier,Parts,24,INV-0023,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
25,Fuel-rated rubber hose and clamp kit,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,25,INV-0024,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
26,Heater hose set with clamps,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,26,INV-0025,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
27,Radiator cap,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,27,INV-0026,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
28,Radiator hose set upper plus lower with clamps,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,28,INV-0027,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
29,Heat plugs (glow plugs) set - diesel engine (NEW only),,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,buy_new_glow_plugs_after_engine_code_confirmed,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec. | User rule 2026-04-15: heat/glow plugs are NEW ONLY; no used/refurbished plugs accepted.,,12000-36000,22000,High,Bilal Ganj diesel parts + local Toyota diesel supplier,Parts,29,INV-0028,P4 - Post inspection,4,procurement_pass2,NEW_ONLY,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
30,Thermostat plus gasket,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,2000-8000,8000,High,Engine parts supplier,Parts,30,INV-0029,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
31,Vacuum hose refresh kit,,Use local Toyota/common parts markets; buy as one batch after inspection.,,,post_tub_off_inspection,bundle_local_toyota_buy_after_inspection,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Active required purchase item from Procurement_Pass2. | RR action=Use local Toyota/common parts markets; buy as one batch after inspection.; evidence=Common Toyota service items should be bought as a local bundle after tub-off inspection confirms exact spec.,,,,,,Parts,31,INV-0030,P4 - Post inspection,4,procurement_pass2,INSPECT_THEN_DECIDE,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
32,Metal protection and restoration products,,"Prefer local sourcing first, then online if unavailable.",,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Needed for immediate rust-exposed metal stabilization when tub comes off. | Reconciled 2026-04-15: hold purchase until tub-off rust/weld scope is visible; buy after inspection.",,,,,,Parts,32,INV-0031,P4 - Post inspection,4,Condition-based after tub-off inspection (user confirmed 2026-04-15),BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
33,Primer,,"Prefer local sourcing first, then online if unavailable.",,,post_tub_off_inspection,inspect_then_local_decide,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Active required purchase item from Procurement_Pass2. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Needed for immediate rust-exposed metal stabilization when tub comes off. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Body chemistry stack should be bought as one bundle after rust map and weld scope are finalized. | RR action=Prefer local sourcing first, then online if unavailable.; evidence=Body chemistry stack should be bought as one bundle after rust map and weld scope are finalized. | Reconciled 2026-04-15: hold purchase until tub-off rust/weld scope is visible; buy after inspection.",,1000-8000,7000,Low,Diesel parts supplier,Parts,34,INV-0033,P4 - Post inspection,4,Condition-based after tub-off inspection (user confirmed 2026-04-15),BUY_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
34,M6 star / lock washer,,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Moved from Wiring tab; fastener item belongs in Parts purchase tracking.,,,,,,Parts,36,INV-0035,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
35,M8 star / lock washer,,Montgomery Road (Lahore),,,pre_order_audit,stock_audit_then_local_topup,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Moved from Wiring tab; fastener item belongs in Parts purchase tracking.,,,,,,Parts,37,INV-0036,P3 - Audit then buy,3,decision_or_timing,INSPECT_THEN_DECIDE,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
36,"Schneider Harmony 22mm 2-position maintained selector switch (1NO, black) x 4",31900,purchaser.com.pk | https://purchaser.com.pk/schneider-harmony-22mm-push-button-2-position-selector-switch-black-maintained-1-no-600-v/,Y,Y,received,complete_no_more_required,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,All 7 Schneider Harmony switches received: 4x 2-way and 3x 3-way. Combined order total tracked on this line.,✓,received,,,,Done / On hand,0,user_update_2026-05-01,Done / On hand,0,user_update_2026-04-27,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
37,"Schneider Harmony XB4 22mm 3-position maintained selector switch (2NO, long handle) x 3",,purchaser.com.pk | https://purchaser.com.pk/schneider-selector-switch-harmony-xb4-metal-black-22mm-long-handle-3positions-stay-put-2no/,Y,Y,received,complete_no_more_required,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,"All 7 Schneider Harmony switches received: 4x 2-way and 3x 3-way. This 3-way quantity was included in the combined PKR 31,900 order total.",ordered/in-flight,received,,,,Done / On hand,0,user_update_2026-05-01,P1 - In flight / immediate,1,user_update_2026-04-27,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
38,Dashboard fascia / auxiliary switch panel (if OEM holes are insufficient),,Local sheet-metal/fabrication shop,No,,pre_dash_refit,fabricate_only_if_required_by_switch_fitup,replacement_part,replace_or_procure,planned_or_open,planned_or_open,Only buy/fabricate if right+mid cluster hole count/spacing/depth cannot safely host all required controls. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: fabricate only if OEM holes cannot safely fit required controls.,,,,,,Parts,40,INV-0039,P2 - Buy before refit,6,P2-E conditional fabrication only if switch fit requires it (2026-04-15),BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
39,Ignition lock security fix (new barrel + matched keys OR full locksmith re-key),,Local locksmith + lockset supplier,No,,pre_dash_refit,mandatory_security_fix_before_refit,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Current key security reported weak; complete matched-key security fix before final refit. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Price basis 2026-04-15: locksmith re-key/local lock solution preferred; exact FJ40 imported set costs higher.",,4000-25000,12000,High,Bilal Ganj locksmith + lock vendors; import lock set fallback,Parts,41,INV-0040,P2 - Buy before refit,3,P2-B security/control completion after parts audit (2026-04-15),SERVICE_OR_NEW,medium,"photo_group=documentation_reference; group_photo_count=5; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
40,Starter interrupt security relay path (relay + base + concealed arm/disarm switch),,Local electrical market / automotive relay supplier,No,,pre_dash_refit,use_on_hand_relay_hardware_buy_only_hidden_switch_if_missing,replacement_part,replace_or_procure,planned_or_open,planned_or_open,"Low-cost anti-theft hardening to prevent easy crank/start even if lock is bypassed. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: prioritize as low-risk, locally available buy-first item. | Reconciled 2026-04-15: relay block/fuses already installed; treat as implementation task using on-hand stock, buy concealed switch only if missing.",,,,,,Parts,42,INV-0041,P3 - Audit then buy,3,security implementation using existing relay stock first (2026-04-15),BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
41,Fuel-stop ignition-control hardware top-up (relay/fuse/terminals only if stock short),,Use on-hand stock first; local top-up only if needed,No,,pre_dash_refit,stock_audit_then_buy_only_if_short,replacement_part,inspect_then_decide,planned_or_open,planned_or_open,Implements reliable key-off engine shutdown while retaining manual diesel cutoff cable as backup. | P2 active batch confirmed 2026-04-15 | Reconciled 2026-04-15: existing relay/fuse/terminal inventory is substantial; no immediate purchase unless counted short.,,,,,,Parts,43,INV-0042,P3 - Audit then buy,3,electrical top-up only after stock audit (2026-04-15),INSPECT_THEN_DECIDE,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
