excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7
18,Harden 12pcs Tap and Die Set 12pcs,7940,ToolsMart.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
19,Ratchet crimping plier 9″ THCPL1506 | Company: Total | Origin: China,2600,totaltool.pk,Y,Y,planned_or_open,Open item with no procurement evidence yet.
20,Labels,,,,,section_header,Label/group row.
21,“1/2 inch 24 inch breaker bar — heavy duty”,,,Y,Y,section_header,Label/group row.
22,Electric Clamp Meter Multimeter Tester Pen Kit ANENG ST170+B15 600V AC/DC Voltage with 24V-250V AC Voltage Tester Home DIY Tools,8811,AliExpress,No,No,not_procured,No confirmed order evidence yet; keep as not ordered until proof appears.
23,YTH -803 AUTOMATIC WIRE STRIPPER & CRIPMER,1650,fiaz.com.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
24,Side Cutter Bosi Black in Pakistan,650,fiaz.com.pk,No,No,not_procured,No clear order/receipt evidence and user reports not received.
25,Bosi Nose Plier 6'' Black A+ Quality in Pakistan,650,fiaz.com.pk,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
26,INGCO Air compressor - ACS112501 × 1,57000,almirajtrading.com.pk,,N,not_procured,Explicitly not purchased/received yet.
27,Total Abrasive metal Cutting Disc Set 50 Pcs,3999,ngcotool.pk,Y,Y,planned_or_open,Open item with no procurement evidence yet.
28,Tolsen 79646 Heavy Duty Bench Grinder 6,13999,ngcotool.pk,No,No,not_required,Currently considered not required for this project.
29,10 meter hose for ar compressINGCO Air hose - AH1151 × 1or,2850,almirajtrading.com.pk,M,N,not_procured,Explicitly not purchased/received yet.
30,Jumnp Leads,,,Y,Y,section_header,Label/group row.
31,Jacks and stands,,,,,section_header,Label/group row.
41,Ar-CO2 Canister,42362,pakoxygen,No,Y,ordered_in_flight,Paid and awaiting arrival.
42,E7018 Fortrex Electodes,2325,pakoxygen,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
43,E7018 Fortrex Electodes - x2,8500,pakoxygen,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
44,E6013 Zodian,2248,pakoxygen,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
45,E6013 Zodian,3120,pakoxygen,Y,Y,duplicate,Duplicate line item of row 44 pending explicit second-order evidence.
46,Saffire™ MIG Welding Wire x 2,16800,pakoxygen,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
47,Saffire™ MIG Welding Wire,8025,pakoxygen,Y,Y,procured_or_on_hand,Evidence indicates purchased/received.
48,"MIG WELDING FLUX CORE WIRE, 1KG, 0.8MM",2516,Daraaz,Y,,procured_or_on_hand,Evidence indicates purchased/received.
49,10pcs Male Female red Insulated Bullet Connecto x 4,1920,Daraaz,Y,,procured_or_on_hand,Evidence indicates purchased/received.
50,"German Imported WORKPRO 125mm 40 Grit Flap Discs - Premium Aluminium Grinding Disc for Removing Deburr, Rust, Polishing, Finishing x 4",4000,Daraaz,Y,,procured_or_on_hand,Evidence indicates purchased/received.
51,"German Imported WORKPRO Flap Discs 60 Grit, 125mm x 22.2mm, Angle Grinder Discs x 3",3000,Daraaz,Y,,procured_or_on_hand,Evidence indicates purchased/received.
52,EDON Expert MIG 270 (15Kg) (Single Phase) BUILTIN WIRE FEEDER (GAS OR GASLESS),76500,toolshub,No,Y,ordered_in_flight,Paid for but not yet received.
53,Drill chuck (compatible with existing drill spindle/arbor),,Local hardware/tools market,Y,,procured_or_on_hand,Acquired; user reports Aamir shared image evidence.
54,22mm step drill bit (metal panel capable),,Local hardware/tools market,No,,planned_or_open,Primary tool to open existing pull-switch holes toward 22mm.
55,22mm chassis punch or precision hole cutter,,Local hardware/tools market,No,,ordered_in_flight,Recently ordered; awaiting arrival confirmation.
56,Deburring tool / round file set for panel holes,,Local hardware/tools market,No,,planned_or_open,Required for clean switch fit and paint-edge protection.
57,Digital caliper (hole/spacing verification),,Local hardware/tools market,No,,planned_or_open,Used to validate hole diameter and center spacing before cutting.
