excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
11,Clutch flex hose,197,CONDITIONAL,N/A,NOT_PURCHASED,3000-12000,10000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_clutch+hose+toyota/,https://www.daraz.pk/catalog/?q=clutch+hose+toyota,Validate model year and hose end fittings before purchase.,BUY_IF_WORN,
12,Fuel hose + return hose + hose clamps kit,"25, 202, 203, 204",YES,Rows grouped as one fuel-line rubber package,NOT_PURCHASED,10000-40000,33000,https://www.daraz.pk/catalog/?q=SAE+J30R7+fuel+hose,https://www.daraz.pk/catalog/?q=fuel+hose+clamp,Use fuel-rated hose only (diesel compatible) and quality clamps.,BUY_NEW,
13,Heater hose set,"26, 207",CONDITIONAL,26 and 207 merged,NOT_PURCHASED,3000-12000,9000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_heater+hose+toyota/,https://www.daraz.pk/catalog/?q=heater+hose+toyota,Verify ID and total run length before ordering by meter.,BUY_IF_AGED,
14,Radiator/coolant hoses + thermostat gasket + radiator mount pads,"28, 30, 206, 210",CONDITIONAL,Grouped cooling rubbers and gasket line items,NOT_PURCHASED,12000-45000,23000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_radiator+hose+toyota/,https://www.daraz.pk/catalog/?q=radiator+hose+toyota,Confirm engine/year-specific hose geometry and thermostat housing style.,BUY_IF_AGED_OR_CRACKED,
15,Reservoir hoses / caps / seals,194,CONDITIONAL,N/A,NOT_PURCHASED,2000-8000,8000,https://www.daraz.pk/catalog/?q=coolant+reservoir+cap+hose,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,Replace brittle caps and cracked small hoses during cooling refresh.,BUY_IF_AGED,
16,Tank strap pads/rubbers + sender seal,"201, 200",CONDITIONAL,Grouped tank rubber ancillaries,NOT_PURCHASED,2000-12000,10000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_fuel+sender+gasket+toyota/,https://www.daraz.pk/catalog/?q=fuel+sender+gasket+toyota,Confirm sender flange OD and strap pad dimensions before order.,BUY_IF_TANK_DROPPED,
17,Door weatherstrip set,171,LATER_OPTIONAL,N/A,NOT_PURCHASED,30000-90000,80000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_door+weatherstrip+toyota/,https://www.daraz.pk/catalog/?q=land+cruiser+weather+strip,Year-specific profile; choose by door type (early vs late).,DEFER_UNTIL_BODY_FINISH,
18,Windscreen rubber / base seal,172,LATER_OPTIONAL,N/A,NOT_PURCHASED,8000-25000,20000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_windshield+rubber+toyota/,https://www.daraz.pk/catalog/?q=windshield+weatherstrip+toyota,Match glass style/year before purchase.,DEFER_UNTIL_GLASS_STAGE,
19,Vent / flap / cowl seal set,173,LATER_OPTIONAL,N/A,NOT_PURCHASED,5000-15000,12000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_vent+window+seal+toyota/,https://www.daraz.pk/catalog/?q=vent+window+seal+rubber+toyota,Variant differs by market/year; verify vent window type.,DEFER_UNTIL_BODY_FINISH,
20,Exhaust hanger rubbers,214,CONDITIONAL,N/A,NOT_PURCHASED,2000-8000,8000,https://www.daraz.pk/catalog/?q=exhaust+hanger+rubber,https://www.pakwheels.com/accessories-spare-parts/search/-/q_exhaust+hanger+rubber/,Replace cracked hangers during final exhaust alignment.,BUY_IF_CRACKED,
21,A/C barrier hoses + drain hoses + O-rings,"182, 183, 234, 235, 239, 243",LATER_OPTIONAL,182 and 239 barrier-hose duplicate grouped,NOT_PURCHASED,15000-70000,45000,https://www.daraz.pk/catalog/?q=car+ac+hose,https://industryparts.pk/products/o-ring-assortment-rubber-kit-382-pieces-30-sizes,Buy when HVAC layout is finalized; hose lengths depend on compressor/condenser placement.,DEFER_UNTIL_HVAC_STAGE,
22,Pedal rubbers,223,LATER_OPTIONAL,N/A,NOT_PURCHASED,1000-5000,4000,https://www.pakwheels.com/accessories-spare-parts/search/-/q_pedal+rubber+toyota/,https://www.daraz.pk/catalog/?q=toyota+pedal+rubber,Cosmetic/ergonomic item; verify pedal arm profile before order.,DEFER,
23,TOTAL_CURRENT_BUILD_ONLY,,,,,,,,,,,
24,TOTAL_ALL_LISTED,,,,,,,,,,,
