excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
27,https://www.olx.com.pk/spare-parts_c82/q-engine-turbo?page=2,,,,,,,,,,,,,
28,https://www.olx.com.pk/garri-shahu_g5000685/q-engine,,,,,,,,,,,,,
29,https://www.olx.com.pk/nazir-garden-society_g5000674/engines_c709021/q-part-1,,,,,,,,,,,,,
30,https://www.olx.com.pk/punjab_g2003006/engines_c709021/q-1-,,,,,,,,,,,,,
31,https://www.olx.com.pk/islamabad_g4060615/spare-parts_c82/q-toyota-surf-hilux,,,,,,,,,,,,,
32,https://www.olx.com.pk/item/engine-3rz-atu-gear-iid-1111948382,,,,,,,,,,,,,
33,https://hdautomotive.com.au/product/brand-new-h55f-transmission-suitable-for-hzj70-hzj73-hzj75-series-landcruiser/,,,,,,,,,,,,,
34,https://landcruisercomponents.com/product/toyota-landcruiser-diesel-hzj75-1hz-h55-h55f-gearbox-transfer-recondition-outright-del-included/,,,,,,,,,,,,,
35,https://www.atfspeed.com/a340e-race-master-overhaul-kit.html,,,,,,,,,,,,,
36,https://bigcountrycustoms.com/product/r151f-kit-turbo/,,,,,,,,,,,,,
37,https://www.pakistanpoint.com/en/story/2165242/currency-rate-in-pakistan-dollar-euro-pound-riyal-rates-on-6-april-2026.html,,,,,,,,,,,,,
39,Power + Cost View (with Current Powertrain Sale Credit Assumption),,,,,,,,,,,,,
40,Assumption,Sale credit for current engine/gear package,"PKR 300,000",Baseline for delta,"Current engine retained + low-cost gearbox service (PKR 637,000 to PKR 2,157,000)",,,,,,,,,
41,Likely retainable value of current 2H + gearbox package,"PKR 200,000 to PKR 500,000 (condition-dependent)","Net columns currently model PKR 300,000 credit",Mitigation note,"If sale is PKR 500,000, swap net costs reduce by additional PKR 200,000 vs current model.",,,,,,,,,
42,Scenario Group,Engine Option,Power (hp),Torque (Nm),"Total Build Cost (PKR, with EPS)",Net Build Cost After Sale Credit,Delta vs Current Engine Low-Cost Path,Power Ranking,Main Upgrade Pressure Areas,Confidence,Power Spec Note,Maintainability / Local Repairability (Pakistan),Fitment Complexity in J40,PKR per +10 hp vs current 2H (net delta)
43,Current engine (identified from photos),Toyota 2H 4.0L naturally aspirated diesel (current),105-115,240,"PKR 637,000 to PKR 2,157,000","PKR 637,000 to PKR 2,157,000",PKR +0 to +0,Baseline,Low-cost shifter/gearbox service-first path,High,Photo review supports NA H-series inline-six; no turbo hardware visible. Displacement and architecture align with 2H (market-rated outputs vary).,"Very High (known setup, local mechanics familiar)",Already fitted (baseline),Baseline
44,Engine replacement,Toyota 3B diesel + 4x4 gearbox package,97,217,"PKR 1,137,000 to PKR 3,007,000","PKR 837,000 to PKR 2,707,000","PKR +200,000 to +550,000",Low,"Mounts, cooling refresh, driveline matching",Medium,Toyota 75 Years LC60/LC70 lists 3B at 98 PS (~97 hp); torque varies by market.,High (simple mechanical diesel),Medium (mounting/ancillary adaptation),N/A (no power gain vs current 2H)
45,Engine replacement,Toyota 1HZ 4.2 diesel + manual gearbox package,129,285,"PKR 1,507,000 to PKR 3,587,000","PKR 1,207,000 to PKR 3,287,000","PKR +570,000 to +1,130,000",Medium-Low,"Cooling, clutch/hydraulics, mount and exhaust fit",Medium,Toyota NCF lists 1HZ at 96 kW SAE-NET / 285 Nm (market variants also exist).,High (Toyota diesel parts/common know-how),Medium (mount/exhaust/cooling adaptation),"PKR 300,000 to PKR 595,000"
46,Engine replacement,Toyota 1HD-FTE 4.2 turbo diesel,201,430,"PKR 1,917,000 to PKR 4,487,000","PKR 1,617,000 to PKR 4,187,000","PKR +980,000 to +2,030,000",High,"Fuel system, cooling, gearbox strength, wiring integration",Low-Medium,Toyota NCF (LC100) lists 1HD-FTE at 150 kW and 430 Nm.,Medium (more integration complexity),Medium-High (driveline/cooling/fuel integration),"PKR 108,000 to PKR 223,000"
47,Engine replacement,Toyota 1KZ-TE turbo diesel,138,315-343,"PKR 1,327,000 to PKR 3,487,000","PKR 1,027,000 to PKR 3,187,000","PKR +390,000 to +1,030,000",Medium,"Intercooler/cooling, ECU integration, gearbox pairing",Medium,Toyota 75 Years Prado 90 lists 1KZ-TE at 140 PS; torque varies by spec/intercooler tune.,"Medium (older EFI diesel, serviceable locally)",Medium (ECU + plumbing integration),"PKR 139,000 to PKR 368,000"
48,Engine replacement,Toyota 1KD turbo intercooler,168,343-410,"PKR 1,807,000 to PKR 4,237,000","PKR 1,507,000 to PKR 3,937,000","PKR +870,000 to +1,780,000",High,"Common-rail electronics/immobilizer, cooling, gearbox",Low-Medium,Toyota 75 Years Prado 90 lists 1KD-FTV at 170 PS; torque varies by ECU/market tune.,Medium-Low (common-rail + electronics),Medium-High (wiring/ECU/immobilizer integration),"PKR 150,000 to PKR 307,000"
49,Engine replacement,Toyota 3RZ-FE petrol,148-150,240,"PKR 987,000 to PKR 3,107,000","PKR 687,000 to PKR 2,807,000","PKR +50,000 to +650,000",Medium,"Fuel system conversion, exhaust, donor harness",Medium,Toyota 75 Years Prado 90 cites 3RZ-FE at 150 PS; Toyota NCF refs include 240 Nm.,Medium-High (simple petrol engine support),Medium (fuel/exhaust/harness conversion),"PKR 13,000 to PKR 167,000"
50,Engine replacement,Toyota 1FZ-FE petrol (complete with auto gear),221,387,"PKR 1,347,000 to PKR 3,537,000","PKR 1,047,000 to PKR 3,237,000","PKR +410,000 to +1,080,000",High,"Cooling, exhaust packaging, trans tunnel/shifter setup",Low-Medium,Toyota NCF (LC100) lists 1FZ-FE at 165 kW SAE-NET and 387 Nm.,"Medium (petrol support okay, packaging heavier)",Medium-High (cooling/exhaust/trans setup),"PKR 37,000 to PKR 97,000"
51,Engine replacement,Toyota 1UZ-FE V8,260-290,366-407,"PKR 1,407,000 to PKR 4,057,000","PKR 1,107,000 to PKR 3,757,000","PKR +470,000 to +1,600,000",Very High,"Full EFI wiring, adapter/transmission, cooling, custom mounts/exhaust",Low-Medium,Lexus/Toyota 1UZ-FE docs show 260 hp (97 LS400) to 290 hp (98 LS400 VVT-i).,Medium-Low (customized swap support needed),"High (adapter, wiring, packaging, exhaust)","PKR 28,000 to PKR 97,000"
52,Engine replacement (added),Toyota 2H donor replacement + matched gearbox (same-family swap),115,240-315,"PKR 1,027,000 to PKR 2,907,000","PKR 727,000 to PKR 2,607,000","PKR +90,000 to +450,000",Baseline-equivalent,"Mostly mechanical fitment, basic diesel ancillaries",Low,"This is a like-for-like donor swap path, not a power upgrade over the current identified 2H.",Very High (same-family serviceability),Low-Medium (same-family donor swap),Not a power upgrade objective (same-family donor)
53,Engine replacement (added),Toyota 12H-T turbo diesel,134,315,"PKR 1,607,000 to PKR 3,987,000","PKR 1,307,000 to PKR 3,687,000","PKR +670,000 to +1,530,000",Medium-High,"Turbo plumbing, cooling, gearbox and driveline load upgrades",Low,Published 12H-T references converge on 100 kW / 134 hp and 315 Nm; verify exact donor spec.,Medium-High (mechanical turbo diesel),Medium (turbo/cooling/driveline load handling),"PKR 279,000 to PKR 638,000"
54,Engine replacement (added),Toyota 1HD-T turbo diesel (mechanical pump),158,360,"PKR 1,667,000 to PKR 4,037,000","PKR 1,367,000 to PKR 3,737,000","PKR +730,000 to +1,580,000",High,"Cooling, driveline strength, turbo/exhaust integration",Low-Medium,Toyota NCF (LC100) lists 1HD-T at 118 kW SAE-NET and 360 Nm.,Medium-High (mechanical turbo diesel),Medium-High (integration + load management),"PKR 152,000 to PKR 329,000"
55,Engine replacement (added),Toyota 2UZ-FE V8,228-232,410-434,"PKR 1,807,000 to PKR 4,587,000","PKR 1,507,000 to PKR 4,287,000","PKR +870,000 to +2,130,000",High,"V8 packaging, auto trans integration, cooling, fuel and wiring",Low-Medium,Toyota NCF (LC100) shows 2UZ-FE outputs from 170 kW/410 Nm to 173 kW/434 Nm.,"Medium (V8 parts available, integration custom)","High (packaging, auto trans, wiring)","PKR 72,000 to PKR 178,000"
56,Engine replacement (added),Toyota 1GR-FE V6,228,360,"PKR 2,157,000 to PKR 4,937,000","PKR 1,857,000 to PKR 4,637,000","PKR +1,220,000 to +2,480,000",Very High,"Modern ECU/immobilizer, pedal-by-wire, fuel/wiring integration",Low,LC70 1GR-FE spec sheets commonly show 170 kW / 360 Nm (market-specific).,Medium-Low (modern ECU/DBW complexity),High (electronics + fitment complexity),"PKR 103,000 to PKR 210,000"
58,"Interpretation note: swap net totals assume PKR 300,000 sale credit for the existing 2H+gear package; likely retained value range is PKR 200,000 to PKR 500,000 depending compression/oil pressure/gearbox condition and buyer demand. PKR per +10 hp uses midpoint horsepower versus current 2H baseline.",,,,,,,,,,,,,
60,Current Powertrain Baseline (authoritative reference for comparisons),,,,,,,,,,,,,
61,Field,Value,Status,Evidence / Action,,,,,,,,,,
62,Vehicle family,J40 project vehicle,Confirmed,Project scope across workbook.,,,,,,,,,,
63,Current engine description,"6-cylinder, 4.0L diesel (photo-supported)",Confirmed,Cross-checked from engine-bay photos and vehicle badging; used as baseline for comparisons.,,,,,,,,,,
64,Current engine code,Toyota 2H (photo-identified),High confidence (photo evidence),"Engine-bay photos 20260321_235501 and 20260323_185920 show NA H-series inline-six layout with mechanical injection and no turbo hardware, consistent with 2H. Take block-stamp photo during tub-off for serial-level confirmation.",,,,,,,,,,
65,Serial/block stamp photo evidence,Not yet captured in current photo set,Pending hard-proof step,At tub-off stage: capture close-up of stamped engine code/number on block and attach filename reference here.,,,,,,,,,,
66,Current aspiration,Naturally aspirated (no turbo),Confirmed from photos,"No turbocharger, turbine housing, or boost plumbing visible in reviewed engine-bay photos.",,,,,,,,,,
67,Current transmission status,"Operational but clunky shift feel, occasional disengage reported",Confirmed,Already captured in gearbox service-first plan and cost scenarios.,,,,,,,,,,
68,Comparison baseline used,Current engine retained + low-cost gearbox service,Confirmed,"PKR 637,000 to PKR 2,157,000 baseline in this sheet.",,,,,,,,,,
70,200hp+ Options (Complexity-Reduced View),,,,,,,,,,,,,
71,Engine Option,Power (hp),Torque (Nm),"Net Build Cost (PKR, 300k credit)",Maintainability,Fitment Complexity,Complexity-Reduced Path,Estimated Complexity Risk,Recommendation Tier,Resale Mitigation Note,,,,
72,Toyota 1HD-FTE 4.2 turbo diesel,201,430,"PKR 1,617,000 to PKR 4,187,000",Medium,Medium-High,Buy complete running donor set: engine + gearbox + transfer + mounts + radiator/intercooler + harness/ECU. Keep mechanical-style cabin controls where possible.,Medium,Tier 1 (best 200hp+ diesel balance),Sale of current 2H package (200k-500k) directly offsets this swap.,,,,
73,Toyota 1FZ-FE petrol (complete with auto gear),221,387,"PKR 1,047,000 to PKR 3,237,000",Medium,Medium-High,Use complete donor powerpack with matched transmission and uncut harness. Avoid custom ECU and avoid mixed parts from multiple donors.,Medium,Tier 1 (lowest-cost 200hp+ path),Sale of current 2H package (200k-500k) helps keep this near upper current-build range.,,,,
74,Toyota 2UZ-FE V8,228-232,410-434,"PKR 1,507,000 to PKR 4,287,000",Medium,High,Only proceed with complete donor and factory trans + full wiring set. Avoid standalone ECU first-pass.,High,Tier 2 (torque-focused but complex),Sale credit helps but complexity cost dominates.,,,,
75,Toyota 1GR-FE V6,228,360,"PKR 1,857,000 to PKR 4,637,000",Medium-Low,High,"Only viable with full modern donor (ECU, immobilizer, pedal, throttle body, harness). Otherwise risk/cost spikes.",Very High,Tier 3 (modern-electronics heavy),Sale credit small compared to integration load.,,,,
76,Toyota 1UZ-FE V8,260-290,366-407,"PKR 1,107,000 to PKR 3,757,000",Medium-Low,High,Reduce complexity by buying conversion-ready package (engine+auto+adapter+mount kit+harness) from one source.,High,"Tier 2 (highest hp, custom-heavy)","Sale credit improves value, but custom integration remains major.",,,,
78,"Practical complexity reduction rule: do not piece together engine, gearbox, ECU, and harness from different sources. Use a single complete donor set, then perform only chassis-side adaptation. This is the biggest lever to control time/risk.",,,,,,,,,,,,,
80,200hp+ Quality-Gated Cost Tightening (Reduced Margin View),,,,,,,,,,,,,
81,"Quality gate used to tighten ranges: complete running donor package (engine+matched transmission+ECU/harness/ancillaries), cold-start and hot-idle video, compression test within 10% cylinder spread, no heavy blow-by/smoke, and 30-day startup warranty. Engines not meeting this gate are excluded from this view.",,,,,,,,,,,,,
83,Engine Option,Power (hp),"Current Net Range (PKR, 300k credit)",Current Delta vs 2H Path,Tightened Net Target Range (Quality-Gated),Tightened Delta Target vs 2H Path,Maintainability,Fitment Complexity,Resale Sensitivity (2H sale 200k-500k),Primary Risk Left,Decision Note,,,
84,"Current 2H (existing engine, no swap)",105-115,"PKR 637,000 to PKR 2,157,000",PKR +0 to +0,"PKR 637,000 to PKR 2,157,000",PKR +0 to +0,Very High,Already fitted (baseline),No sale-credit dependency (this is the baseline),Condition of existing gearbox/shifter wear,This is the full existing-engine build total for direct comparison.,,,
85,Toyota 1HD-FTE 4.2 turbo diesel,201,"PKR 1,617,000 to PKR 4,187,000","PKR 980,000 to PKR 2,030,000","PKR 3,030,000 to PKR 3,544,000","PKR 1,558,000 to PKR 1,768,000",Medium (more integration complexity),Medium-High (driveline/cooling/fuel integration),"if sale=200k add PKR 100,000; if sale=500k subtract PKR 200,000",Electronics integration + cooling package completeness,Best diesel 200hp+ candidate if complete donor is available.,,,
86,Toyota 1FZ-FE petrol (complete with auto gear),221,"PKR 1,047,000 to PKR 3,237,000","PKR 410,000 to PKR 1,080,000","PKR 2,252,000 to PKR 2,690,000","PKR 778,000 to PKR 912,000","Medium (petrol support okay, packaging heavier)",Medium-High (cooling/exhaust/trans setup),"if sale=200k add PKR 100,000; if sale=500k subtract PKR 200,000",Fuel consumption + packaging/exhaust,Lowest net-cost 200hp+ path with moderate complexity.,,,
87,Toyota 1UZ-FE V8,260-290,"PKR 1,107,000 to PKR 3,757,000","PKR 470,000 to PKR 1,600,000","PKR 2,564,000 to PKR 3,094,000","PKR 1,092,000 to PKR 1,318,000",Medium-Low (customized swap support needed),"High (adapter, wiring, packaging, exhaust)","if sale=200k add PKR 100,000; if sale=500k subtract PKR 200,000",Adapter/transmission package quality + custom wiring,"Highest hp, but high conversion dependency.",,,
88,Toyota 2UZ-FE V8,228-232,"PKR 1,507,000 to PKR 4,287,000","PKR 870,000 to PKR 2,130,000","PKR 3,036,000 to PKR 3,592,000","PKR 1,563,000 to PKR 1,815,000","Medium (V8 parts available, integration custom)","High (packaging, auto trans, wiring)","if sale=200k add PKR 100,000; if sale=500k subtract PKR 200,000",V8 packaging and transmission integration,"High torque, but complexity similar to 1UZ or worse.",,,
89,Toyota 1GR-FE V6,228,"PKR 1,857,000 to PKR 4,637,000","PKR 1,220,000 to PKR 2,480,000","PKR 3,386,000 to PKR 3,942,000","PKR 1,913,000 to PKR 2,165,000",Medium-Low (modern ECU/DBW complexity),High (electronics + fitment complexity),"if sale=200k add PKR 100,000; if sale=500k subtract PKR 200,000",Modern ECU/immobilizer/DBW integration,Technically strong but highest electronics complexity.,,,
91,Why this narrows margins: this view removes low-end unknown-condition donors and high-end full-rebuild assumptions by enforcing one quality standard before pricing.,,,,,,,,,,,,,
