excel_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
26,Relay/wire heat-shrink coding,Use current two-band combinations from available colours only,Local material availability is limited; current codes are already workable and implemented.,Only revisit if full colour inventory becomes available and relabel effort is justified.,,,,,
27,"Relay positions (T1-T5, B1-B5)",Keep current relay position/function map,Physical layout and wiring branches are already built to this map.,Only revisit if adding/removing major circuits.,,,,,
28,Connector IDs (X1-X10),Keep current connector naming and branch pairing,As-built pinout and loom labels depend on these IDs.,Only revisit if connector hardware changes.,,,,,
29,"Loom IDs (HD1, L2, L3, L4, L5A, L5B, L6)",Keep existing loom labels and routes,"Routing, branch references, and diagnostics depend on this naming.",Only revisit if loom is rebuilt.,,,,,
30,Heavy cables >=10 mm²,Keep on lugs/rings; do not route through Deutsch DT connectors,Current-current capacity and serviceability requirements.,Only revisit if using higher-current connector family.,,,,,
31,Fuel stop architecture,Ignition-linked stop + manual diesel cutoff cable retained as backup,Preserves safe shutdown and redundancy.,Revisit only after proving ignition-linked stop reliability.,,,,,
33,3) Relay Quick Lookup,,,,,,,,
34,Relay Pos,Function,Relay Colour,Power Code,Power Loom,Wire Size,Control Loom,Implementation Status,
35,T1,Low beam,Yellow,Yellow + Blue,Front Trunk,2.5 mm²,Left Branch,Active / as-built,
36,T2,High beam,Green,Yellow + Green,Front Trunk,2.5 mm²,Left Branch,Active / as-built,
37,T3,Horn,White,Yellow + Red,Front Trunk,2.5 mm²,Left Branch,Active / as-built,
38,T4,Condenser fan,Orange,Blue + Green,Front Trunk,2.5 mm²,VC,Active / as-built,
39,T5,Spot lamps,Red,Blue + Red,Front Trunk,2.5 mm²,Left Branch,Active / as-built,
40,B1,A/C clutch,Blue,Green + Red,Front Trunk,1.5 mm²,VC,Active / as-built,
41,B2,Aux switched accessory,Brown,Yellow + Yellow,Front Right Branch,2.5 mm²,Front Right Branch,Available / optional use,
42,B3,Rear work / spare accessory,Gray,Blue + Blue,Rear Loom,1.5 mm²,Front Right Branch,Spare / currently not required,
43,B4,Spare,Yellow-Green,Green + Green,—,—,—,Spare,
44,B5,Spare,Purple,Red + Red,—,—,—,Spare,
46,4) Connector Quick Lookup,,,,,,,,
47,Connector,Type,Loom / Branch,Terminated Circuits,Status,Notes,,,
48,X1,8-way Deutsch pair,Front trunk,FR-01..FR-08,Installed,Front trunk main disconnect at power corner,,,
49,X2,8-way Deutsch pair,Rear loom A,RR-01..RR-08,Installed,Rear loom main disconnect A,,,
50,X3,8-way Deutsch pair,Left branch,LB-01..LB-08,Installed,Left branch dash disconnect,,,
51,X4,8-way Deutsch pair,Right branch,RB-01..RB-08,Installed,Right branch dash disconnect,,,
52,X5,6-way Deutsch pair,Ignition loom,IGN-02..IGN-07,Installed,Ignition small-wire disconnect,,,
53,X6,6-way Deutsch pair,Rear loom B,RR-09..RR-13 (+1 spare),Installed,Rear secondary disconnect B,,,
54,X7,3-way Deutsch pair,VC,VC-01..VC-03,Installed,VC service disconnect A,,,
55,X8,3-way Deutsch pair,VC,VC-04 (+2 spare),Installed,VC service disconnect B,,,
56,X9,2-way Deutsch pair,Rear sender branch,"RR-04, RR-05",Installed,Fuel sender service disconnect,,,
57,X10,2-way Deutsch pair,Right branch aux,RB-09 (+1 spare),Installed,Right branch auxiliary disconnect,,,
58,Heavy lugs / rings,Stud/ring terminations,HD1 heavy cables,PWR-* and GND-*,Installed,Heavy-current cables kept off DT connectors,,,
60,5) Loom Quick Lookup,,,,,,,,
61,Loom ID,Loom Name,Build Makeup,Primary Role,Status,,,,
62,HD1,Heavy / Discrete Cables,Heavy discrete cables only,Main power + heavy feeds,Built / verify after tub work,,,,
63,L2,front trunk,"5 x 2.5, 1 x 1.5, 2 x 1.0 mm²",Front devices and lighting trunk,Built / verify after tub work,,,,
64,L3,rear loom,"2 x 2.5, 3 x 1.5, 8 x 1.0 mm²",Rear lighting and sender trunk,Built / verify after tub work,,,,
65,L4,ignition,"1 x 10 main, 1 x 2.5, 5 x 1.5 mm²",Dash power and ignition distribution,Built / verify after tub work,,,,
66,L5A,left branch,"1 x 2.5, 3 x 1.5, 4 x 1.0 mm²",Column + left-dash branch,Built / verify after tub work,,,,
67,L5B,right branch,"2 x 2.5, 3 x 1.5, 4 x 1.0 mm²",Right-dash + cabin branch,Built / verify after tub work,,,,
68,L6,VC,"Approx. 1.0 m, 3 x 1.5, 1 x 1.0 mm²",Firewall/gearbox service loom,Built / verify after tub work,,,,
70,6) Minimum Electrical Gate Before Tub Reinstall,,,,,,,,
71,Step,Action,Target Stage,Status,,,,,
72,1,Lock body/tub mount points and final body-earth points to factory locations,Before tub goes back on,Pending,,,,,
73,2,Confirm all required body-mount rubbers/grommets are in Parts tab and physically in hand,Before tub refit hardware install,Pending,,,,,
74,3,Complete dash switch panel machining and Schneider switch installation,Before dash close-out,In Progress,,,,,
75,4,Run continuity + insulation checks after welding/structural work,"After welding, before interior reassembly",Pending,,,,,
76,5,Run live functional test and sign off electrical checklist,Before final interior trim and road use,Pending,,,,,
77,A,Wire Rework,Trim overlength heavy feed wire into 3 serviceable segments (instead of one full-length run),Pending,No,User-requested correction: previous long run should be split for cleaner routing and serviceability.,Cut/terminate as 3 segments with proper lugs + heat-shrink labels; continuity + voltage-drop test after crimping.,Before final loom wrap,No major new parts; may need extra lugs/heat-shrink if short
78,A,Engine Electrical Inputs,"Identify starter, alternator, engine senders, injection-pump/throttle electrical input, and unknown engine connectors from May 17 photo set",Pending,No,"May 17 picker imported 10 engine-side electrical photos; starter and alternator are visible, but sender and loose connector functions must be proven before connection.","Complete engine_electrical_inputs_reconciliation_20260517, update connector/pin map, then continuity and live-test before final wrap.",WP03|WP03B|engine bay access,"Likely terminals, boots, sleeving, and labels; no blind connector reuse"
79,A,Firewall Pass-Through Holes,"Map existing cabin-to-engine holes, select protected reuse points, and close or plug unused openings",Pending,No,"May 17 picker imported 4 cabin/firewall hole photos with tape references, steering-column/boot context, old sealant, paint loss, and rust visible.","Complete cabin_engine_firewall_holes_survey_20260517; assign each hole to reuse/plug/repair/close before any new loom or control cable passes through.",WP03|WP03B|tub/firewall access,"Requires grommets, blanking plugs, edge protection, rust treatment, and sealant decisions"
