group,name,kind,x_mm,y_center_mm,z_mm,length_or_diameter_mm,width_mm,height_mm,confidence,notes
running_gear,rear_left_mud_tire_outer_lug_14,box,3163.5062871369087,-705,48.54517530826752,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_15,box,3285.165042944955,-705,129.83495705504464,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_left_mud_tire_outer_lug_16,box,3366.4548246917325,-705,251.4937128630911,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_1,box,3395.0,705,395.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_2,box,3366.4548246917325,705,538.5062871369087,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_3,box,3285.1650429449555,705,660.1650429449553,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_4,box,3163.5062871369087,705,741.4548246917325,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_5,box,3020.0,705,770.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_6,box,2876.4937128630913,705,741.4548246917325,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_7,box,2754.8349570550445,705,660.1650429449553,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_8,box,2673.5451753082675,705,538.5062871369087,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_9,box,2645.0,705,395.00000000000006,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_10,box,2673.5451753082675,705,251.49371286309136,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_11,box,2754.8349570550445,705,129.8349570550447,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_12,box,2876.4937128630913,705,48.545175308267574,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_13,box,3020.0,705,20.0,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_14,box,3163.5062871369087,705,48.54517530826752,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_15,box,3285.165042944955,705,129.83495705504464,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,rear_right_mud_tire_outer_lug_16,box,3366.4548246917325,705,251.4937128630911,95,48,58,L2 visible-detail primitive,blocky mud-terrain tread lug visible on project photos and Sketchfab reference
running_gear,front_left_shock_body,cylinder_z,920,-520,620,58,460,,L1 visible-detail primitive,shock absorber body reference
running_gear,front_right_shock_body,cylinder_z,920,520,620,58,460,,L1 visible-detail primitive,shock absorber body reference
running_gear,front_left_hub_cap,cylinder_y,735,-840,395,220,80,,L1 visible-detail primitive,wheel hub cap detail
running_gear,front_right_hub_cap,cylinder_y,735,840,395,220,80,,L1 visible-detail primitive,wheel hub cap detail
running_gear,rear_left_shock_body,cylinder_z,3205,-520,620,58,460,,L1 visible-detail primitive,shock absorber body reference
running_gear,rear_right_shock_body,cylinder_z,3205,520,620,58,460,,L1 visible-detail primitive,shock absorber body reference
running_gear,rear_left_hub_cap,cylinder_y,3020,-840,395,220,80,,L1 visible-detail primitive,wheel hub cap detail
running_gear,rear_right_hub_cap,cylinder_y,3020,840,395,220,80,,L1 visible-detail primitive,wheel hub cap detail
body,floor_pan,box,890,0,615,2550,1330,55,L0 envelope,main floor and rear tub floor envelope
body,left_rocker_sill,box,1000,-720,665,2050,95,155,L0 envelope,left rocker/sill envelope
body,right_rocker_sill,box,1000,720,665,2050,95,155,L0 envelope,right rocker/sill envelope
body,left_rear_quarter_panel,box,2140,-760,725,1270,70,610,L0 envelope,rear tub side panel below hardtop
body,right_rear_quarter_panel,box,2140,760,725,1270,70,610,L0 envelope,rear tub side panel below hardtop
body,tailgate_panel,box,3400,0,720,70,1430,650,L0 envelope,tailgate/rear body closing panel
body,firewall,box,1135,0,690,80,1420,780,L0 envelope,firewall plane and cowl station
body,cowl_top,box,1085,0,1260,190,1460,110,L0 envelope,scuttle/cowl top envelope
body,grille_panel,box,170,0,790,80,1410,520,L0 envelope,front grille plane
front_detail,white_grille_surround,box,125,0,795,35,1120,365,L0 envelope,white front grille surround visible in reference
front_detail,black_grille_mesh,box,105,0,910,30,640,155,L0 envelope,black mesh grille area
front_detail,left_headlamp,cylinder_x,92,-445,985,225,38,,L1 visible-detail primitive,round front headlamp
front_detail,right_headlamp,cylinder_x,92,445,985,225,38,,L1 visible-detail primitive,round front headlamp
front_detail,left_indicator_lamp,cylinder_x,84,-720,845,105,30,,L1 visible-detail primitive,front amber indicator
front_detail,right_indicator_lamp,cylinder_x,84,720,845,105,30,,L1 visible-detail primitive,front amber indicator
front_detail,left_fog_lamp,cylinder_x,25,-360,620,165,36,,L1 visible-detail primitive,bumper-mounted round fog lamp
front_detail,right_fog_lamp,cylinder_x,25,360,620,165,36,,L1 visible-detail primitive,bumper-mounted round fog lamp
body,hood_closed_reference,box,230,0,1215,920,1390,38,L0 envelope,closed hood lower envelope
body,hood_crowned_closed_skin,mesh,135,0.0,1210,923,1284,112,L4 gallery-shaped surface,"closed hood crown and rear rise shaped from public front, side, top, wire, and clay gallery renders"
body,hood_front_rolled_lip_surface,mesh,96,0.0,1204,54,1220,50,L4 gallery-shaped surface,rolled front hood lip visible above the grille in the front renders
body,hood_left_hinge_axis,cylinder_y,1030,-540,1288,28,230,,L1 visible-detail primitive,hood hinge axis placeholder
body,hood_right_hinge_axis,cylinder_y,1030,540,1288,28,230,,L1 visible-detail primitive,hood hinge axis placeholder
body,left_front_fender,box,270,-720,760,860,270,260,L0 envelope,front wing/fender envelope
body,right_front_fender,box,270,720,760,860,270,260,L0 envelope,front wing/fender envelope
body,left_inner_fender,box,290,-520,800,800,70,420,L0 envelope,engine-bay inner fender placeholder
body,right_inner_fender,box,290,520,800,800,70,420,L0 envelope,engine-bay inner fender placeholder
body,windshield_frame,box,1155,0,1315,80,1480,520,L0 envelope,upright windshield frame envelope
body,windshield_glass,box,1160,0,1380,35,1300,410,L0 envelope,transparent windshield opening reference
body,windshield_left_wiper,cylinder_y,1110,-250,1370,24,430,,L1 visible-detail primitive,windshield wiper reference
body,windshield_right_wiper,cylinder_y,1110,250,1370,24,430,,L1 visible-detail primitive,windshield wiper reference
hard_top,white_hardtop_roof,box,1210,0,1838,2290,1540,58,L0 envelope,hardtop roof lower envelope under crowned skin
hard_top,white_hardtop_crowned_roof_skin,mesh,1125,0.0,1860,2315,1520,82,L4 gallery-shaped surface,"thin crowned hardtop roof and slight rear lift shaped from top, side, rear, wire, and clay gallery renders"
hard_top,left_hardtop_side_panel,box,1240,-790,1320,2200,55,590,L0 envelope,left hardtop side shell
hard_top,right_hardtop_side_panel,box,1240,790,1320,2200,55,590,L0 envelope,right hardtop side shell
hard_top,left_front_hardtop_window,box,1420,-823,1435,500,20,320,L0 envelope,left sliding/side hardtop window glass
hard_top,right_front_hardtop_window,box,1420,823,1435,500,20,320,L0 envelope,right sliding/side hardtop window glass
hard_top,left_rear_hardtop_window,mesh,1885.0,-832.0,1435.0,610.0,24.0,320.0,L1 visible-detail primitive,left classic rounded rear hardtop side window glass
hard_top,right_rear_hardtop_window,mesh,1885.0,832.0,1435.0,610.0,24.0,320.0,L1 visible-detail primitive,right classic rounded rear hardtop side window glass
hard_top,rear_hardtop_panel,box,3440,0,1320,55,1540,590,L0 envelope,rear hardtop panel
hard_top,roof_front_gutter,box,1160,0,1810,70,1575,46,L0 envelope,hardtop gutter at windshield header
hard_top,roof_left_gutter,box,2250,-830,1815,2200,58,42,L0 envelope,left roof gutter
hard_top,roof_right_gutter,box,2250,830,1815,2200,58,42,L0 envelope,right roof gutter
body,left_door_open_reference,box,1180,-910,760,800,70,850,visual only,project photos show the left door removed/open during rebuild; final hinge arc requires measurements
body,right_door_closed_reference,box,1180,760,760,800,70,850,L0 envelope,right door closed envelope
body,left_door_window_glass,box,1280,-948,1210,520,22,345,L0 envelope,open door window glass/reference aperture
body,right_door_window_glass,box,1280,798,1210,520,22,345,L0 envelope,closed door window glass/reference aperture
body,left_upper_door_hinge,cylinder_z,1135,-955,1180,38,145,,L1 visible-detail primitive,door hinge barrel reference
body,left_lower_door_hinge,cylinder_z,1135,-955,850,38,145,,L1 visible-detail primitive,door hinge barrel reference
body,right_upper_door_hinge,cylinder_z,1135,805,1180,38,145,,L1 visible-detail primitive,door hinge barrel reference
body,right_lower_door_hinge,cylinder_z,1135,805,850,38,145,,L1 visible-detail primitive,door hinge barrel reference
body,left_door_handle,box,1575,-955,1045,160,30,40,L0 envelope,door handle reference
body,right_door_handle,box,1575,805,1045,160,30,40,L0 envelope,door handle reference
engine_bay,engine_block,box,460,0,720,520,420,430,L0 envelope,inline-six engine block envelope
engine_bay,valve_cover,box,510,0,1080,460,180,70,L0 envelope,visible valve cover reference
engine_bay,radiator,box,235,0,820,75,980,520,L0 envelope,radiator support package
engine_bay,air_filter,box,760,-235,1120,210,210,150,L0 envelope,air-filter canister envelope
engine_bay,battery_tray_reference,box,600,430,760,330,220,220,L0 envelope,"battery/package reference, placement to verify"
engine_bay,inline_six_intake_stack_1,cylinder_z,470,-165,1160,46,180,,L1 visible-detail primitive,inline-six visible engine top detail
engine_bay,inline_six_intake_stack_2,cylinder_z,470,-99,1160,46,180,,L1 visible-detail primitive,inline-six visible engine top detail
engine_bay,inline_six_intake_stack_3,cylinder_z,470,-33,1160,46,180,,L1 visible-detail primitive,inline-six visible engine top detail
engine_bay,inline_six_intake_stack_4,cylinder_z,470,33,1160,46,180,,L1 visible-detail primitive,inline-six visible engine top detail
engine_bay,inline_six_intake_stack_5,cylinder_z,470,99,1160,46,180,,L1 visible-detail primitive,inline-six visible engine top detail
engine_bay,inline_six_intake_stack_6,cylinder_z,470,165,1160,46,180,,L1 visible-detail primitive,inline-six visible engine top detail
engine_bay,upper_radiator_hose,cylinder_x,330,-185,1110,72,430,,L1 visible-detail primitive,upper radiator hose placeholder
engine_bay,exhaust_downpipe_reference,cylinder_z,615,255,845,82,460,,L1 visible-detail primitive,engine bay pipe reference
interior,dashboard,box,1235,0,1080,120,1320,220,L0 envelope,dashboard envelope from visible interior
interior,steering_column,box,1135,-420,935,590,60,60,L0 envelope,"steering column envelope, left-hand drive driver side"
interior,steering_wheel,cylinder_x,1240,-420,1210,380,32,,L1 visible-detail primitive,steering wheel disk placeholder on left-hand drive side
interior,steering_wheel_hub,cylinder_x,1230,-420,1210,135,55,,L1 visible-detail primitive,steering wheel hub
interior,dashboard_gauge_1,cylinder_x,1222,-560,1175,72,24,,L1 visible-detail primitive,round dashboard gauge
interior,dashboard_gauge_2,cylinder_x,1222,-470,1175,72,24,,L1 visible-detail primitive,round dashboard gauge
interior,dashboard_gauge_3,cylinder_x,1222,-380,1175,72,24,,L1 visible-detail primitive,round dashboard gauge
interior,dashboard_gauge_4,cylinder_x,1222,-290,1175,72,24,,L1 visible-detail primitive,round dashboard gauge
interior,transfer_case_lever,cylinder_z,1580,-120,820,36,285,,L1 visible-detail primitive,transfer-case lever
interior,gearshift_lever,cylinder_z,1500,-35,820,38,330,,L1 visible-detail primitive,gearshift lever
interior,front_left_seat_base,box,1660,-310,700,420,410,130,L0 envelope,front seat base
interior,front_left_seat_back,box,1850,-310,820,95,410,620,L0 envelope,front seat back
interior,front_left_headrest,cylinder_y,1905,-310,1435,150,300,,L1 visible-detail primitive,front headrest
interior,front_right_seat_base,box,1660,310,700,420,410,130,L0 envelope,front seat base
interior,front_right_seat_back,box,1850,310,820,95,410,620,L0 envelope,front seat back
interior,front_right_headrest,cylinder_y,1905,310,1435,150,300,,L1 visible-detail primitive,front headrest
interior,rear_bench_base,box,2510,0,720,610,1080,135,L0 envelope,rear bench lower cushion
interior,rear_bench_back,box,2920,0,840,105,1080,560,L0 envelope,rear bench back
interior,rear_bench_left_headrest,cylinder_y,2975,-350,1390,140,270,,L1 visible-detail primitive,rear headrest
interior,rear_bench_right_headrest,cylinder_y,2975,350,1390,140,270,,L1 visible-detail primitive,rear headrest
body,windshield_raked_glass_surface,mesh,1110,0.0,1378,38,1204,344,L4 gallery-shaped surface,"single raked windshield plane replacing a flat envelope impression from front, side, and clay renders"
front_detail,front_grille_inset_rounded_surround_surface,mesh,56,0.0,802,50,1170,323,L4 gallery-shaped surface,"slightly inset grille surround shaped from front, wire, and clay renders"
chassis,front_bumper_swept_main_face,mesh,-18,0.0,484,110,1520,136,L4 gallery-shaped surface,swept front bumper face from front orthographic and front three-quarter renders
chassis,rear_bumper_swept_main_face,mesh,3638,0.0,492,112,1460,120,L4 gallery-shaped surface,swept rear bumper face from rear orthographic and rear three-quarter renders
hard_top,front_roof_header_overhang_skin,mesh,1092,0.0,1792,116,1572,86,L4 gallery-shaped surface,"front roof header overhang lip visible in front, side, top, and clay renders"
hard_top,rear_roof_overhang_skin,mesh,3360,0.0,1830,148,1552,60,L4 gallery-shaped surface,rear hardtop roof overhang lip and slight crown from top and rear renders
hard_top,rear_barn_door_left_subtle_crown,mesh,3484,-354.0,904,50,672,38,L4 gallery-shaped surface,left rear barn-door skin has a slight crown instead of a flat slab in rear and clay renders
hard_top,rear_barn_door_right_subtle_crown,mesh,3484,354.0,904,50,672,38,L4 gallery-shaped surface,right rear barn-door skin has a slight crown instead of a flat slab in rear and clay renders
body,left_front_fender_sloped_outer_skin,mesh,118,-746.0,706,917,200.0,536,L4 gallery-shaped surface,front wing side skin slopes up to the cowl instead of reading as a rectangular block
chassis,left_front_bumper_swept_return,mesh,24,-783.0,500,104,126.0,120,L4 gallery-shaped surface,front bumper side return shaped from front and three-quarter renders
chassis,left_rear_bumper_swept_return,mesh,3628,-753.5,502,107,117.0,110,L4 gallery-shaped surface,rear bumper side return shaped from rear and three-quarter renders
body,left_front_fender_rolled_upper_crown,mesh,155,-657.0,1062,860,194.0,206,L4 gallery-shaped surface,"rolled front fender crown visible in front, side, top, and wire renders"
body,left_cowl_side_blend_surface,mesh,960,-737.5,1116,205,155.0,294,L4 gallery-shaped surface,"cowl-to-windshield side blend guided by front, side, and clay renders"
body,left_door_outer_skin_tapered_surface,mesh,1128,-779.0,748,810,90.0,560,L4 gallery-shaped surface,door skin follows the upright but slightly crowned BJ44 side profile in the side and clay renders
body,left_rear_quarter_waist_tapered_surface,mesh,1942,-780.0,724,1443,100.0,581,L4 gallery-shaped surface,"rear tub side taper and waist line shaped from side, rear, top, wire, and clay renders"
hard_top,left_hardtop_side_tapered_upper_skin,mesh,1212,-784.0,1300,2213,72.0,490,L4 gallery-shaped surface,"hardtop upper side panel tapers under the roof gutter in side, rear, wire, and clay renders"
hard_top,left_hardtop_lower_side_roll_surface,mesh,1225,-777.0,1258,2190,70.0,87,L4 gallery-shaped surface,rolled hardtop lower side break below windows from side and rear renders
hard_top,left_hardtop_rear_corner_radius_facet,mesh,3365,-728.0,1300,105,156.0,480,L4 gallery-shaped surface,"faceted rear hardtop corner radius from rear, top, wire, and clay renders"
body,left_front_outer_arch_rounded_skin_facet_1,mesh,1015.7402885326976,-790.0,625.5,72.0,112.0,74.5,L4 gallery-shaped surface,"body-color wheel-arch crown facet under the black flare, guided by side and wire renders"
body,left_front_outer_arch_rounded_skin_facet_2,mesh,935.9978955753376,-790.0,700,72.0,112.0,23.973654318344643,L4 gallery-shaped surface,"body-color wheel-arch crown facet under the black flare, guided by side and wire renders"
body,left_front_outer_arch_rounded_skin_facet_3,mesh,829.7283404456991,-790.0,740.9859103452534,72.0,112.0,52.0,L4 gallery-shaped surface,"body-color wheel-arch crown facet under the black flare, guided by side and wire renders"
body,left_front_outer_arch_rounded_skin_facet_4,mesh,707.3340276233996,-790.0,773.7813676241507,72.0,112.0,52.0,L4 gallery-shaped surface,"body-color wheel-arch crown facet under the black flare, guided by side and wire renders"
body,left_front_outer_arch_rounded_skin_facet_5,mesh,580.7957652188074,-790.0,767.1497782971912,72.0,112.0,52.0,L4 gallery-shaped surface,"body-color wheel-arch crown facet under the black flare, guided by side and wire renders"
body,left_front_outer_arch_rounded_skin_facet_6,mesh,462.5,-790.0,721.7402885326976,72.0,112.0,52.0,L4 gallery-shaped surface,"body-color wheel-arch crown facet under the black flare, guided by side and wire renders"
body,left_front_outer_arch_rounded_skin_facet_7,mesh,364.0263456816554,-790.0,693.9978955753377,72.0,112.0,6.0021044246623205,L4 gallery-shaped surface,"body-color wheel-arch crown facet under the black flare, guided by side and wire renders"
