item,quantity,likely source if from another car,needs mechanic checked,expected price,image to show,purchase stage,what to verify,all image refs,source row,existing one ok? (analysis),buy_decision_now,cleanup_reason,cleanup_action,pakistan_quality_recommendation,verified_source_url,decision_today,primary_purchase_link,backup_purchase_link,procurement_status,purchased_qty,purchased_on,purchased_est_cost_pkr,purchase_notes,price_min_pkr,price_max_pkr,price_mid_pkr,parts_tab_procured,parts_tab_status_hint,include_in_remaining_budget,dedup_key,duplicate_count
Kit D star washer - M6 star/serrated washer,120,New hardware/electrical market (not donor car),Optional (sample-check),PKR 700-1800,images/20260411_065030.jpg,BUY_NOW,Sharp serrations,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,700,1800,1250,no,planned_or_open,YES,kit d star washer - m6 star/serrated washer,1
Kit D star washer - M8 star/serrated washer,80,New hardware/electrical market (not donor car),Optional (sample-check),PKR 800-2200,images/20260411_065030.jpg,BUY_NOW,Sharp serrations,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,800,2200,1500,no,planned_or_open,YES,kit d star washer - m8 star/serrated washer,1
Kit D star washer - M10 star/serrated washer,40,New hardware/electrical market (not donor car),Optional (sample-check),PKR 700-1700,images/20260411_065030.jpg,BUY_NOW,Sharp serrations,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,700,1700,1200,no,planned_or_open,YES,kit d star washer - m10 star/serrated washer,1
Kit D flange nut - M6 serrated flange nut,40,New hardware/electrical market (not donor car),Optional (sample-check),PKR 800-1800,images/20260411_065030.jpg,BUY_NOW,Serrations intact,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,800,1800,1300,no,planned_or_open,YES,kit d flange nut - m6 serrated flange nut,1
Kit D flange nut - M8 serrated flange nut,20,New hardware/electrical market (not donor car),Optional (sample-check),PKR 700-1500,images/20260411_065030.jpg,BUY_NOW,Serrations intact,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,700,1500,1100,no,planned_or_open,YES,kit d flange nut - m8 serrated flange nut,1
Kit D paste - Conductive anti-corrosion paste,1 tube,New hardware/electrical market (not donor car),Optional (sample-check),PKR 1200-3500,images/20260411_065030.jpg,BUY_NOW,Electrical-ground suitable,20260411_065030.jpg,247,No. Use new hardware only; old mixed bolts/nuts are not reliable for final assembly.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,1200,3500,2350,no,planned_or_open,YES,kit d paste - conductive anti-corrosion paste,1
Body mount rubber - OEM-style body mount insulator set,Full set,New replacement market (not used donor),Yes,PKR 15000-60000,images/20260405_234546.jpg,BUY_NOW,Match sleeve ID/OD/length + stack,20260405_234546.jpg;20260405_234652.jpg,12,Maybe. Reuse only if old rubbers are not crushed/cracked and stack height matches; usually replace.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,15000,60000,37500,no,planned_or_open,YES,body mount rubber - oem-style body mount insulator set,1
Shims/spacers - M10/M12 shim pack thickness 1/2/3/5mm,Assorted full pack,New replacement market (not used donor),Yes,PKR 3000-12000,images/20260405_234652.jpg,BUY_NOW,Use for tub leveling,20260405_234652.jpg,13,"Yes (partly). Existing shims can be reused if flat/rust-free, but buy a fresh assortment for alignment.",AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,3000,12000,7500,no,planned_or_open,YES,shims/spacers - m10/m12 shim pack thickness 1/2/3/5mm,1
Ignition barrel - Matched key ignition lock set or re-key service,1 set,Toyota donor lock set + locksmith service OR new lock set,Yes,PKR 4000-25000,images/20260323_180218.jpg,BUY_NOW,"ACC/IGN/START smooth, minimal play",20260323_180218.jpg;20260323_190047.jpg,41,No as-is. Existing lock has poor security; re-key/service or replace.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,4000,25000,14500,no,planned_or_open,YES,ignition barrel - matched key ignition lock set or re-key service,1
Fuse box - Compact covered ATO/ATC fuse block 6-way,3 identical,Toyota donor fuse boxes or new compact covered aftermarket,Yes,PKR 11100-21000,images/20260411_065030.jpg,BUY_NOW,"Covered body, firm lid, strong terminals",20260411_065030.jpg;20260411_143135.jpg,186,Maybe. Reuse original Toyota-style boxes only if terminals are tight and no heat damage.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,Prefer compact new covered fuse boxes online; keep original-style form factor.,https://wellshop.pk/product/6-way-fuse-block-blade-fuse-box-holder-dc-12-32v-1-709607/,BUY_NOW,https://wellshop.pk/product/6-way-fuse-block-blade-fuse-box-holder-dc-12-32v-1-709607/,https://sehgalmotors.pk/products/fuse-60a-box-fuse-kit-for-trucks-and-cars,NOT_PURCHASED,,,,,11100,21000,16050,no,planned_or_open,YES,fuse box - compact covered ato/atc fuse block 6-way,1
"EPS kit - Complete EPS column kit with ECU, shafts, U-joints, couplers, brackets, connectors",1 complete kit,Toyota donor EPS column set (Bilal Ganj: Prius/Corolla/Vitz candidates),Yes,PKR 54000-136000,images/20260321_235600.jpg,BUY_NOW,Bench-test smooth assist; no lash/noise; pigtails >=150mm,20260321_235600.jpg;20260406_031010.jpg,229,N/A upgrade choice. Existing steering can stay if skipping EPS; EPS is optional improvement.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,Bilal Ganj only. Buy complete and bench-tested EPS set; no incomplete kits.,Bilal Ganj inspection only,BILAL_GANJ_ONLY,Bilal Ganj (in-person complete kit verification),N/A,NOT_PURCHASED,,,,,54000,136000,95000,no,planned_or_open,YES,"eps kit - complete eps column kit with ecu, shafts, u-joints, couplers, brackets, connectors",1
Heat plugs / glow plugs - Diesel glow plug set (thread/reach/voltage per engine code),Full set,New parts market only (no used donor plugs),Yes,PKR 12000-36000,images/20260317_235150.jpg,BUY_IF_ENGINE_CODE_MATCH,New only; no used/refurbished plugs,20260317_235150.jpg,29,No. Glow/heat plugs should be new only.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,Buy new only (engine code/thread/reach confirmed first).,https://cruisercorps.com/products/ngk-3b-diesel-glow-plug-set-of-4,BUY_AFTER_ENGINE_CODE,https://www.pakwheels.com/accessories-spare-parts/search/-/q_glow%20plug/,https://www.daraz.pk/catalog/?q=toyota+glow+plug,NOT_PURCHASED,,,,,12000,36000,24000,no,planned_or_open,YES,heat plugs / glow plugs - diesel glow plug set (thread/reach/voltage per engine code),1
"Local front leaf spring pack (new, custom to measured dimensions)",2 packs,"Pakistan local spring manufacturer (Landhi preferred, Popular backup)",Yes,PKR 35000-90000,images/20260324_004852.jpg,MEASURE_THEN_BUY_ACTIVE,Buy only after measured fit confirmation,20260324_004852.jpg;20260411_220207.jpg,15,"Maybe. Keep existing only if no cracks, no sag, and bush eyes are within tolerance after mechanic inspection.",MEASURE_FIRST_THEN_BUY,Active local front leaf spring path.,KEPT_IN_ACTIVE,Order custom measured leaf pack from LEW first; use Popular as backup if lead time/price better.,https://spring.com.pk/ ; https://popularspringind.com/,ACTIVE_SUSPENSION_CORE_ORDER_BY_QUOTE,https://spring.com.pk/contact-us/,https://popularspringind.com/,NOT_PURCHASED,,,,,35000,90000,62500,no,planned_or_open,YES,"local front leaf spring pack (new, custom to measured dimensions)",1
"Local rear leaf spring pack (new, custom to measured dimensions)",2 packs,"Pakistan local spring manufacturer (Landhi preferred, Popular backup)",Yes,PKR 35000-90000,images/20260324_004852.jpg,MEASURE_THEN_BUY_ACTIVE,Buy only after measured fit confirmation,20260324_004852.jpg;20260411_220214.jpg,16,"Maybe. Keep existing only if no cracks, no inversion risk, and ride height is acceptable after load check.",MEASURE_FIRST_THEN_BUY,Active local rear leaf spring path.,KEPT_IN_ACTIVE,Order custom measured leaf pack from LEW first; use Popular as backup if lead time/price better.,https://spring.com.pk/ ; https://popularspringind.com/,ACTIVE_SUSPENSION_CORE_ORDER_BY_QUOTE,https://spring.com.pk/contact-us/,https://popularspringind.com/,NOT_PURCHASED,,,,,35000,90000,62500,no,planned_or_open,YES,"local rear leaf spring pack (new, custom to measured dimensions)",1
Steering bushings - Steering linkage bush set,1 set,New hardware/electrical market (not donor car),Yes,PKR 3000-12000,images/20260406_031010.jpg,INSPECT_THEN_BUY_ACTIVE,Condition-based quote,20260406_031010.jpg,230,"Maybe. Replace only if measurable play, cracking, or steering looseness persists after service.",BUY_ONLY_IF_PLAY_FOUND,Steering bushing only if wear/play confirmed.,KEPT_IN_ACTIVE,Use only if play exists. Prefer new bushings from verified supplier; avoid random used pieces.,https://www.pakwheels.com/accessories-spare-parts/search/-/ct_steering-suspension/,CONDITIONAL,https://www.pakwheels.com/accessories-spare-parts/search/-/ct_steering-suspension/,,NOT_PURCHASED,,,,,3000,12000,7500,no,planned_or_open,YES,steering bushings - steering linkage bush set,1
Wire rework - Split overlength heavy feed wire into 3 serviceable segments,3 segments,Electrical workshop service (rework existing wires),Yes,PKR 3000-12000 (labor + lugs/heat-shrink re-termination),images/20260411_065030.jpg,WORKSHOP_TASK,Cut+terminate+heat-shrink+continuity/voltage-drop test,20260411_065030.jpg;20260321_235600.jpg,Electrical_Master,Yes. Rework existing overlength cable by cutting into 3 segments and re-terminating.,DONE_VERIFY_INSTALL,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,DONE_VERIFY_INSTALL,,,COMPLETED_ON_HAND,Task completed: 25mm² main feed split into 3 segments,2026-04-16,Included in market work (cost not logged yet),PWR-04/PWR-05/PWR-06 split done as planned. Recheck crimp quality + continuity before final install.,3000,12000,7500,no,,NO,wire rework - split overlength heavy feed wire into 3 serviceable segments,1
"Electrical tape (automotive PVC, 19mm x 18-20m)",10 rolls,New electrical market (not donor car),No,PKR 1500-4500,images/20260411_065030.jpg,BUY_NOW,"Good adhesive and heat tolerance, not brittle PVC",20260411_065030.jpg,SUB-17,N/A consumable item; buy new.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,Standard consumable; online purchase is fine.,https://www.daraz.pk/catalog/?q=electrical+tape+19mm,BUY_NOW,https://www.daraz.pk/catalog/?q=electrical+tape+19mm,https://www.ubuy.com.pk/en/search/index/view/product/B0B5VQW6XK/s/3m-electrical-tape-19mm/store/store,NOT_PURCHASED,,,,,1500,4500,3000,no,,YES,"electrical tape (automotive pvc, 19mm x 18-20m)",1
Cloth harness loom tape (Tesa-style),5 rolls,New electrical market (not donor car),No,PKR 2500-9000,images/20260411_065030.jpg,BUY_NOW,Automotive-grade cloth tape; abrasion and heat resistance,20260411_065030.jpg,SUB-23,N/A consumable item; buy new.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,Standard consumable; online purchase is fine.,https://www.daraz.pk/products/19mmx15m-universal-heat-resistant-nap-adhesive-cloth-electrical-automotive-tape-i281397325.html,BUY_NOW,https://www.daraz.pk/products/19mmx15m-universal-heat-resistant-nap-adhesive-cloth-electrical-automotive-tape-i281397325.html,https://www.daraz.pk/catalog/?q=automotive+cloth+harness+tape,NOT_PURCHASED,,,,,2500,9000,5750,no,,YES,cloth harness loom tape (tesa-style),1
Firewall grommet assortment,1 kit,New electrical market (not donor car),Yes,PKR 2000-7000,images/20260411_143135.jpg,BUY_NOW,Hole ID/OD fit and thickness for firewall panels,20260411_143135.jpg,SUB-11,N/A consumable item; buy new.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,Standard consumable; online purchase is fine.,https://www.daraz.pk/catalog/?q=firewall+grommet+assortment,BUY_NOW,https://www.daraz.pk/catalog/?q=firewall+grommet+assortment,https://www.ubuy.com.pk/en/product/F3KO60UI-swpeet-246pcs-sae-metric-grease-nipple-assortment-kit-hydraulic-grease-fittings-standard-with-plasti,NOT_PURCHASED,,,,,2000,7000,4500,no,,YES,firewall grommet assortment,1
EPS donor candidate - Toyota Prius column assist set (complete kit),1 complete kit,Toyota donor car (Bilal Ganj),Yes,PKR 60000-150000,images/20260321_235600.jpg,QUOTE_ONLY,"Motor smooth assist, ECU + shafts + U-joints + couplers + brackets + pigtails included",20260321_235600.jpg;20260406_031010.jpg,229-C1,N/A candidate option. Buy only if complete kit passes mechanic inspection and fit checks.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,60000,150000,105000,no,,YES,eps donor candidate - toyota prius column assist set (complete kit),1
EPS donor candidate - Toyota Corolla/Axio column assist set (complete kit),1 complete kit,Toyota donor car (Bilal Ganj),Yes,PKR 55000-140000,images/20260321_235600.jpg,QUOTE_ONLY,"No lash/noise, compatible column length, complete ECU/connectors/shafts",20260321_235600.jpg;20260406_031010.jpg,229-C2,N/A candidate option. Buy only if complete kit passes mechanic inspection and fit checks.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,55000,140000,97500,no,,YES,eps donor candidate - toyota corolla/axio column assist set (complete kit),1
EPS donor candidate - Toyota Vitz/Yaris column assist set (complete kit),1 complete kit,Toyota donor car (Bilal Ganj),Yes,PKR 50000-130000,images/20260321_235600.jpg,QUOTE_ONLY,Column mount and spline compatibility; complete wiring pigtails and couplers,20260321_235600.jpg;20260406_031010.jpg,229-C3,N/A candidate option. Buy only if complete kit passes mechanic inspection and fit checks.,AS_LISTED,Unchanged from active parts list.,KEPT_IN_ACTIVE,No change.,,KEEP_AS_ACTIVE,,,NOT_PURCHASED,,,,,50000,130000,90000,no,,YES,eps donor candidate - toyota vitz/yaris column assist set (complete kit),1
