component_id,component_name,source_photo,evidence_role,confidence,action
R11,Unique mounting hardware,20260704_232054_gp_1mnxabPQ.jpg,Mixed brake hardware showing shaped cable pieces,medium,Exclude wheel cylinder and generic fasteners
R11,Unique mounting hardware,20260705_022544_gp_Fgy5X7pw.jpg,Removed special drum actuator hardware,high,Keep with corresponding drum side
REF90,Old cable measurement reference,20260723_015049_gp_6p0esrng.jpg,Old cable/sheath laid against tape at full length,high,Preserve old cable as fabrication pattern
REF90,Old cable measurement reference,20260723_015054_gp_qopK7wmw.jpg,Intermediate sleeve position against tape,high,Use for dimensional transcription
REF90,Old cable measurement reference,20260723_015100_gp_Ddhu3qng.jpg,Second intermediate sleeve position against tape,high,Use for dimensional transcription
REF90,Old cable measurement reference,20260723_015104_gp_gVKMKGbw.jpg,Threaded sheath abutment position against tape,high,Use for dimensional transcription
REF90,Old cable measurement reference,20260723_015110_gp_4a43AawA.jpg,Old cable terminal and overall endpoint near 329 cm,high,Verify directly before manufacture
EXCLUDED,Wrong or unverified replacement,20260712_011332_gp_eRcLMeyg.jpg,Clean complete purchased/replacement cable assembly,high,Keep isolated; do not use as original dimensional authority
EXCLUDED,Wrong or unverified replacement,20260723_024940_gp_XyosHiqg.jpg,Clean complete replacement cable with spring and bracket,high,Keep isolated; fit is not proven
EXCLUDED,Wrong or unverified replacement,20260723_024950_gp_Kwkjc7bg.jpg,Clean replacement threaded end measured near 73.5 inches,high,Do not transfer this dimension to the fabrication specification
EXCLUDED,Wrong or unverified replacement,20260704_231547_gp_q267TkIw.jpg,Coiled replacement-looking cable with new fittings,medium,Quarantine until provenance and fit are confirmed
