entry_id,workstream,item,status,procurement_stage,amount,amount_status,product_link,week_plan_action,overlap_status,stock_signal,stock_match_item,stock_match_score,decision,dependency_gate,recommended_action,decision_reason
part_hvac_slim_louver_outlet_panel_20260514,ac_hvac_retrofit,Slim under-dash louver outlet panel / matched air-directing vent pieces,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.372,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_trinary_switch_20260514,ac_hvac_retrofit,Trinary pressure switch for A/C compressor and fan control,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.444,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_hvac_hidden_evaporator_blower_unit_20260514,ac_hvac_retrofit,Hidden compact evaporator core/case and outlet plenum for custom blower fitment,ordered,ordered_pending_delivery,36942,confirmed,,track_delivery,,none,,0.366,track_ordered_delivery,electrical_body_mechanical_as_needed,confirm_delivery_and_quality,Item is already ordered and should be tracked through delivery.
part_body_mount_hardware_kit,body_chassis,Body mount hardware kit bolts sleeves washers,spec_ready,spec_ready_release_hold,,missing,,,,none,,0.358,capture_body_hardware_samples_then_order,body_hardware_sample_sorting,sort_measure_label_samples_then_order_or_fabricate,"Body hardware/body-mount ordering basis is defined, but release waits for old-sample location, dimensions, thread, material, station height, and condition sorting."
part_body_mount_shim_pack,body_chassis,Body mount shim and spacer pack,spec_ready,spec_ready_release_hold,,missing,,,,none,,0.424,capture_body_hardware_samples_then_order,body_hardware_sample_sorting,sort_measure_label_samples_then_order_or_fabricate,"Body hardware/body-mount ordering basis is defined, but release waits for old-sample location, dimensions, thread, material, station height, and condition sorting."
part_body_shoulder_pins_sleeves_spacers,body_chassis,Body shoulder bolts pivot pins sleeves and stand-off spacers - sample matched,planned,spec_needed_before_order,,missing,,,,none,,0.368,capture_body_hardware_samples_then_order,body_hardware_sample_sorting,sort_measure_label_samples_then_order_or_fabricate,"Body hardware/body-mount ordering basis is defined, but release waits for old-sample location, dimensions, thread, material, station height, and condition sorting."
part_body_specialty_brackets_retainer_plates,body_chassis,Body specialty bracket and retainer plate repair/replacement pack,planned,spec_needed_before_order,,missing,,,,none,,0.396,capture_body_hardware_samples_then_order,body_hardware_sample_sorting,sort_measure_label_samples_then_order_or_fabricate,"Body hardware/body-mount ordering basis is defined, but release waits for old-sample location, dimensions, thread, material, station height, and condition sorting."
part_body_retaining_clips_cotter_pin_pack,body_chassis,Body retaining clip pack - R-clips hairpins split pins circlips and small cotters,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.371,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_fastener_kit_c_captive_clip_nuts,body_chassis,Fastener Kit C remaining: Captive/clip/speed nut and weld-nut assortment - M6/M8,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.377,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_body_rubber_plastic_bumpers_isolators,body_chassis,Body rubber/plastic bumpers isolators knobs and small spacers,partial_bill_lines_recorded,partial_receipt_lines_recorded_remaining_sort_open,,missing,,,,none,,0.410,review,general,review_line,No rule matched.
part_rear_center_brake_flex_hose,brake_system,Rear center frame-to-axle brake flex hose - local/catalog first using 553-103 reference,planned,purchase_ready_local_catalog_first_pending_sample_match,,missing,,,,none,,0.374,buy_now,baseline_execution,order_now,Marked purchase-ready with no deferral flags.
part_clutch_flex_hose_assembly_20260514,brake_system,Clutch hydraulic flex hose assembly - complete crimped hose by sample,planned,spec_needed_before_order,,missing,,,,none,,0.339,capture_spec_then_buy,brake_identification_and_samples,measure_label_keep_samples_then_order,"Brake item is baseline scope, but exact part release is gated by fitted hardware, old samples, fitting style, and Ironman full-droop clearance where applicable."
part_clutch_hard_line_fittings_20260514,brake_system,Clutch hard-line fitting set and route release - 4.75 mm hydraulic line,planned,spec_needed_before_order,,missing,,,,none,,0.386,capture_spec_then_buy,brake_identification_and_samples,measure_label_keep_samples_then_order,"Brake item is baseline scope, but exact part release is gated by fitted hardware, old samples, fitting style, and Ironman full-droop clearance where applicable."
part_front_brake_hose_pair,brake_system,Front flexible brake hose pair - visible bracket and short hard-line route,planned,runner_spec_controlled,,missing,,,,none,,0.410,capture_spec_then_buy,brake_identification_and_samples,measure_label_keep_samples_then_order,"May 29 photos show the front hose bracket and short hard-line route at the Sumitomo caliper, but exact purchase still waits for old-sample/free-length, end fitting thread/seat, bracket groove/clip, and full-lock clearance."
part_front_caliper_rebuild_or_replace_pair,brake_system,Front Sumitomo fixed-caliper replacement or professional rebuild pair,planned,runner_spec_controlled,,missing,,,,none,,0.393,capture_spec_then_buy,brake_identification_and_samples,measure_label_keep_samples_then_order,"May 29 photos identify visible Sumitomo fixed front calipers, but exact rebuild/replacement parts still wait for cleaned casting marks, piston count/diameter, bleed screw, inlet/bridge-pipe fittings, mounting ears, and pad hardware."
part_front_disc_pad_axle_set_sumitomo_20260530,brake_system,Front disc brake pad axle set - Sumitomo fixed-caliper reference 04491-60010/04465-35170,planned,runner_spec_controlled,39.99,estimate,https://btbprod.com/product/fj40-fj45-fj55-fj60-fj62-performance-front-disc-brake-pad-04491-60010-set-1970-1971-1972-1973-1974-1975-1976-1977-1978-1979-1980-1981-1982-1983-1984-1985-1986-1987-1988-1989-1990/,,,none,,0.328,capture_spec_then_buy,brake_identification_and_samples,measure_label_keep_samples_then_order,"May 29 photos identify visible Sumitomo fixed front calipers; the split pad axle set and retaining hardware kit still wait for pad outline, backing-plate ears, retaining pin/spring/clip style, and rotor dimensions from the truck."
part_front_disc_pad_pin_hardware_kit_sumitomo_20260530,brake_system,Front brake pad retaining hardware kit - 4 pins 2 anti-rattle springs 2 clips,planned,runner_spec_controlled,8.00,estimate,https://cruiserteq.com/front-caliper-hardware-kit-fits-9-1975-1-1990-4x-5x-6x-7x-with-factory-front-disc-brakes-br06158k/,,,none,,0.384,capture_spec_then_buy,brake_identification_and_samples,measure_label_keep_samples_then_order,"May 29 photos identify visible Sumitomo fixed front calipers; the split pad axle set and retaining hardware kit still wait for pad outline, backing-plate ears, retaining pin/spring/clip style, and rotor dimensions from the truck."
part_rear_axle_hard_brake_lines,brake_system,Rear axle brake hard-line pair - 4.75 mm / 3/16 in tube with fittings by flare/thread,planned,spec_needed_before_order,,missing,,,,none,,0.364,capture_spec_then_buy,brake_identification_and_samples,measure_label_keep_samples_then_order,"Brake item is baseline scope, but exact part release is gated by fitted hardware, old samples, fitting style, and Ironman full-droop clearance where applicable."
part_brake_clutch_475_hard_line_stock_full_vehicle_20260514,brake_system,Brake/clutch hard-line tube stock candidate - Altivox 3/16 in 25 ft kit with 28 fittings,received_candidate,received_candidate,35496,confirmed,,,,none,,0.432,confirm_order_state,evidence_reconciliation,verify_invoice_or_delivery_proof,"Item has been procured or received as a candidate, but needs receipt/spec evidence before it is treated as usable stock."
part_brake_clutch_line_support_clamps_full_vehicle_20260514,brake_system,"Full vehicle brake/clutch line support pack - P-clips, clamp-on axle supports, edge protection",received_candidate,received_candidate,,missing,,,,none,,0.356,confirm_order_state,evidence_reconciliation,verify_invoice_or_delivery_proof,"Item has been procured or received as a candidate, but needs receipt/spec evidence before it is treated as usable stock."
part_brake_flex_hose_retaining_clip_pack_20260514,brake_system,Brake flex-hose retaining U-clips and bracket hardware pack,received_candidate,received_candidate,,missing,,,,none,,0.400,confirm_order_state,evidence_reconciliation,verify_invoice_or_delivery_proof,"Item has been procured or received as a candidate, but needs receipt/spec evidence before it is treated as usable stock."
part_brake_hydraulic_tees_unions_splitters_20260514,brake_system,Brake hydraulic splitter T-union and inline union replacement set,received_candidate,received_candidate,,missing,,,,none,,0.370,confirm_order_state,evidence_reconciliation,verify_invoice_or_delivery_proof,"Item has been procured or received as a candidate, but needs receipt/spec evidence before it is treated as usable stock."
part_rear_brake_line_cable_clips,brake_system,Rear line/cable support pack - brake-line clips cable retainers and rubber-lined P-clips,received_candidate,received_candidate,,missing,,,,none,,0.400,confirm_order_state,evidence_reconciliation,verify_invoice_or_delivery_proof,"Item has been procured or received as a candidate, but needs receipt/spec evidence before it is treated as usable stock."
part_rear_drum_spring_hold_down_hardware_20260527,brake_system,Rear drum hardware kit - Centric 116971-05110530 1960-1980 Toyota Land Cruiser,received_candidate,received_candidate,,missing,,,,none,,0.345,confirm_order_state,evidence_reconciliation,verify_invoice_or_delivery_proof,"Item has been procured or received as a candidate, but needs receipt/spec evidence before it is treated as usable stock."
part_front_rotor_service_pair,brake_system,Front rotor replacement pair - measure old rotors for exact match,planned,runner_spec_controlled,,missing,,,,none,,0.353,inspect_confirm_then_buy_standard,brake_open_inspection,open_measure_then_order_standard_service_parts,"May 29 photos show the fitted front rotors behind Sumitomo calipers, but machine/replace decision still waits for measured rotor thickness, diameter, runout, scoring, cracks, hub/register fit, and service limit."
part_brake_booster_servo_44610_60050,brake_system,Brake vacuum booster servo - refurbish or direct-match exchange by old sample,planned,amir_refurb_quote_video_gate,,missing,,,,none,,0.368,review,general,review_line,No rule matched.
part_brake_clutch_hard_line_fittings_20260514,brake_system,Brake/clutch hard-line flare nuts and fitting assortment - match old threads and seats,planned_buy_anyway,buy_spare_set_sample_match_before_install,,missing,,,,none,,0.371,review,general,review_line,No rule matched.
part_clutch_master_slave_cylinders_20260514,brake_system,Clutch master cylinder candidates - Trupart FM-1246 x2; slave cylinder still inspect,ordered,ordered_partial_pending_delivery,7494,confirmed,,track_delivery,,none,,0.331,review,general,review_line,No rule matched.
part_rear_brake_shoes_hardware,brake_system,Rear brake shoes/friction set - PakWheels K-2255-N/Y local candidate order; spring hardware separate,received_candidate,received_candidate_fit_check,20183,confirmed,,,,none,,0.365,review,general,review_line,No rule matched.
part_rear_parking_brake_attachment_hardware_20260527,brake_system,Rear parking-brake wheel-end attachment hardware and spring set - clevis/equalizer/return springs/clips,partial_bill_lines_recorded,lever_springs_received_remaining_hardware_open,,missing,,,,none,,0.315,review,general,review_line,No rule matched.
part_brake_master_reservoir_refresh,brake_system,Brake master cylinder candidate order - ULTIMA UFM-1041 x1; reservoir/proportioning still inspect,ordered,ordered_pending_delivery,6307,confirmed,,track_delivery,,none,,0.331,track_ordered_delivery,electrical_body_mechanical_as_needed,confirm_delivery_and_quality,Item is already ordered and should be tracked through delivery.
part_daraz_kobe_heat_resistant_matt_black_spray_20260704,brake_system,Kobe heat-resistant matt black silicone spray topcoat candidate - qty 1,ordered,ordered_pending_delivery,1799,confirmed,,track_delivery,,none,,0.353,track_ordered_delivery,electrical_body_mechanical_as_needed,confirm_delivery_and_quality,Item is already ordered and should be tracked through delivery.
part_toolsmart_vmd_brake_clutch_cleaner_400ml_tm26231_20260704,brake_system,VMD Brake and Clutch Cleaner 400ML - qty 1,ordered,ordered_pending_delivery,2007,confirmed_prorated,,track_delivery,,possible_on_hand,VMD Brake and Clutch Cleaner 400ML × 1,0.947,track_ordered_delivery,electrical_body_mechanical_as_needed,confirm_delivery_and_quality,Item is already ordered and should be tracked through delivery.
part_raptor_hardener_1l_amir_20260528,chassis_fixing,Raptor hardener / activator - 1 L,received_candidate,received_candidate,,missing,,,,none,,0.559,confirm_order_state,evidence_reconciliation,verify_invoice_or_delivery_proof,"Item has been procured or received as a candidate, but needs receipt/spec evidence before it is treated as usable stock."
part_brighto_extreme_paint_remover_3l_second_order_20260618,chassis_fixing,Brighto Extreme Paint Remover - 3 L second order,ordered,ordered_pending_delivery,4670,confirmed,,track_delivery,,none,,0.396,track_ordered_delivery,electrical_body_mechanical_as_needed,confirm_delivery_and_quality,Item is already ordered and should be tracked through delivery.
part_star_washers,electrical_reset,"Star / lock washer pack - M6 x120, M8 x60, M10 x30",received_candidate,received_candidate,,missing,,,chosen,none,,0.500,confirm_order_state,evidence_reconciliation,verify_invoice_or_delivery_proof,"Item has been procured or received as a candidate, but needs receipt/spec evidence before it is treated as usable stock."
part_cabin_compact_fuse_boxes,electrical_reset,Compact cabin fuse protection - reuse 12-way plus buy one compact OEM add-on,candidate_photos_added,candidate_photos_added_cost_missing,,missing,,,,none,,0.377,confirm_price_then_buy,baseline_electrical,confirm_compact_model_quantity_then_buy,"Cabin fuse protection is not ordered stock; provide 3 isolated under-dash input groups with 6 fuses each: constant battery, IGN/RUN, and ACC/part-way. A single OEM box is acceptable if the buses are isolated and mapped."
part_fabrication_raw_epdm_sheet_small_isolators_20260513,fabrication_handoff,3-5 mm EPDM/SBR sheet for radiator isolator and small anti-chafe pads,fabrication_controlled,fabrication_quote_ready,,estimate,,,,none,,0.368,review,general,review_line,No rule matched.
part_fabrication_raw_mild_steel_plate_4mm_20260513,fabrication_handoff,4.0 mm mild-steel plate plus structural 90-degree angle/L-section stock for compact battery saddle/upright/offset bars and radiator post,fabrication_controlled,fabrication_quote_ready,,estimate,,,,none,,0.319,review,general,review_line,No rule matched.
part_mech_transmission_oil_service,gearbox_oil_service,Gearbox oil service pack - correct oil drain inspect refill washers and sample kit,planned,spec_needed_before_order,,missing,,,,none,,0.397,capture_spec_then_buy,gearbox_identification_and_oil_spec,identify_gearbox_open_fill_plug_then_quote_oil_pack,"WhatsApp history confirms 2H engine with 5-speed gear, making H55F the active candidate until case/top-cover marks prove otherwise. Exact purchase still waits for manual oil grade/fill quantity, fill-plug access proof, drain/fill plug washer match, and clean oil-sample capture."
part_carpet,interior_weatherproofing,Carpet,planned,deferred_until_body_closed,,missing,,,deferred,none,,0.357,defer_duplicate_overlap,selected_alternative,do_not_buy_duplicate,Entry is explicitly deferred by overlap-resolution decision.
part_foam,interior_weatherproofing,Foam,planned,deferred_until_body_closed,,missing,,,deferred,none,,0.286,defer_duplicate_overlap,selected_alternative,do_not_buy_duplicate,Entry is explicitly deferred by overlap-resolution decision.
part_sound_dampening_sheets,interior_weatherproofing,Sound dampening sheets,planned,deferred_until_body_closed,,missing,,,deferred,none,,0.462,defer_duplicate_overlap,selected_alternative,do_not_buy_duplicate,Entry is explicitly deferred by overlap-resolution decision.
part_fastener_kit_e_trim_screws_cup_washers,interior_weatherproofing,Fastener Kit E: Stainless/non-structural trim screws plus cup/finishing washers,planned,deferred_until_body_closed,,missing,,,,none,,0.345,hold_until_body_closed,body_sealed,do_not_buy_yet,Material should be purchased only after floor/body sealing gate.
part_mech_fuel_hose_and_clamps,mechanical_baseline,"Diesel fuel hose/line package - 8 mm feed, 6 mm return, leak-off hose, new hard lines",purchase_ready,purchase_ready_measured_stock,,missing,,,,none,,0.365,buy_now,baseline_execution,order_now,Marked purchase-ready with no deferral flags.
part_mech_vacuum_hose_refresh,mechanical_baseline,Vacuum/breather hose kit - 10-12 mm vacuum + 16-19 mm oil-resistant breather,purchase_ready,purchase_ready_standard_stock,,missing,,,,none,,0.349,buy_now,baseline_execution,order_now,Marked purchase-ready with no deferral flags.
part_fuel_filler_neck_hose_vent_20260619,mechanical_baseline,Fuel filler rubber parts - main fuel fill hose vent hose and smooth-band clamps,planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.348,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_mech_heat_glow_plugs_set,mechanical_baseline,Toyota OE glow plugs 19850-68030 x6 - diesel 2H,new_only_planned,purchase_ready,,missing,,confirm_price_then_order,,none,,0.358,confirm_price_then_buy,baseline_execution,source_toyota_oe_by_part_number,"Buy exact Toyota-labelled glow plugs: 19850-68030 x6 for HJ47-style 2H 12V/8.5V, or 19850-68060 x6 only if old plug/system confirms 24V/superglow."
part_mech_oil_filter_guard_gdo135_20260529,mechanical_baseline,Engine oil filter - Guard GDO-135 candidate for 2H,planned,purchase_ready,,missing,https://automize.pk/products/guard-oil-filter-gdo-135,confirm_price_then_order,,none,,0.349,confirm_price_then_buy,baseline_execution,lock_vendor_price_and_order,Item is buy-now but still missing confirmed amount.
part_mech_heater_hose_set,mechanical_baseline,"Heater hose pair - EPDM 400 mm inlet + 280 mm outlet, 16 mm ID",sample_photos_added,sample_route_photos_added_cost_missing,,missing,,,,none,,0.423,review,general,review_line,No rule matched.
part_mech_accessory_belt_set,mechanical_baseline,Accessory belt set,planned,runner_spec_controlled,,missing,,,,none,,0.500,runner_spec_controlled,written_spec_or_labelled_sample_release,quote_photo_or_buy_exact_spec,"Runner can buy only against a written spec, mechanic-labelled sample, or explicit mechanic/user approval; otherwise collect photos and price only."
part_mech_fuel_filter,mechanical_baseline,Fuel filter,planned,runner_spec_controlled,,missing,,,,none,,0.421,runner_spec_controlled,written_spec_or_labelled_sample_release,quote_photo_or_buy_exact_spec,"Runner can buy only against a written spec, mechanic-labelled sample, or explicit mechanic/user approval; otherwise collect photos and price only."
part_mech_engine_oil_filter_service,mechanical_baseline,Engine oil - Liqui Moly Touring High Tech SHPD 15W-40 5L; oil filter tracked separately,ordered,ordered_pending_delivery,12499,confirmed,https://autohub.pk/products/liqui-moly-touring-high-tech-shpd-motor-oil-15w-40,track_delivery,,none,,0.357,track_ordered_delivery,electrical_body_mechanical_as_needed,confirm_delivery_and_quality,Item is already ordered and should be tracked through delivery.
part_android_unit,optional_upgrades,Android unit,planned,deferred_optional,,missing,,,,none,,0.438,defer_optional,after_baseline_validation,hold_until_baseline_complete,Optional scope is intentionally deferred behind baseline completion.
part_mech_radiator_hose_set,radiator,"Cooling hose/pipe package - upper/lower radiator hoses, overflow hose, formed coolant pipe",sample_photos_added,sample_route_photos_added_cost_missing,,missing,,,,none,,0.321,review,general,review_line,No rule matched.
part_mech_radiator_cap,radiator,Radiator cap,planned,runner_spec_controlled,,missing,,,,none,,0.400,runner_spec_controlled,written_spec_or_labelled_sample_release,quote_photo_or_buy_exact_spec,"Runner can buy only against a written spec, mechanic-labelled sample, or explicit mechanic/user approval; otherwise collect photos and price only."
part_power_steering_upgrade,steering_brakes_suspension,EPS market scout check - 2005-2011 SCP90/NCP90 complete kit plus General EPS Adapter geometry,researching,pre_payment_market_check,,missing,,,,none,,0.310,research_compare_then_select,market_scout,complete_pre_payment_check,Quote and buy/no-buy decision only; use the SCP90/NCP90 EPS market scout spec.
part_mech_brake_flex_hose_set,steering_brakes_suspension,Brake hydraulic hose/line package - new flex hoses + 4.75 mm hard-line coil allowance,planned,runner_spec_controlled,,missing,,,,none,,0.378,runner_spec_controlled,written_spec_or_labelled_sample_release,define_hose_specs_then_quote_or_buy_exact_spec,"Aamir is office/runner support, not a mechanic, but he can buy against a written hose spec or mechanic-labelled sample. If free length, end fittings, bracket groove, thread/seat, hose rating, or route clearance are uncertain, collect photos and price only."
part_ironman_front_dampers_separate_shipment,steering_brakes_suspension,Ironman Foamcell front damper pair - separate shipment (24635FE x2),ordered,ordered_pending_delivery,,missing,,track_delivery,,none,,0.364,track_ordered_delivery,electrical_body_mechanical_as_needed,confirm_delivery_and_quality,Item is already ordered and should be tracked through delivery.
part_turbo_air_cleaner_element_housing_20260717,turbocharger_powertrain,High-flow sealed air-cleaner housing and service element suitable for dusty J40 use,planned,airflow_and_space_hold,,missing,,,,none,,0.361,review,general,review_line,No rule matched.
part_turbo_boost_gauge_daraz_lead_20260717,turbocharger_powertrain,Generic 52 mm electronic boost gauge Daraz market lead,market_lead,do_not_buy_without_accuracy_proof,5768,online_listing,https://www.daraz.pk/products/ad-universal-52mm-bar-blue-led-light-pressure-turbo-boost-gauge-meter-with-sensor-holder-12v-boost-sensor-car-accessories-i525997148.html,,,none,,0.394,review,general,review_line,No rule matched.
part_turbo_boost_gauge_quality_20260717,turbocharger_powertrain,Quality low-range boost gauge sensor hose fittings and illumination,planned,quality_product_selection_hold,,missing,,,,none,,0.381,review,general,review_line,No rule matched.
part_turbo_boost_reference_hose_fittings_20260717,turbocharger_powertrain,Boost reference hose manifold barb fittings clamps and restrictor/damper if specified,planned,port_and_instrument_hold,,missing,,,,none,,0.360,review,general,review_line,No rule matched.
part_turbo_charge_pipe_import_lead_20260717,turbocharger_powertrain,Imported universal aluminium intercooler pipe hose and clamp kit market lead,market_lead,do_not_buy_wrong_diameter,47273,online_listing,https://www.ubuy.com.pk/en/product/M5U12RSZO-3-60cm-universal-aluminum-intercooler-pipe-kit-polished-aluminum-turbo-intercooler-pipe-8-blue-hose-16-clamps-kit,,,none,,0.417,review,general,review_line,No rule matched.
part_turbo_charge_pipe_kit_20260717,turbocharger_powertrain,Aluminium charge-pipe bends and straight sections with beaded ends,market_lead,diameter_and_route_hold,,price_tbd,https://fullthrottlepakistan.com/products/universal-3-aluminum-turbo-intake-intercooler-pipe-kit-silver-for-most-cars,,,none,,0.429,review,general,review_line,No rule matched.
part_turbo_clean_air_inlet_duct_20260717,turbocharger_powertrain,Air-cleaner to turbo compressor inlet duct couplers clamps and support brackets,planned,turbo_and_airbox_position_hold,,missing,,,,none,,0.324,review,general,review_line,No rule matched.
part_turbo_coolant_temperature_gauge_sender_20260717,turbocharger_powertrain,Calibrated coolant-temperature gauge sender and matched adapter,planned,sender_location_and_thread_hold,,missing,,,,none,,0.361,review,general,review_line,No rule matched.
part_turbo_crankcase_breather_separator_20260717,turbocharger_powertrain,Serviceable crankcase breather oil separator and turbo-inlet return plumbing,planned,blowby_test_and_route_hold,,missing,,,,none,,0.381,review,general,review_line,No rule matched.
part_turbo_downpipe_flange_vband_20260717,turbocharger_powertrain,Turbo outlet flange or V-band assembly and gasket for fabricated downpipe,planned,buy_with_final_turbo,,missing,,,,none,,0.373,review,general,review_line,No rule matched.
part_turbo_downpipe_tube_20260717,turbocharger_powertrain,Mandrel-bend downpipe tubing transition and fabrication stock,planned,turbo_position_and_chassis_route_hold,,missing,,,,none,,0.414,review,general,review_line,No rule matched.
part_turbo_egt_gauge_probe_20260717,turbocharger_powertrain,Calibrated EGT pyrometer gauge with pre-turbine thermocouple probe wiring and alarm,planned,quality_product_selection_hold,,missing,,,,none,,0.367,review,general,review_line,No rule matched.
part_turbo_exhaust_flex_joint_20260717,turbocharger_powertrain,Interlocked-lined exhaust flex joint matched to downpipe diameter,planned,buy_after_exhaust_diameter_lock,,missing,,,,none,,0.352,review,general,review_line,No rule matched.
part_turbo_exhaust_hanger_set_20260717,turbocharger_powertrain,Turbo exhaust hanger brackets pins heat-rated rubber isolators and fasteners,planned,buy_after_exhaust_mockup,,missing,,,,none,,0.347,review,general,review_line,No rule matched.
part_turbo_exhaust_manifold_2h_20260717,turbocharger_powertrain,Toyota 2H turbo exhaust manifold or engineered manifold-adapter assembly,planned,engine_identity_and_mockup_hold,,missing,,,,none,,0.342,review,general,review_line,No rule matched.
part_turbo_exhaust_system_20260717,turbocharger_powertrain,Low-restriction single exhaust tubing muffler tailpipe joints and service clamps,planned,full_chassis_and_body_route_hold,,missing,,,,none,,0.382,review,general,review_line,No rule matched.
part_turbo_fastener_support_bracket_stock_20260717,turbocharger_powertrain,Turbo downpipe charge-pipe airbox and heat-shield bracket stock plus graded fasteners and isolators,planned,buy_after_mockup_cut_list,,missing,,,,none,,0.333,review,general,review_line,No rule matched.
part_turbo_gauge_mount_wiring_20260717,turbocharger_powertrain,Gauge mounting panel fused wiring terminals loom protection grommets labels and connectors,planned,dash_layout_and_gauge_selection_hold,,missing,,,,none,,0.380,review,general,review_line,No rule matched.
part_turbo_heat_shield_package_20260717,turbocharger_powertrain,Turbine manifold and downpipe formed heat shields with air gap stand-offs and edge protection,planned,final_hot_side_geometry_hold,,missing,,,,none,,0.356,review,general,review_line,No rule matched.
part_turbo_intake_manifold_adapter_20260717,turbocharger_powertrain,2H intake-manifold charge-air adapter/plenum connection with boost reference ports,planned,manifold_measurement_hold,,missing,,,,none,,0.368,review,general,review_line,No rule matched.
part_turbo_intercooler_core_20260717,turbocharger_powertrain,Front or side-mounted bar-and-plate intercooler matched to 2H airflow and cooling-stack envelope,planned,cooling_stack_measurement_hold,,missing,,,,none,,0.359,review,general,review_line,No rule matched.
part_turbo_intercooler_mount_isolator_set_20260717,turbocharger_powertrain,Intercooler mounting brackets rubber isolators spacers and graded fasteners,planned,core_and_front_stack_hold,,missing,,,,none,,0.350,review,general,review_line,No rule matched.
part_turbo_line_heat_sleeve_set_20260717,turbocharger_powertrain,High-temperature sleeves and reflective barriers for nearby oil fuel brake clutch A-C and electrical routes,planned,buy_after_clearance_map,,missing,,,,none,,0.316,review,general,review_line,No rule matched.
part_turbo_manifold_gasket_stud_set_20260717,turbocharger_powertrain,New 2H exhaust manifold gasket turbo flange gasket studs nuts and locking hardware set,planned,buy_with_final_manifold,,missing,,,,none,,0.400,review,general,review_line,No rule matched.
part_turbo_oil_drain_flange_20260717,turbocharger_powertrain,Turbo-specific oil-drain flange gasket and fasteners,planned,buy_with_final_turbo,,missing,,,,none,,0.412,review,general,review_line,No rule matched.
