item_id,system,buy_stage,item,quantity,required_spec,fit_acceptance,buy_location,status,notes
RAD-10,cooling,2_routes,38 mm hose elbows,2,90-degree molded EPDM or actual angles required,Minimum joins and no kinks,Bilal Ganj hose shop,planned_after_dry_fit,Return unused fittings
RAD-11,cooling,2_routes,38 mm straight coolant hose,1 m,Coolant-rated EPDM,Cut after mock-up,Bilal Ganj hose shop,planned_after_dry_fit,Keep joins minimal
RAD-12,cooling,2_routes,38 mm beaded joiners,2,38 mm OD aluminum or stainless with rolled/beaded ends,Two clamp lands per joiner,Bilal Ganj hose/radiator shop,planned_after_dry_fit,Reject plain pipe
RAD-13,cooling,2_routes,Main coolant hose clamps,8,Constant-tension or smooth fully lined clamps sized to measured hose OD,No hose-cutting perforations,Bilal Ganj hardware/hose shop,planned_after_dry_fit,Do not overtighten brass necks
RAD-14,cooling,2_routes,Overflow hose and clamps,1 m,"Heat-resistant EPDM matched to actual nipples; Toyota HJ47 reference 90445-12078 is 600 mm long",No kink; bottle pickup works,Bilal Ganj hose shop,planned_after_dry_fit,Include two matching clamps
RAD-15,cooling,2_routes,2H thermostat and gasket set,1,"Toyota HJ47 thermostat 90916-03026 marked 82-95 C; gasket references 16341-68010 and 16343-68010",Verify from removed parts and opened housing joints,Bilal Ganj Toyota parts shop,planned_after_verification,Buy only required gaskets
RAD-16,cooling,2_routes,Radiator mounting hardware,1 set,"M8 class 8.8 bolts large washers Nyloc nuts sleeves spacers anti-seize",Rubber isolated and no radiator twist,Bilal Ganj hardware shop,planned_after_dry_fit,Final lengths on vehicle
RAD-17,cooling,2_routes,Perimeter air seal,1 roll,"Closed-cell EPDM about 10-20 mm wide x 5-10 mm thick",Seal bypass without blocking drainage,Bilal Ganj rubber shop,planned_after_dry_fit,No core rubbing
RAD-18,cooling,2_routes,Fan and alternator V-belt,1,"New quality belt matched to pulley width route and centers; HJ47 references 99343-01065 99343-11065 or 99343-01075 vary by date",Fits adjustment range without pulley misalignment,Bilal Ganj belt/Toyota parts shop,planned_after_dry_fit,Match removed belt and installed conversion
AC-06,air_conditioning,2_routes,#8 discharge barrier hose,"Measured; budget 1.5 m","R134a barrier hose; nominal 13/32 in or about 10 mm ID; matched ferrules","Compressor discharge to condenser; route +10% or 200 mm",Bilal Ganj A/C hose shop,planned_after_mockup,Crimp only after all positions fixed
AC-07,air_conditioning,2_routes,#6 liquid barrier hose,"Measured; budget 3 m","R134a barrier hose; nominal 5/16 in or about 8 mm ID; matched ferrules","Condenser to drier to TXV; route +10% or 200 mm",Bilal Ganj A/C hose shop,planned_after_mockup,Crimp only after all positions fixed
AC-08,air_conditioning,2_routes,#10 suction barrier hose,"Measured; budget 2.5 m","R134a barrier hose; nominal 1/2 in or about 13 mm ID; matched ferrules","Evaporator to compressor; route +10% or 200 mm",Bilal Ganj A/C hose shop,planned_after_mockup,Insulate cabin/hot sections as required
AC-09,air_conditioning,2_routes,Compressor discharge fitting,1,Actual Sanden head to #8 hose,Identify compressor thread before purchase,Bilal Ganj A/C hose shop,planned_after_mockup,Do not assume port thread
AC-10,air_conditioning,2_routes,Compressor suction fitting,1,Actual Sanden head to #10 hose,Identify compressor thread before purchase,Bilal Ganj A/C hose shop,planned_after_mockup,Do not assume port thread
AC-11,air_conditioning,2_routes,#8 condenser inlet fitting,1,Female O-ring to #8 hose; straight or 90-degree,Must remain within side envelope,Bilal Ganj A/C hose shop,planned_after_mockup,Trial-fit before payment
AC-12,air_conditioning,2_routes,#6 condenser outlet fitting,1,Female O-ring to #6 hose; usually 90-degree,Must remain within side envelope,Bilal Ganj A/C hose shop,planned_after_mockup,Trial-fit before payment
AC-13,air_conditioning,2_routes,#6 drier and TXV hose ends,4,Threads and angles matched to actual drier and TXV,No forced alignment,Bilal Ganj A/C hose shop,planned_after_mockup,Select straight/45/90 on vehicle
AC-14,air_conditioning,2_routes,R134a service ports,2,One high-side and one low-side port with caps,Accessible without hot/moving-part conflict,Bilal Ganj A/C hose shop,planned_after_mockup,Use correct line sizes
AC-15,air_conditioning,2_routes,HNBR O-ring set,1 set,Green refrigerant-compatible #6/#8/#10 sizes,New O-ring at every opened joint,Bilal Ganj A/C parts shop,planned_after_mockup,Lubricate with confirmed oil only
AC-16,air_conditioning,2_routes,Protective caps and plugs,1 set,Fit every open A/C port,Components remain clean and dry,Bilal Ganj A/C parts shop,planned_after_mockup,Especially important for drier
AC-17,air_conditioning,3_commissioning,PAG oil,As label requires,Match exact compressor model/label and oil plan,No mixing unknown oils,Bilal Ganj A/C service shop,planned_after_inspection,Sanden grade varies by compressor model
AC-18,air_conditioning,3_commissioning,R134a refrigerant,Charge by weight,New sealed refrigerant,Charge only after nitrogen test vacuum and hold test,Bilal Ganj A/C service shop,planned_after_testing,Record final charge weight
AC-19,air_conditioning,3_commissioning,TXV or expansion valve,1 if absent,R134a and evaporator-capacity matched,Correct #6 inlet and evaporator outlet connection,Bilal Ganj A/C parts shop,conditional,Inspect purchased evaporator first
AC-20,air_conditioning,3_commissioning,Evaporator freeze control,1 if absent,Compatible thermostat/control,Must interrupt clutch relay control,Bilal Ganj A/C parts shop,conditional,Inspect purchased evaporator first
AC-21,air_conditioning,3_commissioning,Evaporator drain hose and grommet,1.5 m,"About 12-16 mm ID; match drain spigot",Continuous downhill route,Bilal Ganj hose/rubber shop,planned_after_mockup,Include clamp
AC-22,air_conditioning,2_routes,Refrigerant hose P-clips,10-12,Rubber-lined metal clips sized to actual #6 #8 and #10 hose ODs,Support hose without crushing or loading fittings,Bilal Ganj A/C/hardware shop,planned_after_mockup,Final count follows route
AC-23,air_conditioning,2_routes,Firewall or bulkhead hose protection,1 set,Bulkhead fittings or large grommets with edge-protected reinforcement plate,No refrigerant hose through bare sheet metal,Bilal Ganj A/C/fabrication shop,planned_after_mockup,Match evaporator interface
AC-24,air_conditioning,2_routes,Suction-line insulation,As required,Closed-cell A/C insulation sized to #10 hose,Seal cabin and hot-zone joints against condensation,Bilal Ganj A/C parts shop,planned_after_mockup,Do not insulate service access points
AC-25,air_conditioning,2_routes,Compressor V-belt,1,New belt matched to Sanden pulley crank pulley bracket range and measured route,Fits adjustment range and runs aligned,Bilal Ganj belt/A/C shop,planned_after_mockup,Custom installation so do not use model alone
ELEC-01,electrical,3_commissioning,Condenser fan relay and socket,1,"12 V sealed 40 A relay and waterproof socket",Trinary drives coil only,Bilal Ganj auto-electric shop,planned_new_purchase,Mount near protected feed
ELEC-02,electrical,3_commissioning,Compressor clutch relay and socket,1,"12 V sealed 30-40 A relay and waterproof socket",Thermostat and trinary interrupt coil,Bilal Ganj auto-electric shop,planned_new_purchase,Measure clutch current
ELEC-03,electrical,3_commissioning,Fuse holders,2,Sealed MAXI/MIDI or quality blade holders,Mounted close to feed point,Bilal Ganj auto-electric shop,planned_new_purchase,One fan and one clutch
ELEC-04,electrical,3_commissioning,Fan and clutch fuses,1 each,"Typical fan 20-30 A and clutch 10-15 A; final by measured current",Fuse must protect installed wire,Bilal Ganj auto-electric shop,planned_after_current_test,Do not guess
ELEC-05,electrical,3_commissioning,Fan power and ground cable,"Route +15%","Minimum 4 mm2 copper; 6 mm2 if current/drop requires",Dedicated protected feed and ground,Bilal Ganj auto-electric shop,planned_after_current_test,No sheetmetal screw ground
ELEC-06,electrical,3_commissioning,Clutch power cable,"Route +15%",Normally 2.5 mm2 copper subject to current/drop,Dedicated relay feed,Bilal Ganj auto-electric shop,planned_after_current_test,Measure current
ELEC-07,electrical,3_commissioning,Control cable,"Route +15%",1.0-1.5 mm2 automotive copper,Protected and loomed,Bilal Ganj auto-electric shop,planned_after_mockup,Trinary thermostat relays
ELEC-08,electrical,3_commissioning,Termination and protection kit,1 kit,Tinned terminals sealed connectors adhesive heat-shrink loom grommets P-clips,No exposed joints or rubbing,Bilal Ganj auto-electric shop,planned_new_purchase,Include dedicated ground hardware
ELEC-09,electrical,3_commissioning,Evaporator blower relay fuse and feed kit,1 if required,Rated from measured blower current with correctly sized cable,Do not carry full blower current through old dash switch,Bilal Ganj auto-electric shop,conditional,Inspect purchased evaporator harness first
FAB-01,fabrication,1_hard_parts,Full-height uprights,2 site-cut,50 x 50 x 4 mm mild-steel angle,"Leave 540-570 mm estimated core clearance; actual vehicle controls",Bilal Ganj steel/fabrication shop,planned_new_purchase,410 mm prior value is reference only
FAB-02,fabrication,1_hard_parts,Crossbar and tab stock,1.5 m,"25 x 25 x 3 mm angle or 30 x 3 mm flat",Removable and does not block airflow/service,Bilal Ganj steel shop,planned_new_purchase,Site-cut
FAB-03,fabrication,2_routes,Component tabs,As needed,3 mm steel or 4 mm aluminum,Radiused deburred and rubber isolated,Bilal Ganj fabricator,planned_after_dry_fit,Final hole locations from components
FAB-04,fabrication,2_routes,M6 component hardware,1 set,Class 8.8 bolts large washers Nyloc nuts isolators spacers,Independent fan condenser and drier mounts,Bilal Ganj hardware shop,planned_after_dry_fit,Final lengths on vehicle
FAB-05,fabrication,2_routes,Chassis fixing hardware,1 set,M8/M10 class 8.8 through-bolts with crush tubes/spacers,No crushing boxed sections,Bilal Ganj hardware/fabrication shop,planned_after_dry_fit,Follow welder inspection
FAB-06,fabrication,3_commissioning,Corrosion protection,As needed,Weld-through primer during work then compatible primer/topcoat,Only after dry-fit drilling and weld inspection,Bilal Ganj paint shop,planned_after_fabrication,Do not coat unresolved holes
FAB-07,fabrication,3_commissioning,Stone guard mesh,1 optional,Rigid high-open-area removable mesh,No fin contact or airflow restriction,Bilal Ganj fabrication shop,optional,Install only if grille protection is insufficient
FLUID-01,cooling,3_commissioning,Prepared engine coolant,"16 L prepared or 8 L concentrate plus distilled water","50/50 corrosion-inhibited coolant compatible with copper/brass and cast iron","Flush bleed pressure-test and record actual converted-vehicle refill",Bilal Ganj parts shop,planned_after_installation,Keep one product and do not mix with unknown old coolant
FLUID-02,cooling,3_commissioning,Distilled or de-mineralized flush water,20 L,Clean sealed water,Use for final rinse and concentrate mixing,Bilal Ganj parts/battery shop,planned_after_installation,Avoid hard tap-water residue in final system
SVC-01,service,3_commissioning,Radiator pressure and flow test,1 job,Test completed new radiator before collection,Record pressure hold time flow result and any repair,Bilal Ganj radiator specialist,required_service,Complete before payment/collection
SVC-02,service,3_commissioning,A/C dry-nitrogen pressure and leak test,1 job,Dry nitrogen and approved leak solution,Repair every leak before evacuation,Bilal Ganj A/C service shop,required_service,Never use oxygen or shop compressed air
SVC-03,service,3_commissioning,A/C evacuation hold test and R134a charge,1 job,Evacuate at least 30 minutes then prove hold and charge by recorded weight,Record ambient pressures charge weight and vent temperature,Bilal Ganj A/C service shop,required_service,Perform only after pressure test passes
SVC-04,service,3_commissioning,Barrier-hose crimping,1 job,Matched ferrules and correct dies after installed route approval,Mark each line and inspect every crimp,Bilal Ganj A/C hose shop,required_service,Protect all open ends during work
SVC-05,service,3_commissioning,Electrical and current commissioning,1 job,Measure fan clutch and blower current then select final fuses,Verify trinary thermostat and relay logic,Bilal Ganj auto-electric shop,required_service,Record readings
