entry_id,phase,workstream,bucket,item,company,transaction_number,order_date,expected_delivery_date,status,procurement_stage,payment_status,delivery_status,amount,currency,product_link,evidence_ref,audit_status,audit_priority,order_search_query,receipt_search_query
part_hvac_slim_louver_outlet_panel_20260514,07_interior_weatherproofing,ac_hvac_retrofit,parts,Slim under-dash louver outlet panel / matched air-directing vent pieces,Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_213|user_update_2026-05-27_required_purchase_line_cleanup,find_order_or_quote_proof,high,"""Coolsun / local automotive A/C supplier"" ""Slim under-dash louver outlet panel / matched air-directing vent pieces"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Coolsun / local automotive A/C supplier"" ""Slim under-dash louver outlet panel / matched air-directing vent pieces"" (receipt OR invoice OR paid OR payment)"
part_hvac_trinary_switch_20260514,05_mechanical_baseline,ac_hvac_retrofit,parts,Trinary pressure switch for A/C compressor and fan control,Amir runner / Coolsun / local automotive A/C supplier,,2026-05-14,,planned,purchase_ready,not_paid,not_ordered,,PKR,,user_update_2026-05-14_aftermarket_ac_removed_hidden_evaporator_plan|workbook_parts_row_219|user_update_2026-05-29_list_under_amir_mechanical_easy,find_order_or_quote_proof,high,"""Amir runner / Coolsun / local automotive A/C supplier"" ""Trinary pressure switch for A/C compressor and fan control"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Amir runner / Coolsun / local automotive A/C supplier"" ""Trinary pressure switch for A/C compressor and fan control"" (receipt OR invoice OR paid OR payment)"
part_body_retaining_clips_cotter_pin_pack,03_body_chassis,body_chassis,parts,Body retaining clip pack - R-clips hairpins split pins circlips and small cotters,local fastener / body hardware supplier,,2026-05-04,,planned,purchase_ready,not_paid,not_ordered,,PKR,,20260503_153832_gp_0FJJiLHg|user_update_2026-05-04_fastener_photo_gap_review|data/manual/fastener_photo_count_estimates.csv,find_order_or_quote_proof,high,"""local fastener / body hardware supplier"" ""Body retaining clip pack - R-clips hairpins split pins circlips and small cotters"" (order OR confirmation OR shipped OR dispatch OR tracking)","""local fastener / body hardware supplier"" ""Body retaining clip pack - R-clips hairpins split pins circlips and small cotters"" (receipt OR invoice OR paid OR payment)"
part_fastener_kit_c_captive_clip_nuts,03_body_chassis,body_chassis,parts,Fastener Kit C remaining: Captive/clip/speed nut and weld-nut assortment - M6/M8,Bilal Ganj clip/captive/rivnut suppliers,,2026-05-03,,planned,purchase_ready,not_paid,not_ordered,,PKR,,20260503_153832_gp_0FJJiLHg|workbook_parts#row_227|user_update_2026-05-03_screw_photo_review|data/manual/fastener_photo_count_estimates.csv|user_update_2026-05-08_rivets_received|user_update_2026-05-09_m6_m8_rivnut_confirmation|photos/20260508_rivnuts_received_user_photo.png|photos/20260508_m6_rivnut_box_labels_user_photo.png,find_order_or_quote_proof,high,"""Bilal Ganj clip/captive/rivnut suppliers"" ""Fastener Kit C remaining: Captive/clip/speed nut and weld-nut assortment - M6/M8"" (order OR confirmation OR shipped OR dispatch OR tracking)","""Bilal Ganj clip/captive/rivnut suppliers"" ""Fastener Kit C remaining: Captive/clip/speed nut and weld-nut assortment - M6/M8"" (receipt OR invoice OR paid OR payment)"
tool_harden_cup_wire_brush_100mm_m14,03_body_chassis,body_chassis,tools,Harden Cup Wire Brush With NutSize100mm x M14x2.0,Toolsmart.pk,TM25240,2026-04-13,,received_candidate,received_candidate,paid,needs_confirmation,2920,PKR,,gmail_msg_19d852aa76c4a57e|gmail_order_TM25240|shopify_order_d0c25d9c64d70f2d5bef2c20a55fa3e7,confirm_order_or_receipt,high,"""TM25240"" ""Toolsmart.pk"" ""Harden Cup Wire Brush With NutSize100mm x M14x2.0"" (order OR confirmation OR shipped OR dispatch OR tracking)","""TM25240"" ""Toolsmart.pk"" ""Harden Cup Wire Brush With NutSize100mm x M14x2.0"" (receipt OR invoice OR paid OR payment)"
tool_wadfow_abrasive_metal_grinding_disc_wac1353,03_body_chassis,body_chassis,tools,Wadfow Abrasive metal grinding disc WAC1353,Toolsmart.pk,TM25240,2026-04-13,,received_candidate,received_candidate,paid,needs_confirmation,1440,PKR,,gmail_msg_19d852aa76c4a57e|gmail_order_TM25240|shopify_order_d0c25d9c64d70f2d5bef2c20a55fa3e7,confirm_order_or_receipt,high,"""TM25240"" ""Toolsmart.pk"" ""Wadfow Abrasive metal grinding disc WAC1353"" (order OR confirmation OR shipped OR dispatch OR tracking)","""TM25240"" ""Toolsmart.pk"" ""Wadfow Abrasive metal grinding disc WAC1353"" (receipt OR invoice OR paid OR payment)"
part_brake_clutch_475_hard_line_stock_full_vehicle_20260514,06c_brake_system,brake_system,parts,Brake/clutch hard-line tube stock candidate - Altivox 3/16 in 25 ft kit with 28 fittings,Ubuy,1622606272102,2026-06-02,10-15_business_days_plus_customs,received_candidate,received_candidate,paid,needs_confirmation,35496,PKR,,user_update_2026-05-14_full_vehicle_brake_clutch_line_purchase_list|HLS-15|HLS-19|BR-REAR-002|RP-BRAKE-001|RP-CLUTCH-001|docs/brake-line-cheap-sourcing-20260524.md|docs/pakistan-brake-piping-handbrake-sources-20260524.md|web_sna_industries_steel_brake_pipes_brake_hoses|gari_lahore_mild_steel_hydraulic_brake_pipe_reference|fedhill_25ft_cunifer_reference|fcp_euro_25ft_cunifer_reference|user_update_2026-05-24_price_brake_lines_before_other_parts|user_update_2026-05-27_amir_brake_tube_purchase_run|docs/amir-montgomery-road-shopping-list-20260527.md|user_update_2026-05-28_procured_by_amir|gmail_msg_19e88d9b5b2e0cca|ubuy_order_1622606272102|user_update_2026-06-18_copper_tubing_arrived|user_update_2026-06-18_rear_wheel_cylinder_clarification,confirm_order_or_receipt,high,"""1622606272102"" ""Ubuy"" ""Brake/clutch hard-line tube stock candidate - Altivox 3/16 in 25 ft kit with 28 fittings"" (order OR confirmation OR shipped OR dispatch OR tracking)","""1622606272102"" ""Ubuy"" ""Brake/clutch hard-line tube stock candidate - Altivox 3/16 in 25 ft kit with 28 fittings"" (receipt OR invoice OR paid OR payment)"
part_brake_clutch_line_support_clamps_full_vehicle_20260514,06c_brake_system,brake_system,parts,"Full vehicle brake/clutch line support pack - P-clips, clamp-on axle supports, edge protection",on-hand P-clip and support stock / original line-route match,on_hand_stock_20260530,2026-05-30,,received_candidate,received_candidate,unknown,needs_location_match,,PKR,,user_update_2026-05-14_clamp_on_line_supports|HLS-16|BR-REAR-006|docs/rear-drum-brake-buy-sheet-20260524.md|user_update_2026-05-30_on_hand_pclips_uclips_brake_tees,confirm_on_hand_location_match,high,"""on_hand_stock_20260530"" ""on-hand P-clip and support stock / original line-route match"" ""Full vehicle brake/clutch line support pack - P-clips, clamp-on axle supports, edge protection"" (order OR confirmation OR shipped OR dispatch OR tracking)","""on_hand_stock_20260530"" ""on-hand P-clip and support stock / original line-route match"" ""Full vehicle brake/clutch line support pack - P-clips, clamp-on axle supports, edge protection"" (receipt OR invoice OR paid OR payment)"
part_brake_flex_hose_retaining_clip_pack_20260514,06c_brake_system,brake_system,parts,Brake flex-hose retaining U-clips and bracket hardware pack,on-hand brake hose U-clip stock / original bracket location match,on_hand_stock_20260530,2026-05-30,,received_candidate,received_candidate,unknown,needs_location_match,,PKR,,user_update_2026-05-14_full_vehicle_brake_clutch_line_purchase_list|HLS-17|BR-FRONT-004|BR-REAR-003|docs/rear-drum-brake-buy-sheet-20260524.md|user_update_2026-05-30_on_hand_pclips_uclips_brake_tees,confirm_on_hand_location_match,high,"""on_hand_stock_20260530"" ""on-hand brake hose U-clip stock / original bracket location match"" ""Brake flex-hose retaining U-clips and bracket hardware pack"" (order OR confirmation OR shipped OR dispatch OR tracking)","""on_hand_stock_20260530"" ""on-hand brake hose U-clip stock / original bracket location match"" ""Brake flex-hose retaining U-clips and bracket hardware pack"" (receipt OR invoice OR paid OR payment)"
part_brake_hydraulic_tees_unions_splitters_20260514,06c_brake_system,brake_system,parts,Brake hydraulic splitter T-union and inline union replacement set,on-hand brake tee/union stock / old-location sample match,on_hand_stock_20260530,2026-05-30,,received_candidate,received_candidate,unknown,needs_location_match,,PKR,,user_update_2026-05-14_rear_axle_splitter_purchase_list|BR-REAR-002|BR-REAR-003|BR-SYS-001|BR-CAPTURE-001|docs/brake-line-cheap-sourcing-20260524.md|user_update_2026-05-24_price_brake_lines_before_other_parts|user_update_2026-05-30_on_hand_pclips_uclips_brake_tees,confirm_on_hand_location_match,high,"""on_hand_stock_20260530"" ""on-hand brake tee/union stock / old-location sample match"" ""Brake hydraulic splitter T-union and inline union replacement set"" (order OR confirmation OR shipped OR dispatch OR tracking)","""on_hand_stock_20260530"" ""on-hand brake tee/union stock / old-location sample match"" ""Brake hydraulic splitter T-union and inline union replacement set"" (receipt OR invoice OR paid OR payment)"
part_brake_master_reservoir_refresh,06c_brake_system,brake_system,parts,Brake master cylinder candidate order - ULTIMA UFM-1041 x1; reservoir/proportioning still inspect,PakWheels AUTOSTORE,1075298,2026-05-25,after_eid_vendor_note_no_exact_date,ordered,ordered_pending_delivery,unknown,pending_delivery,6307,PKR,,BR-SYS-001|20260331_224409|20260331_224423|gmail_msg_19e5e217925bd4c7|gmail_order_1075298|gmail_msg_19e88fa7035750dd|gmail_cancel_1075421|gmail_msg_19e8e727ef0410d4|leopards_KI7535728644,track_order_delivery,high,"""1075298"" ""PakWheels AUTOSTORE"" ""Brake master cylinder candidate order - ULTIMA UFM-1041 x1; reservoir/proportioning still inspect"" (order OR confirmation OR shipped OR dispatch OR tracking)","""1075298"" ""PakWheels AUTOSTORE"" ""Brake master cylinder candidate order - ULTIMA UFM-1041 x1; reservoir/proportioning still inspect"" (receipt OR invoice OR paid OR payment)"
part_clutch_master_slave_cylinders_20260514,06c_brake_system,brake_system,parts,Clutch master cylinder candidates - Trupart FM-1246 x2; slave cylinder still inspect,PakWheels AUTOSTORE,1075298|1076462,2026-05-25,after_eid_vendor_note_no_exact_date,ordered,ordered_partial_pending_delivery,unknown,pending_delivery,7494,PKR,,user_update_2026-05-14_full_vehicle_brake_clutch_line_purchase_list|RP-CLUTCH-001|gmail_msg_19e5e217925bd4c7|gmail_order_1075298|gmail_msg_19e738813f17b21a|gmail_order_1076462|gmail_msg_19e845e2066cb973|leopards_KI7535728645|gmail_msg_19e849773712523b|leopards_KI7535715250,track_order_delivery,high,"""1075298|1076462"" ""PakWheels AUTOSTORE"" ""Clutch master cylinder candidates - Trupart FM-1246 x2; slave cylinder still inspect"" (order OR confirmation OR shipped OR dispatch OR tracking)","""1075298|1076462"" ""PakWheels AUTOSTORE"" ""Clutch master cylinder candidates - Trupart FM-1246 x2; slave cylinder still inspect"" (receipt OR invoice OR paid OR payment)"
part_rear_brake_line_cable_clips,06c_brake_system,brake_system,parts,Rear line/cable support pack - brake-line clips cable retainers and rubber-lined P-clips,on-hand rear line/cable clip stock / original rear route match,on_hand_stock_20260530,2026-05-30,,received_candidate,received_candidate,unknown,needs_location_match,,PKR,,BR-REAR-006|20260501_194305_gp_EllBGvXA|20260501_194313_gp_lfUqLibA|20260512_072730_gp_jSK3r3bg|20260512_072929_gp_bpHkNO2Q|20260512_072947_gp_bNB9GvHA|user_update_2026-05-24_local_only_no_expensive_imports|user_update_2026-05-30_on_hand_pclips_uclips_brake_tees,confirm_on_hand_location_match,high,"""on_hand_stock_20260530"" ""on-hand rear line/cable clip stock / original rear route match"" ""Rear line/cable support pack - brake-line clips cable retainers and rubber-lined P-clips"" (order OR confirmation OR shipped OR dispatch OR tracking)","""on_hand_stock_20260530"" ""on-hand rear line/cable clip stock / original rear route match"" ""Rear line/cable support pack - brake-line clips cable retainers and rubber-lined P-clips"" (receipt OR invoice OR paid OR payment)"
part_rear_drum_spring_hold_down_hardware_20260527,06c_brake_system,brake_system,parts,Rear drum hardware kit - Centric 116971-05110530 1960-1980 Toyota Land Cruiser,Amir / local brake parts supplier,amir_local_procurement_20260528,2026-05-28,,received_candidate,received_candidate,unknown,needs_confirmation,,PKR,,BR-REAR-007|20260524_025547_gp_yCvA0bxA|20260524_025532_gp_YlEZxOmQ|20260524_025515_gp_zEaIZo5Q|20260524_025414_gp_VsFMrBNQ|part_rear_brake_shoes_hardware|user_update_2026-05-27_rear_drum_parts_extrapolated|user_update_2026-05-27_gettable_local_brake_items|user_update_2026-05-27_aamir_runner_not_mechanic|user_update_2026-05-27_spec_controlled_runner_purchase|docs/brake-runner-spec-capture-20260528.md|user_update_2026-05-28_rear_parking_brake_back_section_photos|user_update_2026-05-28_procured_by_amir|user_update_2026-05-28_procured_by_amir_addendum,confirm_order_or_receipt,high,"""amir_local_procurement_20260528"" ""Amir / local brake parts supplier"" ""Rear drum hardware kit - Centric 116971-05110530 1960-1980 Toyota Land Cruiser"" (order OR confirmation OR shipped OR dispatch OR tracking)","""amir_local_procurement_20260528"" ""Amir / local brake parts supplier"" ""Rear drum hardware kit - Centric 116971-05110530 1960-1980 Toyota Land Cruiser"" (receipt OR invoice OR paid OR payment)"
part_toolsmart_vmd_brake_clutch_cleaner_400ml_tm26231_20260704,06c_brake_system,brake_system,parts,VMD Brake and Clutch Cleaner 400ML - qty 1,ToolsMart.pk,TM26231,2026-07-04,,ordered,ordered_pending_delivery,paid,pending_delivery,2007,PKR,,gmail_msg_19f2e1b762150a0a|gmail_order_TM26231|bank_alert_19f2e1c3b899295f,track_order_delivery,high,"""TM26231"" ""ToolsMart.pk"" ""VMD Brake and Clutch Cleaner 400ML - qty 1"" (order OR confirmation OR shipped OR dispatch OR tracking)","""TM26231"" ""ToolsMart.pk"" ""VMD Brake and Clutch Cleaner 400ML - qty 1"" (receipt OR invoice OR paid OR payment)"
tool_brake_line_deburrer_reamer_20260514,06c_brake_system,brake_system,tools,Brake hard-line internal/external deburrer or reamer for 4.75 mm tube,Aamir runner / Montgomery Road local tool market / Toolsmart / brake hydraulic pipe specialist,aamir_local_run_20260527,2026-05-30,,ordered,ordered_pending_delivery,unknown,pending_delivery,,PKR,,docs/brake-hard-line-tool-parts-selection-20260514.md|BHL-TOOL-003|web_4lifetimelines_master_flaring_set|user_update_2026-05-27_gettable_local_brake_items|docs/amir-montgomery-road-shopping-list-20260527.md|user_update_2026-05-27_aamir_runner_not_mechanic|user_update_2026-05-30_deburrer_already_ordered,track_order_delivery,high,"""aamir_local_run_20260527"" ""Aamir runner / Montgomery Road local tool market / Toolsmart / brake hydraulic pipe specialist"" ""Brake hard-line internal/external deburrer or reamer for 4.75 mm tube"" (order OR confirmation OR shipped OR dispatch OR tracking)","""aamir_local_run_20260527"" ""Aamir runner / Montgomery Road local tool market / Toolsmart / brake hydraulic pipe specialist"" ""Brake hard-line internal/external deburrer or reamer for 4.75 mm tube"" (receipt OR invoice OR paid OR payment)"
tool_metric_flare_nut_wrench_set_20260514,06c_brake_system,brake_system,tools,Metric flare-nut / brake-line wrench set,ToolsMart.pk,TM25776,2026-05-23,,received_candidate,received_candidate,paid,needs_confirmation,1970,PKR,,docs/brake-hard-line-tool-parts-selection-20260514.md|BHL-TOOL-005|web_toolsmart_licota_12x14|web_toolshub_10x12_search|gmail_msg_19e5622147cdd91a|gmail_order_TM25776|bank_alert_19e5622515169f29|gmail_msg_19ebd28e93534a5e|gmail_fulfillment_review_TM25776|gmail_msg_19edc169349e3afc|gmail_fulfillment_review_TM25776_flare_nut_20260618,confirm_order_or_receipt,high,"""TM25776"" ""ToolsMart.pk"" ""Metric flare-nut / brake-line wrench set"" (order OR confirmation OR shipped OR dispatch OR tracking)","""TM25776"" ""ToolsMart.pk"" ""Metric flare-nut / brake-line wrench set"" (receipt OR invoice OR paid OR payment)"
tool_toolsmart_harden_mini_tube_cutter_3_22mm_20260504,06c_brake_system,brake_system,tools,Harden Mini Tube Cutter 3-22mm,ToolsMart.pk,TM25550,2026-05-04,,received_candidate,received_candidate,unknown,needs_confirmation,1380,PKR,,gmail_msg_19df40dbc5116bb3|gmail_order_TM25550|gmail_fulfillment_review_TM25550|gmail_msg_19e4ba9b39b2d734,confirm_order_or_receipt,high,"""TM25550"" ""ToolsMart.pk"" ""Harden Mini Tube Cutter 3-22mm"" (order OR confirmation OR shipped OR dispatch OR tracking)","""TM25550"" ""ToolsMart.pk"" ""Harden Mini Tube Cutter 3-22mm"" (receipt OR invoice OR paid OR payment)"
tool_toolsmart_pard_double_flaring_cutting_tool_set_4_16mm_20260504,06c_brake_system,brake_system,tools,PARD Double Flaring and Cutting Tool Set - 4-16mm,ToolsMart.pk,TM25550,2026-05-04,,received_candidate,received_candidate,unknown,needs_confirmation,18210,PKR,,gmail_msg_19df40dbc5116bb3|gmail_order_TM25550|gmail_fulfillment_review_TM25550|gmail_msg_19e4ba9b39b2d734|gmail_fulfillment_review_TM25550_pard|gmail_msg_19e2cb8173b05a0e,confirm_order_or_receipt,high,"""TM25550"" ""ToolsMart.pk"" ""PARD Double Flaring and Cutting Tool Set - 4-16mm"" (order OR confirmation OR shipped OR dispatch OR tracking)","""TM25550"" ""ToolsMart.pk"" ""PARD Double Flaring and Cutting Tool Set - 4-16mm"" (receipt OR invoice OR paid OR payment)"
tool_toolsmart_pard_double_flaring_cutting_tool_set_tm25805_20260527,06c_brake_system,brake_system,tools,PARD Double Flaring and Cutting Tool Set - 3/16 in to 5/8 in,ToolsMart.pk,TM25805,2026-05-27,,received_candidate,received_candidate,paid,needs_confirmation,18210,PKR,,gmail_msg_19e6a00106af752c|gmail_order_TM25805|bank_alert_19e6a0072d6b41d7|gmail_msg_19ebc6fbabf7f76f|gmail_fulfillment_review_TM25805,confirm_order_or_receipt,high,"""TM25805"" ""ToolsMart.pk"" ""PARD Double Flaring and Cutting Tool Set - 3/16 in to 5/8 in"" (order OR confirmation OR shipped OR dispatch OR tracking)","""TM25805"" ""ToolsMart.pk"" ""PARD Double Flaring and Cutting Tool Set - 3/16 in to 5/8 in"" (receipt OR invoice OR paid OR payment)"
part_brighto_extreme_paint_remover_3l_second_order_20260618,03b_chassis_fixing,chassis_fixing,parts,Brighto Extreme Paint Remover - 3 L second order,Brighto Paints,1701,2026-06-18,,ordered,ordered_pending_delivery,paid,pending_delivery,4670,PKR,,gmail_msg_19edbb1a3c20d90d|brighto_order_1701,track_order_delivery,high,"""1701"" ""Brighto Paints"" ""Brighto Extreme Paint Remover - 3 L second order"" (order OR confirmation OR shipped OR dispatch OR tracking)","""1701"" ""Brighto Paints"" ""Brighto Extreme Paint Remover - 3 L second order"" (receipt OR invoice OR paid OR payment)"
part_raptor_hardener_1l_amir_20260528,03b_chassis_fixing,chassis_fixing,parts,Raptor hardener / activator - 1 L,Amir / local paint supplier,amir_local_procurement_20260528,2026-05-28,,received_candidate,received_candidate,unknown,needs_confirmation,,PKR,,user_update_2026-05-28_procured_by_amir,confirm_order_or_receipt,high,"""amir_local_procurement_20260528"" ""Amir / local paint supplier"" ""Raptor hardener / activator - 1 L"" (order OR confirmation OR shipped OR dispatch OR tracking)","""amir_local_procurement_20260528"" ""Amir / local paint supplier"" ""Raptor hardener / activator - 1 L"" (receipt OR invoice OR paid OR payment)"
