priority,bom_id,linked_route_ids,system,exact_part_to_buy_pakistan,qty,preferred_source,backup_source,source_url,buy_status,buy_instruction,proof_before_payment,reject_if,model_use
P0,PK-RTE-HOSE-COOL-001,J40-RT-023,cooling_system,EPDM coolant hose set: 16 mm ID heater hose 1 m; 28 to 30 mm ID connector hose 2 x 500 mm; overflow hose 6 to 8 mm ID 1 m,1 set,Longman Mills or National Rubber Co,Local radiator hose supplier,https://www.longman.com.pk/automobile-parts/|https://www.nrcpl.com/radiator-hoses-in-pakistan/,buy_now_with_sample_check,Quote as EPDM SAE J20 heater and radiator hose stock then trim on truck,ID and OD photos|hose marking|old sample comparison|clamp land dry-fit,Fuel hose used for coolant|thin soft hose|wrong ID|kinked bend,Heater radiator overflow and coolant route
P0,PK-RTE-FUEL-HOSE-001,J40-RT-018|J40-RT-019,fuel_system,Diesel fuel hose set: 8 mm ID feed 1.5 m; 6 mm ID return 2 m; 3.2 to 3.5 mm ID braided leak-off hose 1 m; rolled-edge fuel clamps,1 set,Longman Mills or local diesel injection hose supplier,National Rubber Co/local hose supplier,https://www.longman.com.pk/automobile-parts/|https://www.nrcpl.com/radiator-hoses-in-pakistan/,buy_now_after_old_route_check,Buy diesel-rated hose only and cut during installation,Hose marking for diesel fuel|ID proof|clamp sizes|old route length confirmation,Vacuum hose|coolant hose|sharp worm clamps on small fuel hose|oversize hose,Diesel feed return leak-off and filler vent route
P1,PK-RTE-FUEL-HARD-001,J40-RT-018,fuel_system,Conditional rigid fuel line stock: 8 mm OD feed hard line 5 m and 6 mm OD return hard line 5 m with matching unions if old rigid lines are replaced,1 set,Montgomery Road fuel/brake line supplier,SNA Industries if they can supply rated tube,https://snaindustries.com/,buy_only_if_rigid_lines_fail,Buy only if existing fuel hard lines are corroded or missing,Tube OD wall and material|union thread|route length|clip plan,Brake tube sold as fuel without material proof|soft copper|wrong unions|duplicate buy,Chassis fuel hard-line route
P0,PK-RTE-VAC-001,J40-RT-009|J40-RT-024,cooling_system,Reinforced vacuum hose 10 to 12 mm ID x 2 m plus oil-resistant breather hose 16 to 19 mm ID x 1 m,1 set,Longman Mills or local hose supplier,National Rubber Co,https://www.longman.com.pk/automobile-parts/|https://www.nrcpl.com/radiator-hoses-in-pakistan/,buy_now_after_barb_check,Buy only hose that will not collapse under vacuum and will not swell with oil mist,ID proof|hose marking|barb fit|vacuum check,Plain water hose|hose collapses under vacuum|oil-swelling breather hose,Brake booster vacuum and engine breather route
P0,PK-RTE-BRAKE-PIPE-001,J40-RT-015|J40-RT-016,brake_hydraulic,Automotive brake hard-line tube 4.75 mm or 3/16 inch steel or CuNi 7.5 to 10 m plus flare nuts matched to old sample likely M10x1 if confirmed,1 coil plus fittings,SNA Industries or Montgomery Road brake pipe shop,Local brake hydraulic specialist,https://snaindustries.com/,sample_match_before_payment,Buy brake-rated pipe only after flare type and fitting threads are confirmed,Tube marking or supplier written rating|flare nut thread|double or bubble flare proof|sample flare,Plain copper tube|compression fittings|unknown hydraulic tube|wrong flare|wrong thread,Front and rear brake hard-line route
P0,PK-RTE-BRAKE-HOSE-001,J40-RT-015|J40-RT-016,brake_hydraulic,Complete crimped automotive brake flex hoses to old samples: front left front right rear center and any front frame hose if fitted; DOT or SAE J1401 equivalent,3 to 5 assemblies,SNA Industries or Montgomery Road brake hose shop,Local brake hydraulic specialist,https://snaindustries.com/|https://saemobilus.sae.org/standards/j1401_201302-road-vehicle-hydraulic-brake-hose-assemblies-use-nonpetroleum-base-hydraulic-fluids,sample_match_before_payment,Use mechanic-labelled old samples and buy complete crimped assemblies only,Free length|end fitting thread and seat|bracket groove|clip|hose marking|pressure test if available,Generic rubber hose|reused old hose|wrong banjo or flare seat|no crimp rating,Brake flex hose sweep in model
P0,PK-RTE-BRAKE-FLUID-001,J40-RT-015|J40-RT-016,brake_hydraulic,Sealed DOT 3 or DOT 4 brake fluid from trusted brand for full bleed after line replacement,2 L,Autohub or brake parts supplier,Montgomery Road brake shop,,buy_with_brake_line_install,Buy fresh sealed fluid when hydraulic system is ready to close,Sealed bottles|DOT marking|manufacture date if available,Open bottle|unknown fluid|mineral oil|old stock,Brake validation and pressure bleed
P1,PK-RTE-PARK-CABLE-001,J40-RT-017,parking_brake,Rear parking-brake cable set by old sample; Toyota 46410-60092 is only a search reference plus clevis equalizer springs clips and adjuster hardware,1 set,Fine Auto Montgomery Road or NDE parts-on-demand or PakWheels Land Cruiser brake seller,Local cable fabricator,https://fineauto.pk/landcruiser/|https://www.ndestore.com/,sample_match_before_payment,Buy only after old cable and rear drum hardware are labelled and compared,Free length|outer sheath length|end fittings|clevis pin size|equalizer and spring comparison,Generic cable|wrong end fittings|missing clevis clips|seller-led match only,Parking-brake cable and equalizer route
P1,PK-RTE-CONTROL-CABLE-001,J40-RT-024,control_cables,Push-pull control cables for throttle choke fuel-stop or heater controls by old sample with matching knob end clevis and sheath length,2 to 4 as fitted,Local control cable fabricator or Montgomery Road parts market,SNA Industries only if they confirm auto-control-cable channel,https://snaindustries.com/,buy_after_old_controls_identified,Do not buy generic cable until every retained control is identified,Old sample length|inner wire diameter|end fitting|mount thread|full travel test,Too short|stiff cable|wrong knob or clevis|no sheath retention,Throttle choke fuel-stop heater control route
P1,PK-RTE-SPEEDO-001,J40-RT-025,instruments,Speedometer cable matched to J40 cluster end and fitted 5-speed or transfer drive end by old cable sample,1,Fine Auto or NDE parts-on-demand,Local speedometer cable repair shop,https://fineauto.pk/landcruiser/|https://www.ndestore.com/,sample_match_before_payment,Buy only after gearbox transfer drive and cluster thread are confirmed,Old cable length|both end threads|inner cable shape|routing bend radius,Wrong gearbox end|wrong cluster thread|tight bend|cable binds,Speedometer cable route
P0,PK-RTE-BATT-CABLE-001,J40-RT-002|J40-RT-003|J40-RT-004|J40-RT-006|J40-RT-007|J40-RT-008,electrical_power,Flexible fine-strand copper battery and charge cable top-up if on-hand stock is short: red 25 mm2 x 3 m black 25 mm2 x 2 m red 16 mm2 x 3 m red or black 10 mm2 x 3 m plus tinned lugs M6 M8 M10 and adhesive heatshrink,1 top-up set,Montgomery Road electrical market or battery cable shop,Use on-hand AliExpress cable first,,stock_check_then_buy_topup,Physically count received 4 AWG and wire stock before buying more,Stock count|copper not CCA proof|lug hole sizes|crimp tool availability,CCA cable|undersized starter cable|wrong lug holes|unsealed crimp,Heavy battery starter alternator relay and MIDI routes
P0,PK-RTE-MIDI-FUSE-001,J40-RT-004|J40-RT-005,electrical_power,MIDI fuse holder and MIDI fuses for five protected outputs with spare fuses; ratings locked after load calculation,1 holder plus fuses,Use existing MIDI enclosure and holder package first,Montgomery Road electrical supplier,,stock_check_then_buy_missing,Do not buy duplicate holder unless current stock is missing or damaged,Holder count|fuse ratings|cover fit|bus input position|spare fuses,Uncovered live bus|wrong fuse type|no spares|unknown ratings,MIDI fanout and protected output route
P0,PK-RTE-RELAY-FUSE-001,J40-RT-010|J40-RT-011|J40-RT-012|J40-RT-014,electrical_power,12V Bosch-style 30/40A relays with sockets plus mini blade fuse holders for condenser fan blower clutch lights and rear loom branches,1 control set,Use existing relay box first,Montgomery Road electrical market,,stock_check_then_buy_missing,Buy only missing relays sockets terminals and fuse holders after existing relay box audit,Relay rating|socket wire gauge|terminal quality|fuse size by load,Unfused feed|cheap loose terminals|wrong coil voltage|relay without socket,Front lighting A/C blower and rear loom route
P0,PK-RTE-WIRE-001,J40-RT-009|J40-RT-010|J40-RT-011|J40-RT-012|J40-RT-014,electrical_power,Automotive copper wire top-up after stock count: 2.5 mm2 red blue black 10 m each; 1.5 mm2 mixed colours 10 m each; 1.0 mm2 sensor colours as needed; insulated terminals,1 top-up set,Use received wire stock first,Montgomery Road electrical market,,stock_check_then_buy_topup,Buy only colours and sizes missing after route length takeoff,Stock count|copper conductor|temperature rating|terminal style,CCA wire|house wire|all one colour|no labels,Engine front lighting A/C cabin rear body loom routes
P0,PK-RTE-SLEEVE-001,J40-RT-002|J40-RT-003|J40-RT-004|J40-RT-005|J40-RT-006|J40-RT-007|J40-RT-008|J40-RT-009|J40-RT-010|J40-RT-011|J40-RT-012|J40-RT-013|J40-RT-014|J40-RT-024,electrical_power,Braided sleeve split loom and heatshrink: use on-hand 8 10 14 16 20 mm sleeves; buy 12 mm x 10 m and 16 mm x 6 m top-up only if short,1 top-up set,Use on-hand electronicsstore HAQ Electric sleeve first,Montgomery Road electrical market,,stock_check_then_buy_topup,Measure route bundle diameters before top-up,Physical sleeve stock count|bundle OD|heat source check,Duplicate sleeve buy|hard plastic in high heat|undersized sleeve squeezed over bundle,Loom protection for all electrical routes
P0,PK-RTE-PCLIP-001,J40-RT-002|J40-RT-003|J40-RT-004|J40-RT-005|J40-RT-006|J40-RT-007|J40-RT-008|J40-RT-009|J40-RT-010|J40-RT-011|J40-RT-012|J40-RT-013|J40-RT-014|J40-RT-015|J40-RT-016|J40-RT-017|J40-RT-018|J40-RT-020|J40-RT-021|J40-RT-022|J40-RT-023|J40-RT-024|J40-RT-025|J40-RT-026|J40-RT-028,routing_supports,Rubber-lined P-clip assortment with M6 holes: 5 6 8 10 12 16 20 and 25 mm sizes x10 each plus M6 bolts washers and nylocs,1 assortment,Local fastener and hardware market,Montgomery Road or Bilal Ganj hardware,,buy_now_for_mockup,Buy enough to mock route supports but final size by measured OD,Clip ID|rubber lining|M6 hole|zinc or stainless finish,Plain metal clip on hose|too loose|too tight|self-tappers into thin sheet,Named support tabs for route model
P0,PK-RTE-GROMMET-001,J40-RT-013|J40-RT-022|J40-RT-026,bulkhead,EPDM grommet assortment for firewall frame and drain pass-throughs: ID 6 8 10 12 16 20 25 32 mm plus large oval loom grommet if available,1 assortment,Use received grommet set first,Longman or local rubber supplier,https://www.longman.com.pk/automobile-parts/,stock_check_then_buy_missing,Buy only gaps after checking received grommet set,Panel thickness|hole OD|grommet ID and groove|water seal,Wrong plastic bush|loose grommet|hard brittle rubber|sharp edge exposed,Firewall pass-throughs and drain route
P1,PK-RTE-EXHAUST-HANGER-001,J40-RT-027,exhaust,Exhaust rubber hangers bobbins or strap cushions matched to final hanger pins and brackets,as required,Local exhaust fabricator or rubber shop,Longman custom only if no market part fits,https://www.longman.com.pk/automobile-parts/,buy_after_exhaust_mockup,Buy only when exhaust route and hanger pins are final,Pin OD|hole spacing|loaded position|heat clearance,Random hanger stretched tight|rubber too close to pipe|wrong hole size,Exhaust heat and no-foul route
P0,PK-RTE-CLAMPS-001,J40-RT-018|J40-RT-019|J40-RT-023|J40-RT-027,cooling_system,Rolled-edge hose clamp set: 8 to 12 mm fuel clamps 12 to 20 mm vacuum clamps 20 to 32 mm heater clamps 28 to 40 and 32 to 50 mm radiator clamps,1 set,Use received Jubilee assortment first,Local hose and radiator shop,,stock_check_then_buy_missing,Buy only sizes not covered by received clamp stock,Clamp size range|rolled edge|band quality|screw access,Sharp cheap clamp cutting small fuel hose|wrong range|rusted clamps,Hose retention for fuel coolant vacuum and overflow routes
P1,PK-RTE-DRAIN-001,J40-RT-026,drains,A/C condensate drain hose 10 to 12 mm ID x 1 m with firewall or floor grommet and optional duckbill drain end,1,Local A/C shop or hose supplier,Longman or local rubber supplier,https://www.longman.com.pk/automobile-parts/,buy_with_evaporator_mockup,Buy after evaporator drain nipple OD and floor exit are chosen,Nipple OD|fall direction|grommet fit|water pour test,Drain hose rises uphill|drains inside cabin|kinks at floor,Evaporator condensate route
