section_key,section_title,section_description,source_path,caption,specific_component,source_label,notes
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000272-PHOTO-2026-03-15-19-53-30.jpg,Civic engine-bay cleanup sample from WhatsApp 2026-03-15 19:53:30,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000273-PHOTO-2026-03-15-19-53-30.jpg,Civic engine-bay cleanup sample from WhatsApp 2026-03-15 19:53:30,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000274-PHOTO-2026-03-15-19-53-30.jpg,Civic engine component finish sample from WhatsApp 2026-03-15 19:53:30,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000275-PHOTO-2026-03-15-19-53-30.jpg,Civic engine component finish sample from WhatsApp 2026-03-15 19:53:30,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000276-PHOTO-2026-03-15-19-53-31.jpg,Civic engine-bay finish sample from WhatsApp 2026-03-15 19:53:31,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000277-PHOTO-2026-03-15-19-53-31.jpg,Civic engine-bay finish sample from WhatsApp 2026-03-15 19:53:31,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000278-PHOTO-2026-03-15-19-53-31.jpg,Civic engine-bay finish sample from WhatsApp 2026-03-15 19:53:31,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000279-PHOTO-2026-03-15-19-53-32.jpg,Civic engine-bay finish sample from WhatsApp 2026-03-15 19:53:32,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000280-PHOTO-2026-03-15-19-53-32.jpg,Civic engine-bay finish sample from WhatsApp 2026-03-15 19:53:32,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_workshop_engine_samples,WhatsApp Workshop Engine-Bay Samples,Other-build before and after samples from Akber messages showing wiring cleanup and engine-bay finishing,data/raw/imports/akber_khan/00000281-PHOTO-2026-03-15-19-53-32.jpg,Civic engine-bay finish sample from WhatsApp 2026-03-15 19:53:32,engine_bay_workmanship_sample,Akber Khan WhatsApp,Akber described this cluster as Civic before and after images for wiring cleanup and general workmanship.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003159-VIDEO-2026-03-15-19-34-05.mp4,Islamabad FJ restoration stripped tub video from WhatsApp 2026-03-15 19:34:05,fj_restoration_stripped_chassis_reference,Fj40 WhatsApp,Shared immediately before Nuic noted two FJs from 1965 and 1973 were being restored to original spec in Islamabad.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003160-VIDEO-2026-03-15-19-34-05.mp4,Islamabad FJ restoration bodywork video from WhatsApp 2026-03-15 19:34:05,fj_restoration_stripped_chassis_reference,Fj40 WhatsApp,Shared immediately before Nuic noted two FJs from 1965 and 1973 were being restored to original spec in Islamabad.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003161-VIDEO-2026-03-15-19-34-06.mp4,Islamabad FJ restoration detail video from WhatsApp 2026-03-15 19:34:06,fj_restoration_stripped_chassis_reference,Fj40 WhatsApp,Shared immediately before Nuic noted two FJs from 1965 and 1973 were being restored to original spec in Islamabad.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003162-PHOTO-2026-03-15-19-34-06.jpg,Islamabad FJ restoration stripped tub and chassis from WhatsApp 2026-03-15 19:34:06,fj_restoration_stripped_chassis_reference,Fj40 WhatsApp,Shared with the note that two FJs from 1965 and 1973 were being restored to original spec in Islamabad.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003163-VIDEO-2026-03-15-19-34-06.mp4,Islamabad FJ restoration chassis video from WhatsApp 2026-03-15 19:34:06,fj_restoration_stripped_chassis_reference,Fj40 WhatsApp,Shared immediately before Nuic noted two FJs from 1965 and 1973 were being restored to original spec in Islamabad.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003189-PHOTO-2026-03-15-20-38-00.jpg,Original chrome trim and indicator hardware reference from WhatsApp 2026-03-15 20:38:00,fj_restoration_chrome_hardware_reference,Fj40 WhatsApp,Nuic shared this as original chrome and indicator tub restoration reference.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003190-PHOTO-2026-03-15-20-38-00.jpg,Cadmium-plated fastener and latch hardware batch from WhatsApp 2026-03-15 20:38:00,fj_restoration_cadmium_hardware_reference,Fj40 WhatsApp,Nuic described the latches and fasteners as acid-dipped and cadmium finished.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003191-PHOTO-2026-03-15-20-38-01.jpg,Indicator tub rechrome detail from WhatsApp 2026-03-15 20:38:01,fj_restoration_indicator_tub_reference,Fj40 WhatsApp,Reference for refinishing original indicator tubs when replacements are unavailable.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003192-PHOTO-2026-03-15-20-38-01.jpg,Indicator tub rechrome second angle from WhatsApp 2026-03-15 20:38:01,fj_restoration_indicator_tub_reference,Fj40 WhatsApp,Reference for refinishing original indicator tubs when replacements are unavailable.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003193-PHOTO-2026-03-15-20-38-01.jpg,Long chrome trim repair and polish reference from WhatsApp 2026-03-15 20:38:01,fj_restoration_chrome_trim_reference,Fj40 WhatsApp,Part of the original-spec restoration hardware finish discussion.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003194-PHOTO-2026-03-15-20-38-03.jpg,Latch mechanism cadmium finish reference from WhatsApp 2026-03-15 20:38:03,fj_restoration_cadmium_hardware_reference,Fj40 WhatsApp,Nuic described the latches and fasteners as acid-dipped and cadmium finished.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003195-PHOTO-2026-03-15-20-38-04.jpg,Fastener batch cadmium finish reference from WhatsApp 2026-03-15 20:38:04,fj_restoration_cadmium_hardware_reference,Fj40 WhatsApp,Nuic described the latches and fasteners as acid-dipped and cadmium finished.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003196-PHOTO-2026-03-15-20-38-04.jpg,Repainted body panel surface sample from WhatsApp 2026-03-15 20:38:04,fj_restoration_panel_finish_reference,Fj40 WhatsApp,Reference for gloss and panel finish quality on a related FJ restoration.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003198-VIDEO-2026-03-15-20-38-07.mp4,Original-spec hardware finish video from WhatsApp 2026-03-15 20:38:07,fj_restoration_engine_hardware_reference,Fj40 WhatsApp,Video within the original chrome cadmium hardware and component refinish sequence.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003199-PHOTO-2026-03-15-20-38-07.jpg,Restored alternator and plated hardware batch from WhatsApp 2026-03-15 20:38:07,fj_restoration_engine_hardware_reference,Fj40 WhatsApp,Part of the original-spec restoration hardware finish discussion.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003200-PHOTO-2026-03-15-20-38-08.jpg,Hood prop and rod plating reference from WhatsApp 2026-03-15 20:38:08,fj_restoration_cadmium_hardware_reference,Fj40 WhatsApp,Nuic described the latches and fasteners as acid-dipped and cadmium finished.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003201-PHOTO-2026-03-15-20-38-08.jpg,Latch barrel finish detail from WhatsApp 2026-03-15 20:38:08,fj_restoration_latch_hardware_reference,Fj40 WhatsApp,Part of the original-spec restoration hardware finish discussion.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003202-PHOTO-2026-03-15-20-38-08.jpg,Chrome and trim hardware batch from WhatsApp 2026-03-15 20:38:08,fj_restoration_chrome_hardware_reference,Fj40 WhatsApp,Part of the original-spec restoration hardware finish discussion.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003203-PHOTO-2026-03-15-20-38-09.jpg,Chrome trim refinish detail from WhatsApp 2026-03-15 20:38:09,fj_restoration_chrome_trim_reference,Fj40 WhatsApp,Part of the original-spec restoration hardware finish discussion.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003204-PHOTO-2026-03-15-20-38-09.jpg,Chrome handle or trim second angle from WhatsApp 2026-03-15 20:38:09,fj_restoration_chrome_trim_reference,Fj40 WhatsApp,Part of the original-spec restoration hardware finish discussion.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003205-PHOTO-2026-03-15-20-38-10.jpg,Black refinished engine accessory from WhatsApp 2026-03-15 20:38:10,fj_restoration_engine_component_reference,Fj40 WhatsApp,Reference for engine component cleaning and black refinish quality.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003206-PHOTO-2026-03-15-20-38-10.jpg,Black round component refinish detail from WhatsApp 2026-03-15 20:38:10,fj_restoration_engine_component_reference,Fj40 WhatsApp,Reference for engine component cleaning and black refinish quality.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003207-PHOTO-2026-03-15-20-38-11.jpg,Refinished component bench layout from WhatsApp 2026-03-15 20:38:11,fj_restoration_engine_component_reference,Fj40 WhatsApp,Reference for engine component cleaning and black refinish quality.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003208-PHOTO-2026-03-15-20-38-12.jpg,Black steering or column component refinish from WhatsApp 2026-03-15 20:38:12,fj_restoration_engine_component_reference,Fj40 WhatsApp,Reference for component cleaning and black refinish quality.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003209-PHOTO-2026-03-15-20-38-12.jpg,Engine assembly refinish reference from WhatsApp 2026-03-15 20:38:12,fj_restoration_engine_assembly_reference,Fj40 WhatsApp,Reference for engine component cleaning and black refinish quality.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003210-PHOTO-2026-03-15-20-38-13.jpg,Black steering or column component second angle from WhatsApp 2026-03-15 20:38:13,fj_restoration_engine_component_reference,Fj40 WhatsApp,Reference for component cleaning and black refinish quality.
whatsapp_islamabad_fj_restorations,WhatsApp Islamabad FJ Restoration References,Other FJ restorations shared in the Fj40 group for original-spec bodywork and hardware finish reference,data/raw/imports/fj40/00003211-PHOTO-2026-03-15-20-38-13.jpg,Engine assembly refinish second angle from WhatsApp 2026-03-15 20:38:13,fj_restoration_engine_assembly_reference,Fj40 WhatsApp,Reference for engine component cleaning and black refinish quality.
whatsapp_workshop_wiring_floor_samples,WhatsApp Workshop Wiring And Floor Samples,Other-build wiring and floor-rust before-after examples from Akber messages,data/raw/imports/akber_khan/00000287-PHOTO-2026-03-15-19-55-01.jpg,Engine bay before sample from WhatsApp 2026-03-15 19:55:01,engine_bay_before_after_sample,Akber Khan WhatsApp,Sent after Akber noted basic before and after examples.
whatsapp_workshop_wiring_floor_samples,WhatsApp Workshop Wiring And Floor Samples,Other-build wiring and floor-rust before-after examples from Akber messages,data/raw/imports/akber_khan/00000288-PHOTO-2026-03-15-19-55-02.jpg,Engine bay cleanup sample from WhatsApp 2026-03-15 19:55:02,engine_bay_before_after_sample,Akber Khan WhatsApp,Sent after Akber noted basic before and after examples.
whatsapp_workshop_wiring_floor_samples,WhatsApp Workshop Wiring And Floor Samples,Other-build wiring and floor-rust before-after examples from Akber messages,data/raw/imports/akber_khan/00000289-PHOTO-2026-03-15-19-55-02.jpg,Engine bay cleanup after sample from WhatsApp 2026-03-15 19:55:02,engine_bay_before_after_sample,Akber Khan WhatsApp,Sent after Akber noted basic before and after examples.
whatsapp_workshop_wiring_floor_samples,WhatsApp Workshop Wiring And Floor Samples,Other-build wiring and floor-rust before-after examples from Akber messages,data/raw/imports/akber_khan/00000290-PHOTO-2026-03-15-19-55-03.jpg,Engine bay wiring before sample from WhatsApp 2026-03-15 19:55:03,engine_bay_before_after_sample,Akber Khan WhatsApp,Sent after Akber noted basic before and after examples.
whatsapp_workshop_wiring_floor_samples,WhatsApp Workshop Wiring And Floor Samples,Other-build wiring and floor-rust before-after examples from Akber messages,data/raw/imports/akber_khan/00000292-PHOTO-2026-03-15-19-55-55.jpg,Wiring overload caution sample from WhatsApp 2026-03-15 19:55:55,wiring_cleanup_caution_sample,Akber Khan WhatsApp,Sent as a surprise example of previous wiring condition.
whatsapp_workshop_wiring_floor_samples,WhatsApp Workshop Wiring And Floor Samples,Other-build wiring and floor-rust before-after examples from Akber messages,data/raw/imports/akber_khan/00000293-PHOTO-2026-03-15-19-55-55.jpg,Floor rust breakthrough sample from WhatsApp 2026-03-15 19:55:55,floor_rust_caution_sample,Akber Khan WhatsApp,Akber said this was under the accelerator pedal.
whatsapp_workshop_wiring_floor_samples,WhatsApp Workshop Wiring And Floor Samples,Other-build wiring and floor-rust before-after examples from Akber messages,data/raw/imports/akber_khan/00000294-PHOTO-2026-03-15-19-55-55.jpg,Floor pan rust-through sample from WhatsApp 2026-03-15 19:55:55,floor_rust_caution_sample,Akber Khan WhatsApp,Akber said this was under the accelerator pedal.
