entry_id,date,phase,workstream,bucket,category,item,status,amount,currency,amount_status,company,transaction_number,expected_delivery_date,source,evidence_ref,payment_status,delivery_status,procurement_stage,product_link,notes
part_bed_lining,2026-05-03,07_interior_weatherproofing,interior_weatherproofing,parts,bodywork,Bed lining,not_required,,PKR,missing,,,,user_seed|whatsapp_akber|user_update,user_seed|akber_khan-00798|akber_khan-00803|user_update_2026-05-03_remove_duplicate_purchase_items|user_shelf_image_2026-05-02_raptor_liner_visible,not_applicable,not_required,not_required_duplicate_covered_by_raptor_bedliner,,Listed by the user as still needed; chat sequences this after welding/primer and before sound deadening | Closed on 2026-05-03 as a duplicate purchase row: Raptor/bedliner material is already tracked on hand under part_bedliner_sprays; do not buy a separate generic bed-lining item unless a later explicit finish spec reopens it.
part_sound_dampening_sheets,,07_interior_weatherproofing,interior_weatherproofing,parts,interior,Sound dampening sheets,planned,,PKR,missing,,,,user_seed|whatsapp_akber,user_seed|akber_khan-00430|akber_khan-00798|akber_khan-00803,not_paid,not_ordered,deferred_until_body_closed,,"Deferred until body is welded, sealed, and dry. Estimate for useful full-cabin J40 coverage: buy 3.5-4.0 m2 / 38-43 sqft of 3mm butyl/aluminium damping sheet, equivalent to 10 large 460x800mm sheets minimum; use 12 sheets if also covering doors, tailgate, or hardtop side panels. This is not a tub-off buy."
part_foam,,07_interior_weatherproofing,interior_weatherproofing,parts,interior,Foam,planned,,PKR,missing,,,,user_seed|whatsapp_akber,user_seed|akber_khan-00803,not_paid,not_ordered,deferred_until_body_closed,,Listed by the user as still needed; explicit interior finish-stack mention in chat
part_carpet,,07_interior_weatherproofing,interior_weatherproofing,parts,interior,Carpet,planned,,PKR,missing,,,,user_seed|whatsapp_akber,user_seed|akber_khan-00803,not_paid,not_ordered,deferred_until_body_closed,,Listed by the user as still needed; explicit interior finish-stack mention in chat
tool_breaker_bar,2026-05-08,00_site_setup,site_setup,tools,general,"1/2 inch 24 inch breaker bar, heavy duty",received,,PKR,missing,local,,,user_seed|whatsapp_akber|user_update,user_seed|akber_khan-00346|user_update_2026-05-08_breaker_bar_arrived,unknown,received,received,,"Listed by the user as still needed; breaker bar was part of the minimum tool list discussed around steering work | User confirmed on 2026-05-08 that the breaker bar has arrived. Amount/payment proof is still not captured; verify 1/2 inch drive, approximately 24 inch length, and head/pivot condition before using on seized fasteners."
tool_local_toolbench,2026-07-23,00_site_setup,site_setup,tools,workshop_setup,4ft wooden table bench / workbench,received,6539,PKR,confirmed,Daraz / MalikTarders786,246729588080938,2026-07-28,user_update|gmail|bank_alert,user_update_2026-05-04_local_purchase_tools|user_update_2026-07-29_local_made_workbench_arrived|gmail_msg_19f8d1a59e117e52|gmail_msg_19fa7e723dd350c7|gmail_order_246729588080938|bank_alert_20260723_daraz_6539,paid,received,received,,"Later J40 Gmail reconciliation identifies the locally made bench as Daraz order 246729588080938 from seller MalikTarders786: 4ft Wooden Table Bench x1, item PKR 6099 plus PKR 430 shipping and PKR 10 platform fee, total PKR 6539 paid by credit/debit card. Daraz confirmed delivery on 2026-07-28; the user reported its arrival on 2026-07-29. This closes the separate workbench purchase requirement. Before mounting the vice or drill press, confirm the bench is stable and level and provides sound bolt-down points."
tool_local_bench_drill,2026-05-04,00_site_setup,site_setup,tools,power_tool,Total TDP133501 Drill Press - 350W - 13mm,received,,PKR,missing,Total / seller not captured,,,user_update|gmail,user_update_2026-05-04_total_tdp133501_drill_press_order|user_update_2026-05-12_drill_press_arrived,paid,received,received,,"User reported paid order 2026-05-04: Total TDP133501 Drill Press, 350W, 13 mm, quantity 1. Amount, seller, order number, and delivery ETA not yet captured. Receipt check must confirm straight spindle/no visible wobble, locking table, depth stop, and safe 220-240 V power before use. | Gmail recheck 2026-05-12 found no matching TDP133501 / drill-press receipt, shipment, or delivery email; keep pending and use seller/order details from user if available. | User confirmed on 2026-05-12 that the drill press has arrived. Receipt/use check: confirm straight spindle/no visible wobble, locking table, depth stop, chuck/key, power lead/earth, and safe 220-240 V operation before use."
tool_local_bench_vice,2026-05-04,00_site_setup,site_setup,tools,vice,Bench vice / workshop vice,received,14970,PKR,confirmed,ToolsMart.pk,TM25550,,user_update|gmail,user_update_2026-05-04_bench_vice_ordered|gmail_msg_19df40dbc5116bb3|gmail_order_TM25550|user_update_2026-05-12_bench_vice_arrived,unknown,received,received,,"User reported the bench vice is now ordered on 2026-05-04. Amount, seller, order number, and delivery ETA are not yet captured. Receipt check must confirm bolt-down mounting lugs, 100-150 mm jaws, smooth screw action, uncracked casting, and clean/replaceable jaws before installation on the workbench. | ToolsMart order TM25550 confirmed on 2026-05-04 includes Harden 4 inch Heavy Duty Table Vice 100mm / 9 Kg x1 at PKR 14970. Receipt check must confirm bolt-down lugs, 100 mm jaws, smooth screw action, uncracked casting, and clean jaws before mounting. | Gmail recheck on 2026-05-08 found only the ToolsMart TM25550 confirmation and no shipment or delivery email; keep pending. Payment is still not proven by Gmail alone. | Gmail recheck 2026-05-12 found only ToolsMart order TM25550 confirmation and no shipment or delivery email; keep pending delivery. | User confirmed on 2026-05-12 that the bench vice has arrived. Receipt/use check: confirm bolt-down lugs, 100 mm jaws, smooth screw action, no cracked casting, clean jaw faces, and secure mounting before use."
part_ironman_foamcell_suspension_kit,2026-05-01,06_steering_brakes_suspension,steering_brakes_suspension,parts,suspension,Ironman Foamcell suspension kit - main shipment (front dampers separate),received,575000,PKR,confirmed,Ironman 4x4 supplier,,,user_update|parts_list_image,user_update_2026-05-01_ironman_foamcell_order|image_2026-05-01_ironman_foamcell_parts_list|user_update_2026-05-08_ironman_main_kit_arrived_front_dampers_pending,unknown,received,received,,"User update 2026-05-01: Ironman Foamcell suspension kit ordered from attached parts list; PKR 600000 less PKR 25000 discount = PKR 575000 total. User confirmed on 2026-05-08 that the main suspension kit has arrived minus the separate front damper pair. Treat the main shipment as received, but do not close suspension procurement or start final installation until the separate 24635FE front damper pair is also physically received. Receipt check main shipment against expected kit contents: 24636FE rear dampers, TOY001B front springs, TOY002B rear springs, 415UBK U-bolt kits, 713UK bush kit, 343LH/343RH shackles, 3523 steering damper, 346 pins/shackles as applicable, hardware, labels, and transit damage."
part_ironman_front_dampers_separate_shipment,2026-05-01,06_steering_brakes_suspension,steering_brakes_suspension,parts,suspension,Ironman Foamcell front damper pair - separate shipment (24635FE x2),ordered,,PKR,missing,Ironman 4x4 supplier,,,user_update|parts_list_image|ironman_reference|gmail,user_update_2026-05-01_front_dampers_separate_shipment|image_2026-05-01_ironman_foamcell_parts_list|ironman_24635FE_front_reference|user_update_2026-05-08_ironman_main_kit_arrived_front_dampers_pending,unknown,pending_delivery,ordered_pending_delivery,,"Separate shipment tracker for the Ironman 24635FE front damper pair x2. User confirmed on 2026-05-08 that the main suspension kit has arrived without this front damper pair, so this row remains pending delivery. Amount is included in the main Ironman kit total to avoid double-counting. Verify 24635FE x2, bushes, washers, sleeves/spacers, labels, and body/eye clearance on receipt before closing suspension procurement or final installation. | Gmail recheck 2026-05-12 found no matching Ironman / 24635FE / front-damper shipment or delivery email; keep the separate 24635FE front damper pair pending."
part_suspension_wooden_cribbing_blocks,2026-05-04,06_steering_brakes_suspension,steering_brakes_suspension,parts,suspension_support,Seasoned hardwood cribbing cut set - 8 blocks + 4 wedge chocks,received,,PKR,missing,local timber / wood merchant,,,user_update|merchant_spec|fabrication_pack|gmail,user_update_2026-05-02_suspension_wooden_blocks|user_update_2026-05-04_wood_parts_ordered|data/manual/suspension_wood_cribbing_order_specs.csv|docs/suspension-wood-cribbing-merchant-spec.md|data/manual/fabrication/suspension_wood_cribbing_rev_a/README.md|data/manual/fabrication/suspension_wood_cribbing_rev_a/j40_suspension_wood_cribbing_rev_a_dimension_sheet.pdf|user_update_2026-05-17_wooden_blocks_received,not_paid,received,received,,"Timber merchant ask: 8 dry hardwood blocks 300 x 150 x 75 mm plus 4 dry hardwood wedges 200 x 100 mm with 75 mm rear and 25 mm nose. Reject wet/soft/board material, cracks, rocking faces, and feather-edge wedges. Supplemental only; use with rated stands. User update 2026-05-04: wood set ordered; merchant name, wood type, price, expected pickup/delivery date, and receipt/photos still need capture. | Gmail recheck 2026-05-12 found no matching hardwood cribbing / wedge chock receipt, shipment, or delivery email before the 2026-05-17 received update. | User update 2026-05-17: wooden cribbing blocks and wedge chocks marked received; price/payment, merchant name, wood type, receipt, and received-condition photos still need capture."
part_power_steering_upgrade,2026-07-19,06_steering_brakes_suspension,eps_vitz_upgrade,parts,steering,"Complete RHD J60/HJ60 hydraulic steering set plus Toyota 2H pump-drive package",researching,,PKR,missing,"Land Cruiser specialist / J60 breaker / hydraulic steering rebuilder",,,user_direction|engineering_plan,docs/j60-hydraulic-power-steering-conversion-plan-20260719.md|docs/chassis-welder-steering-turbo-component-first-instruction-20260719.md,not_paid,not_ordered,complete_set_identity_and_trial_fit_hold,,"Approved route supersedes the earlier Vitz/Yaris EPS plan. Quote a complete identified RHD J60/HJ60 box, matched pitman, collapsible shaft/couplers and drag-link parts together with a 2H-compatible pump, brackets, pulley, reservoir and fitting references. Inspect/rebuild before vehicle trial fit. Do not release chassis drilling, welding, adapter plates or final hoses until the complete package is physically proven; steering geometry is fixed before turbo hot-side fabrication."
part_body_mount_rubber_kit,,03_body_chassis,chassis_rubbers,parts,body_mounts,Consolidated Longman chassis/body custom rubber order,fabrication_controlled,,PKR,missing,,,,user_plan_update|docs_longman_rubber_order_spec|data_longman_rubber_order_specs|data_body_mount_order_release_specs,user_plan_2026-04-22_tub_off_update|docs_tub-off-refit-execution-plan|docs/longman-rubber-order-spec-20260508.md|data/manual/longman_rubber_order_specs.csv|docs/chassis-rubbers-workstream.md|data/manual/body_mount_order_release_specs.csv|data/manual/body_mount_release_actions.csv,not_applicable,not_required,not_required_under_fabrication,,"Single consolidated Longman custom rubber order, presented as 3 supplier-facing things: 1) simple 80 x 80 body pads - one 80 x 80 x 24 size, 30 pieces total; smaller 22 mm body-rubber line removed; 2) front support/body-support rubbers - FS-OVAL x2, FS-STRIP-L x1, FS-STRIP-R x1; 3) bump stops - BUMP-60010-LONG x3 and BUMP-60020-SHORT x1. Extra body pads are dry-fit stacking allowance only where a station proves two simple 80 x 80 pads are needed. Steel cup/seat washers, sleeves, shims, bolts, and captive-thread repairs remain separate local hardware rows; BODY-LINER-FULL-WIDTH-HOLD and EXH-HGR-90917 are hold/reference lines only, not current order quantities. | User direction 2026-05-29: item is controlled under fabrication/handoff, so remove from active ordering and procurement decision flow; keep fabrication spec/handoff record as source of truth."
part_body_mount_hardware_kit,,03_body_chassis,body_chassis,parts,body_mounts,Body mount hardware kit bolts sleeves washers,spec_ready,,PKR,missing,,,,user_plan_update|docs_tub_off_refit|data_body_mount_order_release_specs,user_plan_2026-04-22_tub_off_update|docs_tub-off-refit-execution-plan|data/manual/body_mount_order_release_specs.csv|data/manual/body_mount_release_actions.csv,not_paid,not_ordered,spec_ready_release_hold,,"Spec ready via body_mount_order_release_specs.csv: Toyota 90560-12009 style body-mount sleeves x6, length 48.1mm, local-copy ID 10.8-11.0mm for M10, OD copied from old/OE sleeve; cup/seat washers 14; M10x1.25 class 8.8 minimum trial bolts 70/80/90/100mm x4 each; nuts/washers repair pack with all-metal nuts x12, nyloc x12, flat washers x40, spring washers x20, M10x1.25 weld nuts x4, and 3mm repair tabs x4. M12 front-support pack remains hold until measured. Millat orders cover generic M10/M12 bolt/nut/washer stock only; final body-mount sleeve/cup/length selection remains release-held."
part_body_mount_shim_pack,,03_body_chassis,body_chassis,parts,body_mounts,Body mount shim and spacer pack,spec_ready,,PKR,missing,,,,user_plan_update|docs_tub_off_refit|data_body_mount_order_release_specs,user_plan_2026-04-22_tub_off_update|docs_tub-off-refit-execution-plan|data/manual/body_mount_order_release_specs.csv|data/manual/body_mount_release_actions.csv,not_paid,not_ordered,spec_ready_release_hold,,"Track under body-mount rubbers/rubber ordering, not generic fastener buy. Spec ready: thin slotted steel shims 1/2/3/5mm x12 each plus thick control spacers 5/10/15mm x4 each; preserve originals by station and release after body station height measurement."
