component_group,specific_component,component_job_ids,photo_count,video_count,date_range,stage_counts,example_files,model_groups,model_part_count,model_part_examples,model_confidence_mix,digital_twin_readiness,measurement_priority,job_status,job_action,job_match_basis,reconciliation_status
body_exterior,wing_mirror_set,,1,0,2026-04-12,hardware_refinish:1,20260412_223539.jpg,body,12,left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_door_mirror_head|left_front_fender|left_front_fender_sloped_outer_skin|left_mirror_arm,L3 exterior material reference:8|L2 visible-detail primitive:2|L0 envelope:1|L4 gallery-shaped surface:1,represented_needs_measurement_refinement,P1,,,,
body_exterior,wing_removal_and_body_lift_prep,front_wings,35,5,2026-04-19 to 2026-04-21,stripdown_cataloguing:35,20260419_190643_gp_UM5SilTQ.jpg|20260419_190654_gp_1EaxkrUA.jpg|20260419_190707_gp_WCc87lEg.jpg|20260419_190736_gp_ymvXBmNA.jpg|20260419_190741_gp_C3FddI9g.jpg|20260419_190749_gp_AtrQSXHA.jpg|20260419_190806_gp_9yVHtwgA.jpg|20260419_195946_gp_9VNxVqNA.jpg,body,12,left_door_hinge_pin_cap_1|left_door_hinge_pin_cap_2|left_door_hinge_pin_cap_3|left_door_hinge_pin_cap_4|left_front_fender|left_front_fender_sloped_outer_skin|right_door_hinge_pin_cap_1|right_door_hinge_pin_cap_2,L3 exterior material reference:8|L0 envelope:2|L4 gallery-shaped surface:2,represented_needs_measurement_refinement,P1,sent_to_painter,Front wings are at paint/bodywork; track painter progress return condition fit lines and mounting edge readiness before refit,indirect,direct_photo_evidence
body_floor,body_off_shell_floor_and_bulkhead,,16,0,2026-04-22,rust_assessment:16,20260422_004449_gp_ZzlGoYsQ.jpg|20260422_004449_gp_ZzlGoYsQ_2.jpg|20260422_004513_gp_bgO24J2g.jpg|20260422_004513_gp_bgO24J2g_2.jpg|20260422_004523_gp_p13iAnmw.jpg|20260422_004523_gp_p13iAnmw_2.jpg|20260422_004536_gp_AAvm6QRQ.jpg|20260422_004536_gp_AAvm6QRQ_2.jpg,body,12,floor_cross_pressing_1|floor_cross_pressing_2|floor_cross_pressing_3|floor_cross_pressing_4|floor_cross_pressing_5|floor_cross_pressing_6|floor_pan|rear_floor_longitudinal_rib_1,L2 panel rib reference:11|L0 envelope:1,represented_needs_measurement_refinement,P1,,,,
body_floor,floor_pan_rust_zones,floor_pan|tub_rust_damage_survey_20260517|eps_vitz_column_layout_measurement|eps_general_adapter_design_fabrication|eps_vitz_support_bracket_design,35,0,2026-04-13 to 2026-05-17,rust_assessment:35,20260413_005435.jpg|20260413_005437_gp_84WzM92A.jpg|20260413_005516.jpg|20260413_005520_gp_cPf1PDAg.jpg|20260413_005523.jpg|20260413_005526_gp_ZYnYrDDg.jpg|20260413_005529.jpg|20260413_005531_gp_5VurJvdg.jpg,body,12,floor_pan|floor_cross_pressing_1|floor_cross_pressing_2|floor_cross_pressing_3|floor_cross_pressing_4|floor_cross_pressing_5|floor_cross_pressing_6|rear_floor_longitudinal_rib_1,L2 panel rib reference:11|L0 envelope:1,represented_needs_measurement_refinement,P1,rust_damage_photo_intake_added|photo_intake_added|planning_required|design_required,"Inspect May 17 tub/floor rust photos by zone, probe for pinholes/thin metal, then grind/cut/fab/weld and prime immediately after each released repair.|Map each May 17 rust-damaged tub photo to LH/RH station and repair type, probe for pinholes/thin metal, inspect backside access, then release cut/fab/weld cards before primer, seam sealer, or paint closure.|Measure and photograph the J40 steering wheel position upper column angle dash support pedal clearance firewall pass-through steering-box input line donor EPS motor envelope shaft lengths controller envelope and General EPS Adapter datum points before any cutting|Design dry-fit and fabricate the removable General EPS Adapter with vehicle-side datum plate firewall doubler/spreader EPS saddle or clamp clocking/spacer plates replaceable upper/lower shaft interfaces and serviceable controller/fastener access|Design and dry-fit the General EPS Adapter support cradle as a triangulated dash/cowl/firewall structure with spreader or doubler plates where needed so motor torque is not carried by thin dash sheet metal",direct|indirect,direct_photo_evidence
body_floor,floor_seam_and_body_mount_rust,floor_pan|tub_rust_damage_survey_20260517|tub_corner_hinge_pin_repair_20260517|tub_refit_rubber_hardware_shim_stack,3,0,2026-04-05 to 2026-05-17,rust_assessment:3,20260405_234652.jpg|20260517_195406_gp_req8G3Bg.jpg|20260517_195430_gp_VGGpRFOQ.jpg,body,12,floor_cross_pressing_1|floor_cross_pressing_2|floor_cross_pressing_3|floor_cross_pressing_4|floor_cross_pressing_5|floor_cross_pressing_6|floor_pan|left_front_clip_to_tub_join_line,L2 panel rib reference:6|L4 service-reference detail:3|L0 envelope:1|L4 online-reference detail:1|L3 exterior material reference:1,represented_needs_measurement_refinement,P1,rust_damage_photo_intake_added|photo_intake_added|flat_rubber_measurement_photos_added,"Inspect May 17 tub/floor rust photos by zone, probe for pinholes/thin metal, then grind/cut/fab/weld and prime immediately after each released repair.|Map each May 17 rust-damaged tub photo to LH/RH station and repair type, probe for pinholes/thin metal, inspect backside access, then release cut/fab/weld cards before primer, seam sealer, or paint closure.|Sort the affected tub/body corner and hinge-pin area: label side/location, document where the hinge pin had to be cut off, inspect captive/thread/backside condition, decide whether hinge plate or corner metal needs patch fabrication, and release weld/repair before primer or paint.|Use the reduced chassis-rubbers fabricator spec for quote/first article, then lock the main-tub rubber kit, separate front-support pair, hardware grade, sleeves, and shim stack by trial fit before final tub fastening",direct|indirect,direct_photo_evidence
body_floor,rear_cargo_floor,back_cabin|interior|floor_pan|tub_rust_damage_survey_20260517|rear_fuel_tank,2,0,2026-03-23 to 2026-04-13,stripdown_cataloguing:2,20260323_202016.jpg|20260413_040659.jpg,body,12,floor_cross_pressing_1|floor_cross_pressing_2|floor_cross_pressing_3|floor_cross_pressing_4|floor_cross_pressing_5|floor_cross_pressing_6|floor_pan|rear_floor_longitudinal_rib_1,L2 panel rib reference:11|L0 envelope:1,represented_needs_measurement_refinement,P1,planned_send_out|planned_strip|rust_damage_photo_intake_added|photo_intake_added|removed_stored,"Remove and send out as a separable body section|Pull most of the interior and store under tagged covered conditions|Inspect May 17 tub/floor rust photos by zone, probe for pinholes/thin metal, then grind/cut/fab/weld and prime immediately after each released repair.|Map each May 17 rust-damaged tub photo to LH/RH station and repair type, probe for pinholes/thin metal, inspect backside access, then release cut/fab/weld cards before primer, seam sealer, or paint closure.|Keep tank out during body-off lift and welding; inspect tank bay and lines before refit",direct|indirect,direct_photo_evidence
brake_system,front_sumitomo_disc_caliper_and_rotor_baseline,brake_system_evidence_pack|front_brake_disc_baseline,4,0,2026-05-29,brake_system_identification:4,20260529_183947_gp_lSYuESVg.jpg|20260529_183959_gp_MlRssDVA.jpg|20260529_184010_gp_3htpDpPQ.jpg|20260529_184012_gp_Q01c08NA.jpg,brake_system,12,front_left_sumitomo_disc_caliper_body|front_right_sumitomo_disc_caliper_body|front_left_disc_caliper_bridge|front_left_vented_disc_rotor|front_right_disc_caliper_bridge|front_right_vented_disc_rotor|front_left_caliper_bleeder_screw|front_left_flex_hose_to_caliper,project-photo evidence:10|L2 routing reference:1|L3 specific item reference:1,represented_needs_dimension_check,P3,replacement_evidence_added|sumitomo_front_disc_identified_measurement_pending,"Consolidate brake configuration evidence from photos, chat, and parts tables; keep the front-disc/rear-drum assessment explicit, and treat the May 29 removed booster/servo evidence as owner-confirmed replacement scope for old brake parts.|Use the May 29 closeups as the fitted front-disc baseline: visible Sumitomo fixed calipers with external bridge/transfer pipes, dust shields, visible rotors, and short hard-line/flex-hose routing; replace pads/hardware and front hoses, and rebuild/replace calipers only after pad shape, piston count/diameter, mounting ears, hose/fitting threads, and rotor measurements are captured.",direct,direct_photo_evidence
chassis_underside,body_mount_and_crossmember_detail,body_mount_points_and_captive_nuts|issue_crossmember_end_thinning_check|issue_body_mount_captive_thread_repair|tub_refit_rubber_hardware_shim_stack,1,0,2026-04-05,underside_inspection:1,20260405_234546.jpg,chassis,12,cab_body_mount_rubber_puck_1|cab_body_mount_rubber_puck_2|cab_body_mount_rubber_puck_3|cab_body_mount_rubber_puck_4|cab_body_mount_rubber_puck_5|cab_body_mount_rubber_puck_6|cab_body_mount_rubber_puck_7|cab_body_mount_rubber_puck_8,L4 service-reference detail:12,represented_needs_dimension_check,P3,inspection_pending|pending_work|flat_rubber_measurement_photos_added,"Inspect every body-mount pedestal and captive thread, chase/repair threads and sleeves, and define shim plan before tub refit|Gauge crossmember end-wall thickness and edge corrosion; patch/box-end only where metal loss exceeds safe section|Inspect all body-mount pedestals and captive threads; chase/repair threads, replace damaged sleeves, and define shim pack before refit|Use the reduced chassis-rubbers fabricator spec for quote/first article, then lock the main-tub rubber kit, separate front-support pair, hardware grade, sleeves, and shim stack by trial fit before final tub fastening",direct,direct_photo_evidence
chassis_underside,brake_hard_line_flare_sample,,1,0,2026-05-14,brake_system:1,20260514_111300_user_brake_flare_side_view.png,as_fitted_routes|brake_system|fuel_system,12,front_hard_line_right_frame_run|rear_axle_brake_line|rear_hard_line_right_frame_run|proportioning_bypass_valve_body|fuel_line_frame_run|j40_rt_015_front_brake_hard_lines_and_flex_hoses_front_brake_flex_sweep_left|j40_rt_015_front_brake_hard_lines_and_flex_hoses_front_brake_flex_sweep_right|j40_rt_015_front_brake_hard_lines_and_flex_hoses_front_brake_master_to_crossmember,L2 routing reference:4|L1 as-fitted route scope:4|project-photo evidence:3|L4 service-reference detail:1,represented_needs_measurement_refinement,P1,,,,
chassis_underside,engine_bay_chassis_interface,chassis_missing_welded_bracket_survey_20260508|chassis_bracket_analysis_register_20260508|chassis_bracket_design_release_20260508|chassis_bracket_fabrication_install_20260508|chassis_bracket_validation_release_20260508|front_radiator_bracket_repair_20260508|front_radiator_two_side_retention_fabrication_20260508|battery_tray_holder_bracket_repair_20260508|battery_power_carrier_mount_fabrication_20260508|engine_bay_mounting_scouting_pass_20260508|auxiliary_chassis_tabs_and_clip_brackets_20260508|exhaust_mockup_brackets_before_coating_20260508,6,0,2026-04-22,underside_inspection:6,20260422_004347_gp_WIy0j6zw.jpg|20260422_004347_gp_WIy0j6zw_2.jpg|20260422_004356_gp_vTFgPfAQ.jpg|20260422_004356_gp_vTFgPfAQ_2.jpg|20260422_004412_gp_OclpaTdg.jpg|20260422_004412_gp_OclpaTdg_2.jpg,chassis,12,cab_body_mount_rubber_puck_1|cab_body_mount_rubber_puck_2|cab_body_mount_rubber_puck_3|cab_body_mount_rubber_puck_4|cab_body_mount_rubber_puck_5|cab_body_mount_rubber_puck_6|cab_body_mount_rubber_puck_7|cab_body_mount_rubber_puck_8,L4 service-reference detail:12,visual_reference_modelled,P2,pre_coating_hold|register_seeded_open|design_required|implementation_required|validation_required|existing_measurements_imported_dry_fit_required|battery_and_tray_measurements_imported|actual_battery_and_mount_measurements_imported|radiator_and_battery_measurements_imported_mount_template_required|coordination_hold,"Before primer/Raptor, survey chassis and tub-side welded brackets/tabs against current photos, loose parts, and visible wire-tied fixes; mark each missing, broken, non-baseline, or required auxiliary bracket and decide weld/bolt/no-refit for each|Maintain the bracket register from current chassis walkaround, existing body-off photos, loose removed parts, and WhatsApp notes; assign station, function, evidence photo, keep/repair/fabricate/remove/unknown status, and whether each item blocks primer/Raptor|For every repair/fabricate bracket, create a release sketch or card template with material thickness, bend shape, hole/stud size, location datum, weld/bolt method, clearance envelope, and corrosion/coating access plan|Fabricate, repair, weld, or properly bolt only released baseline brackets; trial-fit each supported part, grind/deburr welds, clean heat-affected areas, and keep threads/ground faces serviceable before primer/Raptor|Validate installed brackets with labelled photos and dry-fit checks for radiator/support rubbers, battery tray/clamp, brake/fuel line clips, harness clips, earth straps, exhaust hanger/mock-up points, bonnet/fan/steering/suspension clearance, and coating access|Replace the wire-held/one-sided radiator support condition with a two-side controlled retention setup; trial-fit radiator isolators/rubbers and fan clearance, then fit the released bolt-through saddle/post bracket before primer/Raptor|Release a serviceable right-side radiator retention bracket from the existing-side measured template: one 4 mm mild-steel formed-angle post with a 48 mm measured main face, 410 mm upright/post height, 618 mm developed main-face template length, perpendicular return flange, full-depth 58 mm top screw return carried back to the far edge of the angle section, 70 mm chassis bridge allowance, 80 mm far-side saddle leg, clean near/far lower legs with no side ears over both sides of the chassis/front-support section, a through-bolt across both legs and chassis, and a top return carrying the radiator screw. Preserve fan/shroud/hose clearance and use rubber washer/bush isolation at the screw as required.|Upgrade the weak battery tray/holder support rather than simply refitting the old mount; confirm battery size, tray support legs, clamp path, cable/bonnet/engine clearance, drain/corrosion isolation, and final weld/bolt method before primer/Raptor|Fabricate/mock up the compact chassis-mounted battery power carrier Rev F only after mapping the battery cavity: use the May 17 actual installed Daewoo DLS120 battery measurement photos as the fixed exclusion block, keep the standard N70/27-class 318 x 180 x 230 envelope as fallback comparison until the final numbers are transcribed, measure front/radiator-side, inboard engine/LHD-steering-side, lower-under-tray, outboard-wing-side, bonnet/terminal-height volumes, battery lift-out path, formed chassis saddle geometry, and adjustable body-side offset-bar setting. Trial the widened front access-ladder stack: 660 x 310 spine, 340 x 265 battery tray with removable hold-down, adjustable offset bars at 160 / 190 / 230 mm, Relay Rev D vertical 360 x 245 aluminium base attached flat to the main metal service sheet with exact 300 x 197 insulating sheet and the existing covered relay box outside the battery footprint on the outboard/access edge with about 80 mm relay-to-battery service gap, red relay power pipe entering the relay top hole closest to the battery, relay output power bundle leaving the second top relay hole, MIDI Rev D hinged enclosure 210 x 165 x 65 on a separated top-front shelf started from the battery leading-edge datum with fuse 4 grommeted power input, five grommeted output holes, and the far-side output enlarged for two power cables, folded cutoff/kill-switch base/guard 170 x 110 finished face / 210 x 150 flat pattern / 20 mm upward lips beside the MIDI enclosure, central battery-to-far-side-cutoff input route, near-side cutoff-to-relay and cutoff-to-MIDI fuse 4 switched branch routes, 80 mm cable gutter, and cable-lug depth templates. May 14 image-based chassis estimate: start with tray underside 180 mm above chassis rail top, adjustable 150-210 mm; tray centre 190 mm wing-side/outboard from the more central chassis pickup centreline into the edge cavity, adjustable 160-230 mm via offset bars. The active design keeps relay/MIDI/cutoff off the inboard engine/LHD side unless the widened access-ladder mock-up fails by measurement.|Capture close-up/ruler photos for radiator side mounts, previous wire support path, battery tray top/side/underside supports, battery dimensions/terminal orientation, proposed MIDI/cutoff cardboard mock-up, cable exits, bonnet clearance, and the May 12 candidate upright/lower/inner pickup zones; use results to release the radiator and battery/power carrier templates|Create a station-by-station list for auxiliary tabs and clip brackets: brake/fuel line clips, harness P-clips, earth straps, exhaust hanger points, washer/overflow/ancillary supports, and any non-OEM wire-tied additions; weld/replace only required baseline tabs before coating|Send current body-off/chassis photos to the exhaust fabricator; decide whether to mock up headers, downpipes, dual exhaust routing, and hanger tabs while access is open, then remove parts and finish any chassis hanger/bracket welding before final chassis coating",indirect,direct_photo_evidence|indirect_photo_evidence_only
chassis_underside,frame_and_mount_points,chassis_frame_and_crossmembers|body_mount_points_and_captive_nuts|issue_steering_box_mount_crack_check|issue_front_spring_hanger_crack_check|issue_crossmember_end_thinning_check|issue_body_mount_captive_thread_repair|brake_system_evidence_pack|front_brake_disc_baseline|suspension_upgrade_fitment_and_alignment|tub_refit_rubber_hardware_shim_stack,9,0,2026-04-05 to 2026-04-23,underside_inspection:9,20260405_234542_gp_hucEa1CQ.jpg|20260405_234547_gp_3iX5cWQQ.jpg|20260405_234654_gp_P3KYxxIA.jpg|20260405_234802.jpg|20260405_234812_gp_twNBeWvQ.jpg|20260405_234839.jpg|20260405_234840_gp_IoFfvLNw.jpg|20260423_232202_gp_ryYH6xZg.jpg,chassis,12,steering_box_right_frame_mount_plate|cab_body_mount_rubber_puck_1|cab_body_mount_rubber_puck_2|cab_body_mount_rubber_puck_3|cab_body_mount_rubber_puck_4|cab_body_mount_rubber_puck_5|cab_body_mount_rubber_puck_6|cab_body_mount_rubber_puck_7,L4 service-reference detail:11|L2 bracket reference:1,represented_needs_dimension_check,P2,in_progress|inspection_pending|pending_work|replacement_evidence_added|sumitomo_front_disc_identified_measurement_pending|queued|flat_rubber_measurement_photos_added,"Degrease/wash frame, wire-brush to clean metal, inspect rails crossmembers spring hangers and steering-box area for cracks/pitting, then rust-treat remaining pits, solvent-wipe, zinc-rich epoxy-prime, seam-seal/top-protect, and cavity-wax approved zones|Inspect every body-mount pedestal and captive thread, chase/repair threads and sleeves, and define shim plan before tub refit|Clean to bare metal and crack-check steering box mount plus nearby hanger weld toes; mark for plate-reinforcement if crack or elongation is found|Inspect front spring hanger/shackle areas for crack lines, ovalized holes, and bracket deformation after cleanup|Gauge crossmember end-wall thickness and edge corrosion; patch/box-end only where metal loss exceeds safe section|Inspect all body-mount pedestals and captive threads; chase/repair threads, replace damaged sleeves, and define shim pack before refit|Consolidate brake configuration evidence from photos, chat, and parts tables; keep the front-disc/rear-drum assessment explicit, and treat the May 29 removed booster/servo evidence as owner-confirmed replacement scope for old brake parts.|Use the May 29 closeups as the fitted front-disc baseline: visible Sumitomo fixed calipers with external bridge/transfer pipes, dust shields, visible rotors, and short hard-line/flex-hose routing; replace pads/hardware and front hoses, and rebuild/replace calipers only after pad shape, piston count/diameter, mounting ears, hose/fitting threads, and rotor measurements are captured.|Install Ironman foam cell medium suspension kit, torque-check all pivots under load, and complete alignment/road-validation cycle|Use the reduced chassis-rubbers fabricator spec for quote/first article, then lock the main-tub rubber kit, separate front-support pair, hardware grade, sleeves, and shim stack by trial fit before final tub fastening",direct|indirect,direct_photo_evidence
