route_id,system,route_name,model_level_target,coverage_status,model_part_count,model_part_names,purchase_bom_count,purchase_bom_ids,geometry_to_capture,clearance_checks,release_gate,scope_status
J40-RT-011,ac_electrical,compressor_clutch_pressure_switch_condenser_fan_branch,L3,represented_in_generator,1,j40_rt_011_compressor_clutch_pressure_switch_condenser_fan_branch_compressor_pressure_fan_branch,6,PK-RTE-FAN-001|PK-RTE-SWITCH-001|PK-RTE-RELAY-FUSE-001|PK-RTE-WIRE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,compressor_clutch_feed_pressure_switch_fan_relay_output_and_earth_routes,belt_pulley_condenser_fan_radiator_heat_and_service_clearance,pressure_switch_and_fan_relay_logic_verified_before_charge,scope_added_needs_capture
J40-RT-012,cabin_hvac,under_dash_evaporator_blower_controls_feed,L2,represented_in_generator,1,j40_rt_012_under_dash_evaporator_blower_controls_feed_under_dash_evaporator_feed,5,PK-RTE-EVAP-001|PK-RTE-RELAY-FUSE-001|PK-RTE-WIRE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,blower_feed_control_panel_thermostat_sensor_and_drain_hose_paths,pedal_column_dash_service_and_condensate_fall_clearance,evaporator_mocked_under_dash_with_drain_exit_confirmed,scope_added_needs_capture
J40-RT-013,bulkhead,firewall_main_pass_throughs,L3,represented_in_generator,1,j40_rt_013_firewall_main_pass_throughs_main_firewall_pass_through_band,4,PK-RTE-AC-FIREWALL-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001|PK-RTE-GROMMET-001,all_holes_grommets_bulkheads_pass_throughs_and_edge_protection,water_ingress_heat_pedal_column_and_service_clearance,every_pass_through_named_before_final_paint_or_seal,scope_added_needs_capture
J40-RT-014,rear_body,rear_body_tail_fuel_sender_loom,L2,represented_in_generator,1,j40_rt_014_rear_body_tail_fuel_sender_loom_rear_body_tail_fuel_sender_loom,4,PK-RTE-RELAY-FUSE-001|PK-RTE-WIRE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,rear_lamp_number_plate_fuel_sender_and_body_to_chassis_flex_paths,suspension_tank_exhaust_body_lift_and_chafe_clearance,tail_lamp_and_sender_continuity_test_after_route_capture,scope_added_needs_capture
J40-RT-015,brake_hydraulic,front_brake_hard_lines_and_flex_hoses,L3,represented_in_generator,3,j40_rt_015_front_brake_hard_lines_and_flex_hoses_front_brake_master_to_crossmember|j40_rt_015_front_brake_hard_lines_and_flex_hoses_front_brake_flex_sweep_left|j40_rt_015_front_brake_hard_lines_and_flex_hoses_front_brake_flex_sweep_right,4,PK-RTE-BRAKE-PIPE-001|PK-RTE-BRAKE-HOSE-001|PK-RTE-BRAKE-FLUID-001|PK-RTE-PCLIP-001,master_proportioning_front_hard_lines_flex_hose_clips_and_caliper_entry,steering_lock_suspension_travel_tire_exhaust_and_chafe_clearance,pressure_bleed_and_full_lock_clearance_before road_test,scope_added_needs_measurement
J40-RT-016,brake_hydraulic,rear_axle_hard_lines_center_flex_and_wheel_cylinder_lines,L3,represented_in_generator,1,j40_rt_016_rear_axle_hard_lines_center_flex_and_wheel_cylinder_lines_rear_axle_brake_pipe_and_center_flex,4,PK-RTE-BRAKE-PIPE-001|PK-RTE-BRAKE-HOSE-001|PK-RTE-BRAKE-FLUID-001|PK-RTE-PCLIP-001,rear_T_center_flex_axle_hard_lines_wheel_cylinder_entries_and_clip_points,axle_articulation_spring_U_bolt_tire_and_exhaust_clearance,pressure_test_and_suspension_sweep_before coating_closeout,scope_added_needs_measurement
J40-RT-017,parking_brake,parking_brake_cables_equalizer_and_clips,L3,represented_in_generator,1,j40_rt_017_parking_brake_cables_equalizer_and_clips_parking_brake_equalizer_to_axle,2,PK-RTE-PARK-CABLE-001|PK-RTE-PCLIP-001,lever_to_equalizer_cable_centerlines_clevises_springs_frame_and_axle_clips,suspension_travel_exhaust_prop_shaft_and_shackle_clearance,parking_brake_adjustment_and_sweep_test_complete,scope_added_needs_measurement
J40-RT-018,fuel_system,fuel_supply_return_leakoff_and_sender_routes,L2,represented_in_generator,1,j40_rt_018_fuel_supply_return_leakoff_and_sender_routes_fuel_supply_return_frame_pair,4,PK-RTE-FUEL-HOSE-001|PK-RTE-FUEL-HARD-001|PK-RTE-PCLIP-001|PK-RTE-CLAMPS-001,supply_return_leakoff_sender_wire_tank_pickup_filter_and_clip_paths,exhaust_heat_suspension_body_mount_and_service_clearance,leak_test_and_filter_service_access_confirmed,scope_added_needs_capture
J40-RT-019,fuel_system,filler_neck_vent_and_tank_access,L2,represented_in_generator,1,j40_rt_019_filler_neck_vent_and_tank_access_filler_neck_and_vent_pair,2,PK-RTE-FUEL-HOSE-001|PK-RTE-CLAMPS-001,filler_neck_vent_hoses_clamps_body_passages_and tank_access_sweep,body_mount_exhaust_tire_and_chafe_clearance,filler_and_vent_dry_fit_before_body_closeout,scope_added_needs_capture
J40-RT-020,ac_refrigerant,compressor_discharge_to_condenser,L3,represented_in_generator,1,j40_rt_020_compressor_discharge_to_condenser_ac_discharge_compressor_to_condenser,5,PK-RTE-STEEL-001|PK-RTE-COND-001|PK-RTE-AC-HOSE-001|PK-RTE-COMP-OIL-001|PK-RTE-PCLIP-001,barrier_hose_centerline_fitting_angle_port_style_service_loop_and_clamp_points,belt_fan_exhaust_radiator_and_bonnet_clearance,compressor_port_style_and_crimp_clocking_confirmed,scope_added_needs_measurement
J40-RT-021,ac_refrigerant,condenser_to_receiver_drier_liquid_line,L3,represented_in_generator,1,j40_rt_021_condenser_to_receiver_drier_liquid_line_ac_condenser_to_drier_liquid_line,6,PK-RTE-STEEL-001|PK-RTE-COND-001|PK-RTE-DRIER-001|PK-RTE-SWITCH-001|PK-RTE-AC-HOSE-001|PK-RTE-PCLIP-001,liquid_line_centerline_drier_bracket_pressure_switch_and_service_access,fan_blade_grille_radiator_edge_and_vibration_clearance,drier_and_pressure_switch_mount_dry_fit_complete,scope_added_needs_measurement
J40-RT-022,ac_refrigerant,drier_to_evaporator_and_evaporator_suction_to_compressor,L3,represented_in_generator,1,j40_rt_022_drier_to_evaporator_and_evaporator_suction_to_compressor_ac_firewall_to_evaporator_suction_pair,5,PK-RTE-AC-HOSE-001|PK-RTE-AC-FIREWALL-001|PK-RTE-EVAP-001|PK-RTE-PCLIP-001|PK-RTE-GROMMET-001,two_firewall_passages_hose_sizes_fitting_angles_bulkhead_or_grommet_locations,pedal_column_engine_heat_exhaust_bonnet_and_service_clearance,evaporator_and_compressor_fittings_identified_before hose_crimp,scope_added_needs_capture
J40-RT-023,cooling_system,radiator_heater_overflow_and_bypass_hoses,L2,represented_in_generator,1,j40_rt_023_radiator_heater_overflow_and_bypass_hoses_radiator_heater_overflow_hose_bundle,5,PK-RTE-RAD-001|PK-RTE-STEEL-001|PK-RTE-HOSE-COOL-001|PK-RTE-PCLIP-001|PK-RTE-CLAMPS-001,radiator_hoses_heater_hoses_overflow_bottle_route_bends_clamps_and_bead_ends,fan_belt_hood_radiator_support_AC_condenser_and_heat_clearance,pressure_test_and_fan_clearance_before coolant_fill,scope_added_needs_measurement
J40-RT-024,control_cables,throttle_choke_fuel_stop_and_heater_control_cables,L2,represented_in_generator,1,j40_rt_024_throttle_choke_fuel_stop_and_heater_control_cables_throttle_choke_fuel_stop_control_cables,4,PK-RTE-VAC-001|PK-RTE-CONTROL-CABLE-001|PK-RTE-SLEEVE-001|PK-RTE-PCLIP-001,cable_centerlines_bulkhead_points_end_fittings_brackets_and_sweep_envelopes,pedal_linkage_manifold_heat_steering_column_and_service_clearance,full_travel_test_without_binding_or_chafe,scope_added_needs_capture
J40-RT-025,instruments,speedometer_cable_and_transfer_gear_route,L2,represented_in_generator,1,j40_rt_025_speedometer_cable_and_transfer_gear_route_speedometer_cable_cluster_to_transfer,2,PK-RTE-SPEEDO-001|PK-RTE-PCLIP-001,cable_route_from_cluster_to_transmission_or_transfer_drive_with_clips,exhaust_heat_prop_shaft_body_floor_and_bend_radius_clearance,cluster_and_gearbox_connection_verified_before_floor_closeout,scope_added_needs_capture
J40-RT-026,drains,evaporator_condensate_and_body_drain_routes,L2,represented_in_generator,1,j40_rt_026_evaporator_condensate_and_body_drain_routes_evaporator_condensate_drain,4,PK-RTE-EVAP-001|PK-RTE-PCLIP-001|PK-RTE-GROMMET-001|PK-RTE-DRAIN-001,drain_centerlines_fall_direction_exit_points_and_grommets,exhaust_heat_floor_edge_pedal_and_water_backflow_clearance,water_pour_test_confirms_drain_outside_cabin,scope_added_needs_capture
J40-RT-027,exhaust,exhaust_route_and_hanger_clearance,L2,represented_in_generator,1,j40_rt_027_exhaust_route_and_hanger_clearance_exhaust_heat_route_reference,3,PK-RTE-FAN-001|PK-RTE-EXHAUST-HANGER-001|PK-RTE-CLAMPS-001,downpipe_muffler_tailpipe_hangers_heat_shields_and_service_gap,brake_fuel_AC_electrical_suspension_and_body_clearance,exhaust_hangers_released_before_coating_and_line_closeout,scope_added_needs_capture
J40-RT-028,routing_supports,P_clips_tabs_grommets_and_loom_guards,L3,represented_in_generator,10,j40_rt_028_p_clips_tabs_grommets_and_loom_guards_routing_supports_spine|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_1_clip|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_2_clip|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_3_clip|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_4_clip|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_5_clip|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_6_clip|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_7_clip|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_8_clip|j40_rt_028_p_clips_tabs_grommets_and_loom_guards_shared_route_support_9_clip,2,PK-RTE-STEEL-001|PK-RTE-PCLIP-001,all_added_or_reused_support_tabs_hole_sizes_fasteners_and_edge_guards,coating_access_rust_trap_body_fit_and_service_clearance,each_support_point_photo_verified_after fabrication,scope_added_needs_capture
